"...1","...2","...3","...4"
"2.9 [1.9-5.2]","0.3 [0.1-0.7]","2.4 [1.5-4.5]","0.2 [0.0-0.4]"
"0.6 [0.3-1.3]","7.7 [5.0-11.1]","1.0 [0.5-1.7]","4.0 [1.9-7.1]"
"1.2 [0.7-2.2]","0.2 [0.0-0.4]","3.8 [2.7-5.6]","0.1 [0.0-0.3]"
"0.6 [0.3-1.1]","5.4 [3.5-7.8]","1.1 [0.7-1.7]","5.6 [3.7-8.0]"
"1.2 [0.7-2.3]","13.1 [9.6-17.6]","2.1 [1.4-3.3]","9.7 [6.5-13.8]"
"1.8 [1.0-3.1]","5.6 [3.7-8.0]","4.9 [3.6-6.9]","5.8 [3.8-8.2]"
"5.3 [3.4-9.4]","13.6 [10.1-17.8]","8.3 [6.3-11.7]","10.0 [6.7-13.9]"
"100% [100-100%]","10% [2-19%]","81% [73-88%]","6% [1-11%]"
"8% [4-15%]","100% [100-100%]","13% [8-18%]","53% [27-70%]"
"32% [18-51%]","5% [1-9%]","100% [100-100%]","4% [1-8%]"
"10% [6-17%]","96% [90-99%]","20% [15-26%]","100% [100-100%]"
"10% [6-18%]","100% [100-100%]","20% [15-26%]","100% [100-100%]"
"35% [21-56%]","97% [92-100%]","100% [100-100%]","100% [100-100%]"
"87% [78-92%]","9% [2-17%]","71% [62-77%]","5% [1-10%]"
"11% [6-18%]","75% [63-85%]","24% [18-32%]","78% [67-87%]"
"2% [1-4%]","16% [10-22%]","5% [3-7%]","16% [11-23%]"
