"...1","...2","...3","...4"
"2.4 [1.8-3.9]","0.3 [0.1-0.7]","2.0 [1.5-3.3]","0.2 [0.1-0.5]"
"0.5 [0.3-0.9]","7.1 [4.5-10.5]","0.9 [0.5-1.4]","4.2 [2.1-6.6]"
"1.0 [0.6-1.6]","0.2 [0.1-0.5]","3.1 [2.3-4.4]","0.2 [0.0-0.4]"
"0.5 [0.3-0.9]","5.3 [3.4-7.7]","1.0 [0.6-1.5]","5.6 [3.7-7.9]"
"1.0 [0.6-1.7]","12.4 [8.8-16.6]","1.8 [1.2-2.7]","9.7 [6.5-13.5]"
"1.5 [1.0-2.4]","5.5 [3.6-7.9]","4.1 [3.1-5.6]","5.7 [3.8-8.1]"
"4.4 [3.3-7.0]","12.9 [9.5-17.0]","7.0 [5.5-9.4]","10.2 [7.0-13.8]"
"100% [100-100%]","14% [5-27%]","83% [77-88%]","10% [3-18%]"
"8% [5-13%]","100% [100-100%]","12% [8-17%]","59% [37-73%]"
"31% [21-44%]","7% [2-14%]","100% [100-100%]","6% [2-12%]"
"9% [6-14%]","95% [88-99%]","18% [12-23%]","100% [100-100%]"
"9% [6-15%]","100% [100-100%]","18% [13-24%]","100% [100-100%]"
"34% [25-48%]","96% [91-99%]","100% [100-100%]","100% [100-100%]"
"88% [82-92%]","13% [4-24%]","73% [67-78%]","9% [3-16%]"
"9% [6-14%]","67% [51-81%]","20% [15-26%]","70% [56-83%]"
"3% [2-4%]","20% [13-27%]","7% [5-10%]","21% [13-29%]"
