"...1","...2","...3","...4"
"3.2 [1.9-5.9]","0.4 [0.1-1.0]","2.6 [1.4-5.0]","0.2 [0.0-0.5]"
"0.7 [0.3-1.3]","7.6 [5.1-10.8]","0.9 [0.4-1.5]","3.2 [0.7-5.8]"
"1.3 [0.7-2.5]","0.2 [0.1-0.5]","4.1 [2.8-6.0]","0.2 [0.0-0.4]"
"0.6 [0.3-1.2]","5.3 [3.3-7.7]","1.1 [0.6-1.7]","5.6 [3.6-8.2]"
"1.3 [0.7-2.4]","12.8 [9.4-17.0]","2.0 [1.3-3.0]","8.8 [5.5-12.7]"
"1.9 [1.1-3.5]","5.5 [3.6-8.0]","5.2 [3.7-7.4]","5.8 [3.8-8.4]"
"5.8 [3.4-10.7]","13.5 [10.1-17.6]","8.7 [6.3-12.6]","9.2 [5.8-13.1]"
"100% [100-100%]","12% [3-29%]","82% [72-89%]","6% [2-11%]"
"9% [5-16%]","100% [100-100%]","12% [6-18%]","42% [10-67%]"
"32% [17-53%]","6% [2-12%]","100% [100-100%]","4% [1-8%]"
"11% [6-19%]","94% [78-99%]","20% [15-26%]","100% [100-100%]"
"12% [7-20%]","100% [100-100%]","20% [15-26%]","100% [100-100%]"
"37% [20-59%]","96% [82-99%]","100% [100-100%]","100% [100-100%]"
"86% [75-92%]","10% [2-26%]","70% [62-77%]","5% [1-10%]"
"12% [7-20%]","74% [60-85%]","25% [18-33%]","79% [68-88%]"
"2% [1-4%]","15% [8-21%]","5% [3-7%]","16% [9-22%]"
