"...1","...2","...3","...4"
"2.7 [1.9-4.4]","0.6 [0.4-1.2]","2.2 [1.4-3.8]","0.3 [0.2-0.6]"
"0.5 [0.3-0.9]","6.1 [4.0-8.3]","0.7 [0.3-1.1]","2.3 [0.4-3.9]"
"1.1 [0.7-1.8]","0.4 [0.2-0.7]","3.8 [2.7-5.6]","0.3 [0.1-0.6]"
"0.4 [0.3-0.8]","3.9 [2.8-5.3]","0.9 [0.6-1.3]","4.5 [3.2-6.3]"
"0.9 [0.6-1.5]","10.0 [7.6-12.6]","1.6 [1.1-2.2]","6.8 [4.7-9.1]"
"1.5 [1.0-2.5]","4.3 [3.1-5.9]","4.7 [3.4-6.6]","4.8 [3.4-6.8]"
"4.7 [3.3-7.7]","11.0 [8.5-13.8]","7.6 [5.9-10.0]","7.4 [5.2-9.8]"
"100% [100-100%]","24% [17-36%]","81% [73-88%]","12% [8-17%]"
"8% [5-13%]","100% [100-100%]","11% [6-16%]","38% [7-60%]"
"28% [15-45%]","11% [7-15%]","100% [100-100%]","8% [3-12%]"
"10% [6-16%]","87% [75-94%]","20% [16-25%]","100% [100-100%]"
"11% [7-17%]","100% [100-100%]","21% [16-26%]","100% [100-100%]"
"32% [19-50%]","90% [80-96%]","100% [100-100%]","100% [100-100%]"
"88% [82-92%]","22% [15-32%]","72% [65-79%]","11% [7-14%]"
"9% [6-15%]","61% [52-70%]","23% [16-30%]","70% [60-79%]"
"2% [1-4%]","17% [11-23%]","5% [4-7%]","20% [13-26%]"
