"...1","...2","...3","...4"
"3.4 [1.9-7.4]","0.4 [0.1-1.0]","2.6 [1.4-6.1]","0.3 [0.1-0.7]"
"0.7 [0.3-1.3]","9.4 [6.1-14.3]","1.1 [0.6-1.7]","5.3 [2.3-8.1]"
"1.4 [0.7-2.9]","0.3 [0.1-0.6]","4.1 [2.8-6.4]","0.2 [0.0-0.5]"
"0.7 [0.3-1.5]","6.9 [4.6-10.3]","1.3 [0.8-2.0]","7.3 [5.0-10.7]"
"1.4 [0.7-2.7]","16.3 [12.0-21.6]","2.3 [1.5-3.5]","12.6 [8.7-16.9]"
"2.1 [1.1-4.5]","7.2 [4.9-10.6]","5.4 [3.9-8.2]","7.5 [5.2-10.9]"
"6.2 [3.5-12.5]","17.0 [12.6-22.6]","9.1 [6.7-13.5]","13.1 [9.2-17.4]"
"100% [100-100%]","13% [3-23%]","76% [63-87%]","8% [2-14%]"
"8% [4-14%]","100% [100-100%]","12% [7-17%]","57% [21-75%]"
"34% [17-63%]","6% [2-12%]","100% [100-100%]","5% [1-10%]"
"9% [5-17%]","95% [88-99%]","17% [13-22%]","100% [100-100%]"
"10% [5-17%]","100% [100-100%]","18% [13-23%]","100% [100-100%]"
"37% [19-67%]","97% [90-99%]","100% [100-100%]","100% [100-100%]"
"85% [72-91%]","11% [3-20%]","64% [54-71%]","7% [2-12%]"
"13% [7-23%]","67% [53-79%]","30% [23-40%]","70% [57-81%]"
"3% [1-5%]","21% [14-27%]","5% [4-7%]","22% [15-29%]"
