"...1","...2","...3","...4"
"4.0 [3.1-6.2]","0.4 [0.1-0.8]","3.3 [2.4-5.2]","0.3 [0.1-0.5]"
"0.8 [0.5-1.2]","7.5 [4.9-10.9]","1.0 [0.6-1.5]","4.0 [1.8-6.4]"
"1.6 [1.0-2.4]","0.2 [0.1-0.4]","3.9 [2.9-5.5]","0.2 [0.0-0.3]"
"0.7 [0.4-1.1]","5.4 [3.6-7.9]","1.1 [0.7-1.7]","5.7 [3.8-8.0]"
"1.4 [1.0-2.2]","12.9 [9.5-17.2]","2.1 [1.5-3.0]","9.7 [6.4-13.5]"
"2.3 [1.5-3.5]","5.6 [3.8-8.1]","5.0 [3.8-6.8]","5.8 [3.9-8.2]"
"7.0 [5.3-10.8]","13.5 [10.2-17.8]","9.3 [7.5-12.6]","10.1 [6.8-13.9]"
"100% [100-100%]","11% [3-21%]","84% [76-89%]","7% [2-12%]"
"11% [7-16%]","100% [100-100%]","14% [10-19%]","54% [27-71%]"
"42% [28-57%]","6% [2-11%]","100% [100-100%]","4% [1-9%]"
"13% [9-19%]","96% [90-99%]","21% [16-26%]","100% [100-100%]"
"14% [10-20%]","100% [100-100%]","21% [17-26%]","100% [100-100%]"
"47% [33-63%]","97% [93-100%]","100% [100-100%]","100% [100-100%]"
"89% [84-92%]","10% [3-19%]","75% [68-80%]","6% [2-11%]"
"13% [9-19%]","73% [62-84%]","24% [19-31%]","76% [66-86%]"
"3% [2-4%]","16% [11-22%]","5% [3-6%]","17% [11-23%]"
