"...1","...2","...3","...4"
"3.0 [1.9-5.9]","0.7 [0.1-2.3]","2.1 [1.1-4.5]","0.1 [0.0-0.2]"
"1.0 [0.6-2.0]","9.4 [5.2-14.4]","0.8 [0.4-1.6]","0.8 [0.0-2.3]"
"0.6 [0.3-1.1]","0.2 [0.0-0.4]","3.1 [1.9-5.0]","0.0 [0.0-0.1]"
"0.8 [0.5-1.5]","5.7 [3.1-9.0]","1.5 [0.9-2.3]","7.4 [4.7-11.3]"
"1.8 [1.1-3.4]","15.1 [8.3-22.7]","2.3 [1.4-3.6]","8.2 [5.2-12.6]"
"1.4 [0.8-2.6]","5.9 [3.3-9.1]","4.6 [2.9-7.1]","7.4 [4.7-11.4]"
"5.4 [3.4-10.3]","16.0 [9.8-23.4]","7.5 [4.9-12.1]","8.3 [5.2-12.8]"
"100% [100-100%]","25% [2-63%]","69% [56-82%]","2% [0-5%]"
"11% [6-19%]","100% [100-100%]","9% [4-15%]","8% [1-20%]"
"19% [10-35%]","5% [1-13%]","100% [100-100%]","1% [0-3%]"
"11% [6-19%]","79% [44-99%]","20% [15-26%]","100% [100-100%]"
"13% [8-22%]","100% [100-100%]","22% [16-30%]","100% [100-100%]"
"26% [14-45%]","82% [53-99%]","100% [100-100%]","100% [100-100%]"
"85% [73-92%]","22% [1-54%]","59% [47-71%]","2% [0-5%]"
"13% [7-24%]","69% [39-88%]","38% [25-50%]","87% [78-93%]"
"1% [1-2%]","8% [4-13%]","3% [2-4%]","11% [6-17%]"
