"id","weight","X1","X2","X3","X4","X5","X6","X7","X8","smear","tb_any","symptom"
"1_528",2e-05,0.14792,1,0.04202,0.96214,0.13336,0.48612,0.3395,0.00396,1,1,0.97154
"1_662",2e-05,0.31142,1,0.13516,0.87986,0.26578,0.46126,0.26466,0.0041,1,1,0.91432
"1_633",0.00012,0.23174,1,0.07358,0.9267,0.199,0.51386,0.27398,0.00462,1,1,0.9453
"1_249",4e-05,0.21344,1,0.06058,0.92612,0.19438,0.5538,0.2304,0.00456,1,1,0.94338
"1_64",2e-05,0.1689,1,0.04588,0.93436,0.15266,0.52148,0.28014,0.0048,1,1,0.94598
"1_268",2e-05,0.16518,1,0.06942,0.95206,0.14978,0.51858,0.2852,0.00492,1,1,0.95978
"1_443",1e-04,0.04254,1,0.0172,0.9852,0.03728,0.76978,0.16632,0.0043,1,1,0.98802
"1_136",2e-05,0.28488,1,0.12422,0.9048,0.25978,0.42526,0.30652,0.00436,1,1,0.92624
"1_374",0.00036,0.09464,1,0.04406,0.96172,0.08296,0.76274,0.14634,0.00542,1,1,0.9692
"1_135",2e-05,0.22326,1,0.09706,0.91676,0.19716,0.5025,0.27308,0.0044,1,1,0.93692
"1_650",2e-05,0.183,1,0.09036,0.95634,0.16058,0.56182,0.26812,0.00488,1,1,0.96848
"1_63",2e-05,0.1569,1,0.06682,0.96164,0.14028,0.55224,0.26282,0.00538,1,1,0.97062
"1_259",0.00028,0.05196,1,0.0204,0.98532,0.0473,0.77436,0.16548,0.00462,1,1,0.98926
"1_547",2e-05,0.30164,1,0.07656,0.85798,0.2743,0.4334,0.27946,0.00448,1,1,0.88408
"1_413",2e-05,0.0986,1,0.03458,0.9704,0.08582,0.69608,0.1964,0.00448,1,1,0.97642
"1_683",4e-05,0.2492,1,0.12482,0.9217,0.22276,0.52602,0.2448,0.00454,1,1,0.93932
"1_132",2e-05,0.06384,1,0.02032,0.97814,0.05788,0.76276,0.16454,0.00504,1,1,0.98144
"1_531",2e-05,0.23588,1,0.11474,0.91342,0.21338,0.52838,0.24826,0.00456,1,1,0.93312
"1_468",2e-05,0.1183,1,0.03346,0.95446,0.10442,0.7175,0.16966,0.00446,1,1,0.96488
"1_535",0.00034,0.20214,1,0.08544,0.94156,0.17736,0.54108,0.26736,0.00448,1,1,0.95262
"1_604",2e-05,0.15472,1,0.04912,0.95112,0.13646,0.63674,0.20816,0.00444,1,1,0.95998
"1_416",2e-05,0.14888,1,0.05938,0.93348,0.1324,0.66466,0.18966,0.00442,1,1,0.94496
"1_472",2e-05,0.09502,1,0.04018,0.97686,0.08446,0.6134,0.25952,0.00452,1,1,0.98302
"1_59",2e-05,0.1356,1,0.04422,0.96096,0.1237,0.61074,0.24188,0.0046,1,1,0.97006
"1_514",2e-05,0.10458,1,0.04564,0.97532,0.09284,0.60744,0.26118,0.0046,1,1,0.97958
"1_182",4e-05,0.06792,1,0.0312,0.98414,0.0596,0.67504,0.22682,0.00404,1,1,0.98772
"1_345",2e-05,0.29562,1,0.11168,0.9054,0.25636,0.4338,0.302,0.00402,1,1,0.93304
"1_214",2e-05,0.16954,1,0.06438,0.94566,0.15372,0.5993,0.22144,0.00446,1,1,0.9542
"1_673",2e-05,0.1102,1,0.05392,0.97038,0.09554,0.66772,0.22192,0.00482,1,1,0.97562
"1_286",2e-05,0.20798,1,0.04974,0.92984,0.19058,0.54342,0.2401,0.00454,1,1,0.94392
"1_454",2e-05,0.08204,1,0.02614,0.9756,0.0739,0.64418,0.25034,0.00452,1,1,0.98112
"1_247",2e-05,0.15636,1,0.0485,0.95324,0.14106,0.58036,0.24688,0.00502,1,1,0.96248
"1_10",2e-05,0.05152,1,0.02008,0.9874,0.04276,0.66094,0.23458,0.00518,1,1,0.9917
"1_185",2e-05,0.15772,1,0.06542,0.95932,0.13314,0.55414,0.27414,0.00484,1,1,0.97242
"1_83",2e-05,0.17546,1,0.0742,0.95402,0.15672,0.52208,0.28698,0.005,1,1,0.96644
"1_355",2e-05,0.1177,1,0.0352,0.95246,0.10612,0.68586,0.19486,0.00512,1,1,0.96254
"1_189",2e-05,0.02936,1,0.01224,0.99188,0.02702,0.75086,0.18418,0.00524,1,1,0.993
"1_233",6e-05,0.15594,1,0.03946,0.9354,0.14184,0.60546,0.2145,0.00498,1,1,0.94778
"1_429",4e-05,0.18576,1,0.08112,0.93846,0.16814,0.5693,0.24358,0.00444,1,1,0.95006
"1_471",6e-05,0.12334,1,0.03352,0.9528,0.10952,0.70064,0.17844,0.00506,1,1,0.95962
"1_198",2e-05,0.19438,1,0.06062,0.91862,0.17962,0.5737,0.22314,0.00436,1,1,0.93046
"1_303",2e-05,0.23932,1,0.12226,0.91462,0.21954,0.49682,0.25988,0.00452,1,1,0.93258
"1_601",4e-05,0.23202,1,0.09346,0.91696,0.2008,0.54022,0.2534,0.00448,1,1,0.93966
"1_344",4e-05,0.05274,1,0.02242,0.98872,0.04612,0.74234,0.19212,0.00538,1,1,0.99158
"5_10",2e-05,0.10146,1,0.03054,0.96038,0.09214,0.71842,0.17344,0.0044,1,1,0.96892
"5_444",2e-05,0.21146,1,0.0452,0.94218,0.1919,0.41888,0.36722,0.00386,1,1,0.95216
"5_370",2e-05,0.2459,1,0.09954,0.91692,0.20976,0.493,0.28268,0.00452,1,1,0.94096
"5_421",2e-05,0.19962,1,0.0439,0.9171,0.17584,0.58348,0.2244,0.00414,1,1,0.93082
"5_34",2e-05,0.13578,1,0.06364,0.96498,0.12022,0.62726,0.22676,0.00494,1,1,0.97328
"5_79",2e-05,0.18936,1,0.10338,0.94346,0.16306,0.51474,0.28134,0.00494,1,1,0.96124
"5_455",4e-05,0.05402,1,0.01982,0.98004,0.04276,0.73296,0.18318,0.0049,1,1,0.9848
"5_150",1e-04,0.13412,1,0.04518,0.96408,0.12022,0.59902,0.26168,0.0045,1,1,0.97464
"5_477",2e-05,0.07678,1,0.02666,0.9705,0.06552,0.7308,0.1786,0.00468,1,1,0.97702
"5_213",2e-05,0.16302,1,0.06404,0.95176,0.143,0.61174,0.21774,0.00488,1,1,0.9649
"5_523",2e-05,0.22072,1,0.0851,0.93112,0.19684,0.51046,0.27422,0.00436,1,1,0.94888
"5_212",2e-05,0.16734,1,0.08052,0.93654,0.14226,0.6422,0.19616,0.00474,1,1,0.9544
"5_519",2e-05,0.20186,1,0.08768,0.94508,0.17512,0.51992,0.27092,0.00434,1,1,0.9609
"5_607",2e-05,0.19664,1,0.09052,0.95286,0.17504,0.4847,0.322,0.0045,1,1,0.96288
