"id","weight","X1","X2","X3","X4","X5","X6","X7","X8","smear","tb_any","symptom"
"1_228",0.00036,1,0.1061,0.28872,0.12978,0.84956,0.11864,0.0282,0.0051,0.1355,1,0.3483
"1_495",2e-05,1,0.09328,0.23342,0.09858,0.89428,0.07692,0.0274,0.00536,0.10336,1,0.2893
"1_342",0.00032,1,0.11394,0.34088,0.11954,0.8692,0.08358,0.04374,0.00522,0.12228,1,0.39396
"1_16",0.00118,1,0.10828,0.44828,0.12738,0.84224,0.1217,0.0317,0.00576,0.12976,1,0.48706
"1_292",0.00108,1,0.06798,0.18894,0.07812,0.9132,0.06276,0.0226,0.00576,0.08,1,0.22624
"1_331",0.00016,1,0.07876,0.17872,0.08852,0.90498,0.07672,0.01644,0.00558,0.09342,1,0.22776
"1_67",2e-05,1,0.09498,0.35524,0.105,0.87196,0.09362,0.0309,0.0055,0.10712,1,0.4042
"1_557",2e-05,1,0.11772,0.3088,0.13048,0.8665,0.09442,0.03706,0.00516,0.14086,1,0.36312
"1_540",8e-05,1,0.10004,0.22588,0.10308,0.88488,0.0827,0.0299,0.0058,0.10562,1,0.28974
"1_483",0.00014,1,0.07704,0.21772,0.0812,0.91686,0.05552,0.02508,0.0054,0.08768,1,0.2631
"1_40",0.00026,1,0.1082,0.37256,0.1187,0.85142,0.10692,0.035,0.00526,0.11948,1,0.41518
"1_306",2e-05,1,0.10244,0.32068,0.11772,0.8718,0.0949,0.02994,0.00534,0.12056,1,0.36818
"1_517",2e-05,1,0.07518,0.19372,0.07872,0.91858,0.05644,0.02318,0.0054,0.08206,1,0.2417
"1_339",2e-05,1,0.09708,0.28128,0.11248,0.86982,0.1063,0.02178,0.0053,0.11322,1,0.33574
"1_265",0.00012,1,0.12028,0.35006,0.1298,0.85988,0.09304,0.04062,0.0052,0.13226,1,0.40382
"1_531",2e-05,1,0.09946,0.24026,0.10832,0.88478,0.08596,0.02734,0.00496,0.1139,1,0.29728
"1_345",2e-05,1,0.11226,0.29476,0.11862,0.87868,0.08046,0.03714,0.00518,0.12382,1,0.35082
"1_380",4e-05,1,0.1292,0.33674,0.13802,0.85,0.10858,0.0374,0.00474,0.14144,1,0.39622
"1_551",4e-05,1,0.07672,0.16524,0.0803,0.91082,0.06418,0.0237,0.00568,0.08914,1,0.21392
"1_63",6e-05,1,0.09288,0.26256,0.10578,0.8794,0.08696,0.02974,0.00552,0.10646,1,0.31444
"1_129",6e-05,1,0.06388,0.20166,0.06832,0.91566,0.054,0.02684,0.00524,0.0695,1,0.23984
"1_546",2e-05,1,0.12368,0.31642,0.12542,0.873,0.08302,0.03914,0.00528,0.13186,1,0.38052
"1_159",8e-05,1,0.0671,0.19686,0.07534,0.9144,0.05772,0.02466,0.00544,0.07744,1,0.23214
"1_178",2e-05,1,0.06882,0.25928,0.07676,0.9113,0.06174,0.02474,0.00526,0.08044,1,0.29492
"1_346",6e-05,1,0.12226,0.34612,0.1308,0.83588,0.11402,0.04298,0.00588,0.13344,1,0.40822
"1_381",2e-05,1,0.07012,0.18806,0.07758,0.90632,0.06988,0.0224,0.0048,0.0799,1,0.23188
"1_170",2e-05,1,0.07422,0.26996,0.08966,0.89322,0.08012,0.02324,0.0056,0.09104,1,0.3038
"1_250",2e-05,1,0.07374,0.2009,0.08526,0.90628,0.06834,0.02414,0.00568,0.09022,1,0.24116
"1_296",6e-05,1,0.08336,0.25682,0.0935,0.89414,0.06944,0.0336,0.0054,0.09848,1,0.29746
"1_215",2e-05,1,0.06796,0.258,0.07672,0.91048,0.06164,0.02508,0.00558,0.0789,1,0.29062
"1_284",2e-05,1,0.06972,0.21256,0.07836,0.91544,0.05858,0.02378,0.00582,0.08204,1,0.25058
"1_374",2e-05,1,0.06838,0.19268,0.07286,0.9099,0.05902,0.02672,0.00518,0.07356,1,0.23548
"1_441",2e-05,1,0.10776,0.2574,0.11338,0.87514,0.09342,0.02874,0.00462,0.1202,1,0.321
"1_175",2e-05,1,0.04968,0.1453,0.05806,0.92632,0.0568,0.01618,0.00532,0.06116,1,0.17872
"1_56",4e-05,1,0.0646,0.20288,0.0723,0.91772,0.05684,0.0234,0.00516,0.07496,1,0.23646
"1_484",2e-05,1,0.14564,0.32492,0.15688,0.83462,0.1105,0.05178,0.00576,0.17154,1,0.39398
"1_552",4e-05,1,0.08528,0.1648,0.08968,0.89372,0.07146,0.0303,0.00532,0.0931,1,0.22096
"1_474",2e-05,1,0.12802,0.29726,0.1393,0.84794,0.1196,0.02842,0.00524,0.14152,1,0.36914
"1_262",2e-05,1,0.09046,0.26626,0.1054,0.89234,0.08032,0.02502,0.00522,0.1099,1,0.31306
"1_243",2e-05,1,0.06814,0.1836,0.07412,0.90634,0.07018,0.02258,0.00552,0.07656,1,0.22978
"1_169",0.00014,1,0.0494,0.12778,0.0528,0.93318,0.0466,0.01864,0.00528,0.05416,1,0.16348
"1_288",2e-05,1,0.0621,0.18344,0.07024,0.91206,0.0635,0.02304,0.00556,0.07248,1,0.2218
"1_172",2e-05,1,0.08098,0.27456,0.08644,0.89232,0.06956,0.0339,0.00516,0.0969,1,0.31064
"1_119",2e-05,1,0.08936,0.2595,0.09956,0.8893,0.08428,0.02412,0.00538,0.10152,1,0.30478
"4_214",2e-05,1,0.04768,0.18318,0.0631,0.92578,0.06084,0.01184,0.0069,0.06686,1,0.20902
"4_506",4e-05,1,0.12966,0.33004,0.13542,0.86146,0.09342,0.0422,0.00558,0.1447,1,0.39296
"4_521",2e-05,1,0.10336,0.22486,0.10784,0.8848,0.08024,0.03128,0.0047,0.11066,1,0.2871
