"id","weight","X1","X2","X3","X4","X5","X6","X7","X8","smear","tb_any","symptom"
"1_329",6e-05,1,0.1035,0.22734,0.10352,0.90278,0.06068,0.03592,0.00516,0.12498,1,0.27096
"1_51",4e-05,1,0.0994,0.29898,0.10064,0.88532,0.06878,0.04242,0.00546,0.10848,1,0.34808
"1_416",2e-05,1,0.1005,0.22054,0.0914,0.92594,0.0414,0.0322,0.00564,0.11324,1,0.26412
"1_83",2e-05,1,0.06788,0.20786,0.07196,0.91178,0.06568,0.02184,0.00572,0.07422,1,0.2519
"1_469",4e-05,1,0.13872,0.33052,0.13206,0.87828,0.07356,0.04768,0.00506,0.1571,1,0.38578
"1_481",2e-05,1,0.09902,0.18458,0.08222,0.92858,0.04384,0.02736,0.00522,0.11174,1,0.22916
"1_351",2e-05,1,0.11016,0.19396,0.10616,0.90772,0.05934,0.03246,0.0051,0.1227,1,0.25292
"1_371",0.0028,1,0.11394,0.26326,0.10886,0.87958,0.0774,0.04176,0.00532,0.12348,1,0.32312
"1_41",0.00012,1,0.06188,0.2244,0.06566,0.91808,0.06134,0.01958,0.00518,0.06914,1,0.25984
"1_206",2e-05,1,0.09092,0.27296,0.09922,0.88852,0.08264,0.02784,0.0054,0.10394,1,0.31644
"1_36",2e-05,1,0.07382,0.22368,0.08002,0.9168,0.05886,0.02338,0.00586,0.08792,1,0.25918
"1_186",2e-05,1,0.08994,0.26328,0.09634,0.91244,0.04852,0.03834,0.00528,0.10204,1,0.2959
"1_365",6e-05,1,0.1002,0.20548,0.10032,0.90576,0.05206,0.041,0.00552,0.10714,1,0.26052
"1_333",2e-05,1,0.09974,0.18876,0.10132,0.9074,0.06142,0.03056,0.00536,0.11102,1,0.24506
"1_171",4e-05,1,0.09706,0.22876,0.098,0.89634,0.07382,0.028,0.00536,0.10712,1,0.28518
"1_428",2e-05,1,0.10018,0.2099,0.09202,0.92254,0.04176,0.03518,0.0057,0.11412,1,0.25058
"1_411",4e-05,1,0.10434,0.17444,0.09694,0.90058,0.07014,0.02848,0.0053,0.11184,1,0.23786
"1_606",2e-05,1,0.16636,0.26812,0.15526,0.87522,0.07728,0.04684,0.00602,0.18542,1,0.3437
