"id","weight","X1","X2","X3","X4","X5","X6","X7","X8","smear","tb_any","symptom"
"1_204",2e-05,1,0.07114,0.22506,0.07896,0.91168,0.05848,0.02744,0.00572,0.08242,1,0.26244
"1_734",2e-05,1,0.094,0.25,0.09264,0.9002,0.0602,0.03914,0.00568,0.10762,1,0.29776
"1_632",2e-05,1,0.12546,0.3127,0.13434,0.84232,0.1128,0.04014,0.00514,0.13942,1,0.38406
"1_716",2e-05,1,0.08484,0.1906,0.08566,0.90056,0.06254,0.03612,0.00542,0.09676,1,0.23626
"1_758",2e-05,1,0.10188,0.19986,0.10584,0.89968,0.07274,0.02678,0.0058,0.12142,1,0.25646
"1_380",2e-05,1,0.12646,0.31156,0.14798,0.80654,0.14848,0.03606,0.00544,0.15062,1,0.38346
"1_596",2e-05,1,0.11584,0.32156,0.13302,0.84746,0.11746,0.03384,0.00528,0.13662,1,0.379
"1_399",4e-05,1,0.0773,0.17496,0.08492,0.90634,0.07384,0.01788,0.0051,0.09416,1,0.2239
"1_439",2e-05,1,0.07568,0.15974,0.08196,0.90948,0.06068,0.02738,0.00556,0.0861,1,0.20526
"1_608",4e-05,1,0.08338,0.25144,0.08594,0.89736,0.05852,0.04152,0.00566,0.09166,1,0.29914
"1_427",6e-05,1,0.08206,0.21036,0.08988,0.90328,0.06424,0.03074,0.00518,0.09288,1,0.25424
"1_362",2e-05,1,0.06484,0.1911,0.07322,0.91518,0.06706,0.01712,0.00544,0.07482,1,0.2312
"1_317",2e-05,1,0.1235,0.271,0.1383,0.85564,0.11066,0.0305,0.00552,0.14506,1,0.33956
"1_297",4e-05,1,0.06888,0.20512,0.07346,0.90872,0.05908,0.0291,0.00534,0.0754,1,0.2463
"1_112",4e-05,1,0.0819,0.20078,0.09576,0.89346,0.08052,0.0218,0.00572,0.0992,1,0.25346
"1_379",2e-05,1,0.12612,0.32778,0.1418,0.85282,0.1101,0.0331,0.0054,0.14452,1,0.39208
"1_42",6e-05,1,0.06348,0.22118,0.06846,0.91702,0.05112,0.02748,0.00532,0.06874,1,0.2543
"1_651",2e-05,1,0.06946,0.1392,0.07592,0.91738,0.06946,0.01224,0.00544,0.09034,1,0.18426
"1_262",2e-05,1,0.07168,0.22716,0.08072,0.91404,0.0592,0.02448,0.0054,0.08208,1,0.2616
"1_331",2e-05,1,0.06242,0.2143,0.06756,0.9111,0.06326,0.02492,0.00548,0.07384,1,0.25422
"1_386",2e-05,1,0.06808,0.15534,0.07248,0.91876,0.05488,0.025,0.00574,0.07664,1,0.19672
"1_598",4e-05,1,0.10576,0.26016,0.11176,0.88944,0.07004,0.03818,0.00534,0.11814,1,0.31572
"1_635",2e-05,1,0.12,0.27578,0.11858,0.86762,0.09164,0.03648,0.00562,0.1339,1,0.33912
