"id","weight","X1","X2","X3","X4","X5","X6","X7","X8","smear","tb_any","symptom"
"1_582",2e-05,0.2544,1,0.11846,0.92144,0.20908,0.54016,0.2437,0.00474,1,1,0.9434
"1_332",0.00024,0.27248,1,0.09592,0.8865,0.24398,0.49462,0.2533,0.00472,1,1,0.90744
"1_235",2e-05,0.22618,1,0.06012,0.9262,0.2067,0.50522,0.28284,0.00424,1,1,0.94058
"1_625",2e-05,0.26992,1,0.09828,0.91884,0.23102,0.45338,0.3079,0.004,1,1,0.93998
"1_284",4e-05,0.28162,1,0.11666,0.88622,0.25608,0.48782,0.24668,0.00472,1,1,0.90708
"1_150",0.00026,0.27214,1,0.14332,0.9181,0.23844,0.45508,0.29546,0.00444,1,1,0.94174
"1_6",2e-05,0.26182,1,0.11716,0.92856,0.23932,0.4736,0.27832,0.00424,1,1,0.94594
"1_106",2e-05,0.23634,1,0.10086,0.91354,0.21276,0.55104,0.23034,0.00398,1,1,0.93462
"1_211",2e-05,0.22476,1,0.111,0.95692,0.19842,0.50516,0.28888,0.00384,1,1,0.96858
"1_269",2e-05,0.22438,1,0.10388,0.92194,0.19994,0.4855,0.30876,0.00406,1,1,0.93976
"1_263",2e-05,0.26076,1,0.09978,0.89218,0.23342,0.5005,0.25972,0.00436,1,1,0.91734
"1_468",6e-05,0.33626,1,0.09196,0.86156,0.30294,0.42208,0.26496,0.00446,1,1,0.89256
"1_307",4e-05,0.30806,1,0.0926,0.85062,0.27522,0.46952,0.2454,0.0045,1,1,0.88066
"1_416",2e-05,0.27042,1,0.1124,0.88436,0.23626,0.51522,0.2422,0.00462,1,1,0.9146
"1_592",2e-05,0.25976,1,0.11622,0.92636,0.22568,0.45234,0.30948,0.00416,1,1,0.94372
"1_55",2e-05,0.22786,1,0.13726,0.94388,0.20726,0.46174,0.32322,0.00442,1,1,0.95654
"1_267",2e-05,0.28722,1,0.09314,0.89534,0.25368,0.41198,0.32462,0.0043,1,1,0.91916
"1_159",6e-05,0.2646,1,0.07968,0.92476,0.2399,0.46146,0.28512,0.00482,1,1,0.93778
"1_244",2e-05,0.28006,1,0.07514,0.8961,0.25216,0.46622,0.27138,0.00444,1,1,0.91628
"1_41",0.00078,0.3295,1,0.1324,0.91058,0.2974,0.34608,0.33306,0.00438,1,1,0.93214
"1_638",6e-05,0.22852,1,0.11654,0.92002,0.20074,0.55872,0.23676,0.0046,1,1,0.93646
"1_341",6e-05,0.26704,1,0.10316,0.90792,0.24338,0.46452,0.27976,0.0046,1,1,0.9249
"1_448",2e-05,0.2389,1,0.12158,0.94166,0.21146,0.50516,0.27754,0.00462,1,1,0.95358
"1_54",2e-05,0.26664,1,0.08632,0.91032,0.2392,0.498,0.257,0.00418,1,1,0.93256
"1_435",2e-05,0.27938,1,0.11218,0.88398,0.25018,0.49834,0.2412,0.00468,1,1,0.91046
"1_384",4e-05,0.29054,1,0.13134,0.8894,0.25182,0.41182,0.31646,0.00462,1,1,0.91256
"1_266",2e-05,0.26752,1,0.1301,0.9177,0.23906,0.45572,0.29548,0.00456,1,1,0.93728
"1_156",2e-05,0.2737,1,0.11478,0.9374,0.24638,0.45558,0.28772,0.0038,1,1,0.95264
"1_456",4e-05,0.257,1,0.09628,0.9151,0.22522,0.48682,0.27574,0.00394,1,1,0.93846
"1_572",2e-05,0.22066,1,0.12156,0.94968,0.19686,0.5079,0.28816,0.00412,1,1,0.95878
"1_51",2e-05,0.26652,1,0.09984,0.90838,0.24254,0.45462,0.29038,0.00454,1,1,0.92604
"1_406",2e-05,0.20426,1,0.11598,0.94764,0.18216,0.5561,0.25786,0.00488,1,1,0.95968
"1_457",2e-05,0.27932,1,0.11554,0.9236,0.25308,0.47134,0.2648,0.00486,1,1,0.93874
"1_164",2e-05,0.28404,1,0.15638,0.88872,0.25302,0.46186,0.27476,0.00412,1,1,0.91622
"1_72",4e-05,0.29732,1,0.11816,0.8667,0.25478,0.51978,0.22066,0.00442,1,1,0.90706
"1_538",4e-05,0.24132,1,0.11814,0.93572,0.21544,0.51258,0.26422,0.00438,1,1,0.94752
"1_248",8e-05,0.2661,1,0.06924,0.89056,0.23954,0.53828,0.21718,0.00498,1,1,0.91438
"1_148",2e-05,0.2336,1,0.09062,0.91326,0.2102,0.55944,0.22576,0.00464,1,1,0.93318
"1_95",6e-05,0.24452,1,0.07712,0.92502,0.2205,0.5125,0.261,0.0045,1,1,0.9442
"1_464",2e-05,0.25598,1,0.12168,0.93468,0.23066,0.43624,0.3215,0.00418,1,1,0.9472
"1_127",2e-05,0.24456,1,0.14394,0.9355,0.20284,0.55056,0.23816,0.00484,1,1,0.96026
"1_63",2e-05,0.25928,1,0.10098,0.92476,0.22586,0.47334,0.29384,0.00426,1,1,0.94276
"3_471",2e-05,0.27682,1,0.1139,0.89412,0.24494,0.48818,0.25364,0.00422,1,1,0.91546
"3_259",2e-05,0.27544,1,0.124,0.9075,0.25184,0.42798,0.30564,0.00492,1,1,0.92444
"3_22",2e-05,0.26982,1,0.1062,0.9163,0.24614,0.4289,0.3118,0.00466,1,1,0.93426
"3_689",2e-05,0.26626,1,0.0791,0.90958,0.23524,0.47628,0.28102,0.00476,1,1,0.92904
"3_165",2e-05,0.27426,1,0.08182,0.8767,0.24746,0.4784,0.26186,0.00472,1,1,0.90268
"3_419",2e-05,0.28144,1,0.10056,0.91478,0.2513,0.4241,0.3088,0.0041,1,1,0.93538
"3_528",2e-05,0.26148,1,0.16008,0.9454,0.22574,0.50096,0.26656,0.00464,1,1,0.9587
"3_363",2e-05,0.27498,1,0.12966,0.9181,0.24626,0.44886,0.29142,0.00436,1,1,0.93494
"3_23",2e-05,0.24392,1,0.0727,0.90494,0.21996,0.53936,0.23534,0.00412,1,1,0.92694
"3_379",2e-05,0.25864,1,0.10024,0.93578,0.2278,0.46588,0.29538,0.0047,1,1,0.95026
"3_637",2e-05,0.21386,1,0.10172,0.92416,0.19096,0.56834,0.23538,0.00438,1,1,0.94036
"3_277",2e-05,0.28168,1,0.06498,0.89824,0.2553,0.45784,0.27834,0.00416,1,1,0.91874
"3_214",2e-05,0.3499,1,0.1002,0.86912,0.3108,0.39426,0.28102,0.0043,1,1,0.8986
"3_456",2e-05,0.25118,1,0.08038,0.92398,0.22228,0.48572,0.28514,0.0046,1,1,0.93922
"3_262",2e-05,0.2678,1,0.11622,0.88704,0.24916,0.4924,0.2482,0.00454,1,1,0.8972
"3_547",2e-05,0.27236,1,0.10898,0.91024,0.2397,0.48736,0.26416,0.00464,1,1,0.93352
"3_158",2e-05,0.33622,1,0.09456,0.87796,0.3081,0.3762,0.29914,0.00468,1,1,0.89862
"3_601",2e-05,0.30318,1,0.1056,0.91318,0.2599,0.4444,0.2862,0.00434,1,1,0.93408
"3_483",2e-05,0.23456,1,0.11484,0.92454,0.2101,0.48808,0.29436,0.0041,1,1,0.9386
"3_540",2e-05,0.28732,1,0.07008,0.88538,0.25886,0.51542,0.22054,0.00426,1,1,0.90186
"3_599",2e-05,0.27122,1,0.09116,0.92076,0.24134,0.48664,0.26592,0.00382,1,1,0.93764
"3_133",2e-05,0.28036,1,0.1096,0.90482,0.23124,0.52932,0.23248,0.0043,1,1,0.93358
"3_225",2e-05,0.2786,1,0.08804,0.90646,0.24976,0.40966,0.32822,0.00416,1,1,0.92652
"3_315",4e-05,0.22312,1,0.11934,0.942,0.18914,0.54844,0.25678,0.00448,1,1,0.95946
"3_300",2e-05,0.28516,1,0.09508,0.8921,0.2586,0.4467,0.28288,0.00426,1,1,0.91234
"3_584",2e-05,0.29574,1,0.11578,0.8754,0.26812,0.4497,0.27382,0.00424,1,1,0.89674
"3_389",2e-05,0.27628,1,0.12404,0.9165,0.24362,0.46516,0.28148,0.00414,1,1,0.9361
"3_576",2e-05,0.21574,1,0.09204,0.94498,0.1907,0.5364,0.26794,0.004,1,1,0.95766
"3_452",2e-05,0.25422,1,0.1167,0.92116,0.23238,0.4478,0.31186,0.00452,1,1,0.93828
"3_565",2e-05,0.27728,1,0.12628,0.9214,0.25018,0.464,0.27596,0.00414,1,1,0.93474
"3_554",2e-05,0.24848,1,0.09612,0.93956,0.21426,0.50264,0.2752,0.00486,1,1,0.95526
"3_126",4e-05,0.25518,1,0.07366,0.89774,0.22856,0.52776,0.23928,0.00426,1,1,0.92442
"3_539",2e-05,0.27448,1,0.0874,0.89586,0.2477,0.46994,0.27478,0.00466,1,1,0.90842
"3_492",2e-05,0.2307,1,0.09828,0.92894,0.20876,0.5341,0.25212,0.00428,1,1,0.94136
"3_399",2e-05,0.25918,1,0.12258,0.9124,0.2366,0.4394,0.3099,0.00402,1,1,0.92572
"3_238",2e-05,0.25814,1,0.084,0.8801,0.22682,0.52108,0.24418,0.00426,1,1,0.90828
"3_378",2e-05,0.24664,1,0.11524,0.94682,0.22148,0.46342,0.30646,0.00418,1,1,0.95914
"3_631",2e-05,0.22866,1,0.09242,0.91614,0.19514,0.5994,0.20296,0.00434,1,1,0.93546
"3_236",2e-05,0.249,1,0.09026,0.94484,0.2219,0.46466,0.30494,0.00354,1,1,0.95654
"3_513",2e-05,0.2611,1,0.09794,0.91196,0.23122,0.49482,0.26558,0.00474,1,1,0.9356
"3_577",2e-05,0.30346,1,0.1035,0.89904,0.2698,0.4311,0.2897,0.00398,1,1,0.9166
"3_153",2e-05,0.2718,1,0.09844,0.90142,0.2485,0.49812,0.24662,0.00446,1,1,0.92248
"3_125",2e-05,0.28848,1,0.13606,0.91216,0.25352,0.43844,0.29392,0.00418,1,1,0.93538
"3_663",2e-05,0.2899,1,0.06254,0.86268,0.26012,0.48774,0.24436,0.00462,1,1,0.88874
"3_61",2e-05,0.3301,1,0.11284,0.8893,0.29734,0.38416,0.29904,0.00424,1,1,0.91452
"3_232",2e-05,0.24346,1,0.1134,0.93476,0.22184,0.52126,0.25068,0.004,1,1,0.9473
"3_172",2e-05,0.2335,1,0.1274,0.91546,0.20312,0.53576,0.25406,0.00464,1,1,0.9341
"3_678",2e-05,0.23206,1,0.07582,0.93578,0.20302,0.47656,0.3145,0.0039,1,1,0.9497
"3_325",2e-05,0.22248,1,0.12656,0.93328,0.1894,0.49822,0.30364,0.00378,1,1,0.95108
"3_394",2e-05,0.21412,1,0.10546,0.94338,0.18738,0.5545,0.2519,0.00438,1,1,0.9573
"3_514",2e-05,0.2323,1,0.13736,0.95814,0.2055,0.47504,0.30882,0.0037,1,1,0.96646
"3_368",2e-05,0.25552,1,0.09694,0.90034,0.23174,0.51456,0.24764,0.00428,1,1,0.91952
"3_647",2e-05,0.23198,1,0.09212,0.92492,0.20534,0.55934,0.22964,0.00448,1,1,0.93986
"3_91",2e-05,0.28412,1,0.06958,0.88592,0.25996,0.43816,0.28952,0.00468,1,1,0.90664
"3_152",2e-05,0.25418,1,0.05646,0.90434,0.23444,0.49476,0.26414,0.00432,1,1,0.92024
"3_420",2e-05,0.22474,1,0.12664,0.93384,0.20256,0.49704,0.29406,0.00394,1,1,0.94418
"3_346",2e-05,0.20666,1,0.0953,0.93734,0.18698,0.58494,0.22562,0.00472,1,1,0.94896
"3_312",2e-05,0.28984,1,0.12898,0.90834,0.25828,0.43872,0.28954,0.00434,1,1,0.92822
"3_94",2e-05,0.28972,1,0.12442,0.87208,0.26124,0.48464,0.24304,0.00468,1,1,0.89742
"3_617",2e-05,0.25658,1,0.13914,0.95152,0.22596,0.4272,0.33604,0.0043,1,1,0.96314
"3_406",2e-05,0.25454,1,0.10904,0.91962,0.22982,0.44232,0.31396,0.00412,1,1,0.93468
