"id","weight","X1","X2","X3","X4","X5","X6","X7","X8","smear","tb_any","symptom"
"1_526",2e-05,0.28532,1,0.0899,0.89936,0.2505,0.46662,0.26644,0.00496,1,1,0.9253
"1_449",0.00028,0.39608,1,0.1706,0.80976,0.34732,0.36166,0.281,0.00408,1,1,0.85472
"1_514",2e-05,0.33798,1,0.0921,0.90142,0.30232,0.3233,0.35598,0.00402,1,1,0.92364
"1_166",8e-05,0.2373,1,0.12118,0.94422,0.20842,0.42752,0.34314,0.00424,1,1,0.95914
"1_383",2e-05,0.2387,1,0.08818,0.9183,0.21296,0.43564,0.31258,0.0042,1,1,0.93636
"1_53",8e-05,0.065,1,0.015,0.98088,0.05886,0.62178,0.25084,0.0046,1,1,0.98396
"1_40",0.00036,0.10478,1,0.0461,0.97948,0.09238,0.52662,0.30782,0.0044,1,1,0.98426
"1_531",2e-05,0.17768,1,0.08452,0.95442,0.1529,0.5009,0.2928,0.00422,1,1,0.9668
"1_230",8e-05,0.17304,1,0.06766,0.94252,0.15816,0.47044,0.31802,0.00458,1,1,0.95254
"1_409",0.00018,0.1648,1,0.09266,0.96592,0.13856,0.52692,0.28688,0.0046,1,1,0.97424
"1_167",0.00028,0.18848,1,0.0717,0.94298,0.1678,0.4332,0.33186,0.00386,1,1,0.95482
"1_149",2e-05,0.31456,1,0.1616,0.91372,0.27486,0.38084,0.31786,0.00374,1,1,0.93824
"1_142",6e-05,0.2152,1,0.06468,0.94246,0.19524,0.45254,0.30652,0.00426,1,1,0.95414
"1_152",0.00088,0.11228,1,0.06776,0.98,0.09452,0.53712,0.30472,0.00412,1,1,0.98532
"1_474",2e-05,0.21562,1,0.10124,0.93932,0.1888,0.42342,0.33922,0.00442,1,1,0.95538
"1_202",2e-05,0.19936,1,0.08318,0.94518,0.17424,0.52254,0.27348,0.00458,1,1,0.95794
"1_233",2e-05,0.1657,1,0.06978,0.9542,0.1468,0.51926,0.28886,0.00454,1,1,0.96478
"1_580",2e-05,0.40278,1,0.19418,0.8688,0.36546,0.29722,0.33114,0.00428,1,1,0.8977
"1_595",2e-05,0.2915,1,0.14458,0.92332,0.26268,0.33782,0.38564,0.00364,1,1,0.9407
"1_552",6e-05,0.2175,1,0.08056,0.94014,0.18498,0.50356,0.29828,0.00432,1,1,0.95868
"1_497",2e-05,0.36488,1,0.11314,0.85058,0.32394,0.3307,0.32798,0.00432,1,1,0.8869
"1_210",2e-05,0.2075,1,0.04798,0.92114,0.18528,0.45982,0.30824,0.00434,1,1,0.93618
"1_538",2e-05,0.33762,1,0.11994,0.8718,0.30324,0.3246,0.34694,0.0042,1,1,0.89922
"1_366",2e-05,0.20664,1,0.09946,0.94864,0.18664,0.50246,0.28846,0.00398,1,1,0.95724
"1_556",2e-05,0.19386,1,0.1133,0.95506,0.16578,0.5372,0.27174,0.00486,1,1,0.96596
"1_646",2e-05,0.35124,1,0.16684,0.88524,0.31028,0.30362,0.37508,0.00404,1,1,0.91196
"1_491",2e-05,0.19084,1,0.05308,0.93284,0.1687,0.52462,0.2768,0.0044,1,1,0.94726
"1_546",0.00012,0.2952,1,0.0729,0.88542,0.26154,0.36688,0.32922,0.00426,1,1,0.90562
"1_193",4e-05,0.23898,1,0.08302,0.9321,0.21594,0.43104,0.32618,0.00438,1,1,0.94826
"1_231",2e-05,0.18568,1,0.08026,0.94196,0.1675,0.46664,0.29312,0.00434,1,1,0.95096
"1_364",2e-05,0.23144,1,0.11062,0.9141,0.18706,0.43758,0.32108,0.00444,1,1,0.94654
"1_246",2e-05,0.2135,1,0.12024,0.95584,0.18466,0.37278,0.38486,0.00342,1,1,0.96974
"1_483",2e-05,0.13348,1,0.04164,0.95258,0.11834,0.53308,0.286,0.00502,1,1,0.96254
"1_254",2e-05,0.10406,1,0.03684,0.96584,0.09178,0.58286,0.25146,0.00514,1,1,0.9725
"1_667",2e-05,0.4366,1,0.17066,0.83394,0.39246,0.25234,0.35328,0.00432,1,1,0.86158
"1_394",4e-05,0.25016,1,0.12432,0.90804,0.20942,0.48494,0.26564,0.00428,1,1,0.936
"1_190",2e-05,0.31306,1,0.0976,0.89524,0.27812,0.35242,0.31842,0.00442,1,1,0.91712
"1_454",2e-05,0.26658,1,0.13532,0.9064,0.22972,0.42506,0.32118,0.00438,1,1,0.9305
"1_164",2e-05,0.0982,1,0.0238,0.96968,0.08884,0.53274,0.28838,0.0046,1,1,0.97498
"1_172",2e-05,0.16156,1,0.08622,0.9596,0.14778,0.52034,0.29144,0.00452,1,1,0.9652
"1_389",2e-05,0.24866,1,0.05302,0.89012,0.22772,0.43064,0.306,0.00426,1,1,0.90898
"1_304",6e-05,0.18084,1,0.03246,0.91956,0.16596,0.56458,0.2124,0.00496,1,1,0.92884
"1_22",2e-05,0.13756,1,0.0679,0.96992,0.12026,0.48442,0.3213,0.00466,1,1,0.97852
"1_353",2e-05,0.11586,1,0.0628,0.97674,0.1014,0.60654,0.26166,0.00484,1,1,0.98236
