"id","weight","X1","X2","X3","X4","X5","X6","X7","X8","smear","tb_any","symptom"
"1_144",2e-05,1,0.10214,0.2975,0.12098,0.9113,0.10592,0.0231,0.00534,0.1253,1,0.35096
"1_375",2e-05,1,0.1202,0.25906,0.12678,0.9091,0.09308,0.03548,0.00506,0.13466,1,0.32982
"1_352",0.00012,1,0.188,0.54494,0.19584,0.83984,0.16646,0.05298,0.00554,0.20456,1,0.62054
"1_648",2e-05,1,0.13844,0.31642,0.14296,0.90826,0.09438,0.04424,0.00548,0.15702,1,0.38736
"1_218",2e-05,1,0.12918,0.4122,0.13744,0.90822,0.08626,0.04218,0.00552,0.1441,1,0.46478
"1_55",8e-05,1,0.08958,0.29234,0.10368,0.92316,0.08194,0.03066,0.00516,0.10882,1,0.33352
"1_320",2e-05,1,0.14154,0.41248,0.1537,0.89464,0.10548,0.04736,0.00514,0.15994,1,0.47032
"1_459",2e-05,1,0.1575,0.43662,0.16552,0.88116,0.12072,0.04638,0.00556,0.18316,1,0.50368
"1_654",2e-05,1,0.12632,0.34294,0.12556,0.90838,0.09468,0.047,0.0051,0.14454,1,0.40542
"1_424",2e-05,1,0.14492,0.39224,0.15784,0.88658,0.12248,0.0401,0.00496,0.16232,1,0.45846
"1_163",4e-05,1,0.10404,0.40654,0.1157,0.91842,0.09592,0.02436,0.00544,0.1193,1,0.455
"1_21",6e-05,1,0.07774,0.30642,0.08586,0.93792,0.05776,0.02642,0.00566,0.09018,1,0.34194
"1_88",2e-05,1,0.10096,0.2883,0.11366,0.92344,0.08498,0.02768,0.00568,0.11862,1,0.34018
"1_358",4e-05,1,0.1352,0.39546,0.13982,0.89106,0.12292,0.03536,0.00566,0.15088,1,0.46524
"1_16",8e-05,1,0.08704,0.32238,0.1047,0.92046,0.0916,0.02278,0.0055,0.10928,1,0.36352
"1_376",2e-05,1,0.1271,0.38628,0.13126,0.91084,0.07582,0.05142,0.00582,0.1372,1,0.4459
"1_179",4e-05,1,0.1421,0.47206,0.15018,0.8955,0.09402,0.05098,0.00536,0.1573,1,0.52884
"1_279",4e-05,1,0.11624,0.31818,0.12088,0.92154,0.0747,0.03788,0.00534,0.1256,1,0.375
"1_633",4e-05,1,0.13262,0.32274,0.13734,0.91414,0.09178,0.03648,0.00504,0.14554,1,0.39096
"1_561",4e-05,1,0.12032,0.34822,0.12602,0.92002,0.08228,0.03364,0.00558,0.13298,1,0.40602
"1_640",2e-05,1,0.13348,0.35956,0.13974,0.8993,0.10296,0.03948,0.00496,0.14904,1,0.4293
"1_133",0.00018,1,0.1012,0.37366,0.11598,0.8998,0.11944,0.03002,0.00486,0.11928,1,0.4175
"1_475",4e-05,1,0.15218,0.46898,0.1633,0.87958,0.12506,0.04942,0.00576,0.17356,1,0.53252
"1_281",2e-05,1,0.14426,0.4455,0.15064,0.8885,0.11246,0.04362,0.0058,0.1553,1,0.50978
"1_708",2e-05,1,0.13858,0.28584,0.13848,0.91392,0.08662,0.04286,0.00576,0.15474,1,0.35644
"1_166",2e-05,1,0.10726,0.34092,0.11644,0.90412,0.10946,0.03142,0.00576,0.12568,1,0.39822
"1_380",2e-05,1,0.1187,0.34186,0.12066,0.9175,0.07302,0.0447,0.00598,0.1341,1,0.3974
"1_383",4e-05,1,0.12592,0.40624,0.13702,0.90506,0.10442,0.03926,0.00582,0.14306,1,0.45996
"1_637",2e-05,1,0.11886,0.28118,0.11438,0.92668,0.07252,0.03944,0.00536,0.12842,1,0.34748
"1_121",2e-05,1,0.09158,0.27396,0.09938,0.91674,0.09816,0.02388,0.00504,0.10254,1,0.32748
"1_311",2e-05,1,0.1178,0.31916,0.12446,0.91828,0.0848,0.03478,0.00578,0.13208,1,0.38162
"1_716",2e-05,1,0.16166,0.33512,0.1567,0.90674,0.0895,0.0534,0.0056,0.17886,1,0.40894
"1_243",6e-05,1,0.12612,0.34154,0.13462,0.91576,0.08066,0.03832,0.00556,0.14236,1,0.39938
"1_162",2e-05,1,0.15462,0.45516,0.15716,0.87702,0.11412,0.05104,0.0051,0.16624,1,0.52202
"1_579",2e-05,1,0.13054,0.32366,0.13566,0.91332,0.0884,0.04078,0.00536,0.14152,1,0.3919
"1_262",2e-05,1,0.12708,0.45922,0.14122,0.8836,0.12806,0.04188,0.00564,0.1501,1,0.51536
"1_407",8e-05,1,0.12344,0.37026,0.13208,0.90102,0.10922,0.03554,0.00526,0.13556,1,0.43098
"1_490",2e-05,1,0.13734,0.36328,0.13908,0.90024,0.09108,0.05088,0.00498,0.15526,1,0.42828
"1_134",1e-04,1,0.11144,0.36184,0.1245,0.9145,0.10104,0.02276,0.00568,0.1287,1,0.41164
"1_615",2e-05,1,0.12362,0.28486,0.1208,0.922,0.06488,0.05276,0.00522,0.13202,1,0.3522
"1_219",2e-05,1,0.15266,0.42996,0.17108,0.87502,0.13678,0.0413,0.00556,0.17904,1,0.49912
"1_38",2e-05,1,0.08292,0.32008,0.0916,0.93948,0.06246,0.02988,0.00622,0.0968,1,0.35646
"1_271",2e-05,1,0.10202,0.32104,0.11012,0.91948,0.08546,0.03338,0.00588,0.1216,1,0.37384
"1_267",8e-05,1,0.11002,0.3305,0.11778,0.89912,0.11524,0.0292,0.00518,0.1263,1,0.39124
"4_52",2e-05,1,0.13718,0.51306,0.15448,0.87294,0.13542,0.04256,0.00604,0.1616,1,0.56128
"4_389",6e-05,1,0.11234,0.37926,0.117,0.89718,0.10398,0.04314,0.00484,0.12048,1,0.43736
"4_624",2e-05,1,0.18648,0.34528,0.1956,0.86772,0.15044,0.0403,0.00546,0.20258,1,0.44958
"4_648",4e-05,1,0.16068,0.36636,0.16602,0.8938,0.1047,0.04744,0.00576,0.17,1,0.44486
"4_438",2e-05,1,0.10894,0.35258,0.1124,0.91422,0.09504,0.0326,0.00556,0.12152,1,0.41148
"4_18",4e-05,1,0.14116,0.44482,0.14722,0.86824,0.12738,0.04824,0.00522,0.15328,1,0.51492
"4_291",2e-05,1,0.13064,0.2593,0.14034,0.89572,0.1195,0.0284,0.0056,0.14916,1,0.34244
"4_14",4e-05,1,0.0953,0.37486,0.10518,0.91068,0.0889,0.0372,0.0057,0.1074,1,0.42146
"4_239",2e-05,1,0.13336,0.36746,0.14762,0.89882,0.1075,0.03778,0.00578,0.15384,1,0.42826
"4_145",2e-05,1,0.0966,0.3617,0.10772,0.91042,0.09354,0.03622,0.00524,0.11378,1,0.41138
"4_374",2e-05,1,0.14268,0.41782,0.14404,0.87702,0.1302,0.04522,0.00546,0.15186,1,0.48792
"4_132",2e-05,1,0.15198,0.52582,0.16558,0.8681,0.12072,0.0554,0.00488,0.17264,1,0.57794
"4_222",2e-05,1,0.11658,0.38366,0.12446,0.89872,0.10742,0.0342,0.005,0.13174,1,0.44374
"4_357",2e-05,1,0.10188,0.31116,0.10448,0.92242,0.07428,0.0384,0.00518,0.11304,1,0.36382
"4_568",2e-05,1,0.1199,0.35394,0.12544,0.9015,0.10352,0.04396,0.0053,0.13356,1,0.41702
"4_284",2e-05,1,0.1009,0.31364,0.10482,0.91986,0.0847,0.03068,0.00568,0.10778,1,0.37086
"4_225",2e-05,1,0.1133,0.38144,0.11874,0.90526,0.0959,0.04152,0.00544,0.12136,1,0.43976
"4_124",2e-05,1,0.0978,0.35434,0.10852,0.9144,0.07706,0.04798,0.0054,0.1142,1,0.39848
"4_89",2e-05,1,0.1076,0.3414,0.11904,0.91464,0.09064,0.02964,0.0057,0.1246,1,0.39774
"4_263",2e-05,1,0.11178,0.30472,0.1186,0.92002,0.08494,0.03116,0.00502,0.12362,1,0.36608
"4_447",2e-05,1,0.13546,0.29522,0.13924,0.91562,0.08308,0.0409,0.0064,0.14818,1,0.36464
"4_111",2e-05,1,0.12136,0.35152,0.12806,0.89956,0.10734,0.03468,0.00532,0.13266,1,0.41108
"4_153",2e-05,1,0.11848,0.36266,0.1274,0.89448,0.1263,0.0256,0.00512,0.1341,1,0.42978
"4_523",2e-05,1,0.11592,0.26178,0.11986,0.92038,0.082,0.03668,0.0053,0.13474,1,0.32216
"4_319",2e-05,1,0.1187,0.3357,0.12918,0.90396,0.1056,0.03952,0.00522,0.14218,1,0.39524
"4_591",2e-05,1,0.14458,0.42022,0.14986,0.89278,0.10012,0.05362,0.00532,0.16208,1,0.48208
"4_183",2e-05,1,0.1111,0.26854,0.12584,0.90976,0.1044,0.02566,0.00548,0.13188,1,0.3324
"4_554",2e-05,1,0.13564,0.2886,0.1409,0.91142,0.08974,0.0406,0.00566,0.1475,1,0.36354
"4_508",6e-05,1,0.12726,0.35722,0.1337,0.89358,0.11688,0.03958,0.00524,0.13844,1,0.42748
"4_614",2e-05,1,0.1387,0.36482,0.14888,0.8961,0.11668,0.03684,0.0058,0.15778,1,0.43718
"4_204",2e-05,1,0.0906,0.2461,0.09554,0.92458,0.08804,0.02436,0.00512,0.10106,1,0.30112
"4_281",2e-05,1,0.11888,0.36892,0.12738,0.90494,0.10704,0.02742,0.00494,0.13436,1,0.43136
"4_341",2e-05,1,0.14364,0.43562,0.16852,0.87756,0.14684,0.03204,0.0049,0.1804,1,0.50214
"4_538",2e-05,1,0.1263,0.27266,0.12946,0.91462,0.09272,0.03544,0.00588,0.13724,1,0.34654
"4_497",2e-05,1,0.1471,0.41362,0.15246,0.8745,0.13728,0.03946,0.0059,0.16222,1,0.49024
"4_505",2e-05,1,0.11652,0.33944,0.1135,0.91912,0.08712,0.03304,0.00556,0.12848,1,0.40096
"4_326",4e-05,1,0.0946,0.30422,0.09514,0.92536,0.07308,0.03806,0.00524,0.10212,1,0.35862
"4_267",2e-05,1,0.11526,0.39972,0.11842,0.89518,0.10148,0.04892,0.00586,0.12502,1,0.4566
"4_559",2e-05,1,0.12826,0.2899,0.1332,0.90714,0.0898,0.04604,0.00582,0.14172,1,0.35976
"4_555",2e-05,1,0.12176,0.33844,0.12214,0.91024,0.08314,0.04832,0.0051,0.13664,1,0.40386
"4_99",2e-05,1,0.09026,0.24614,0.09874,0.92536,0.08542,0.0254,0.00572,0.10512,1,0.29842
"4_66",2e-05,1,0.07948,0.23598,0.0822,0.93158,0.0664,0.03308,0.00582,0.08778,1,0.28612
"4_215",2e-05,1,0.1096,0.3088,0.11148,0.9251,0.074,0.03564,0.00542,0.1201,1,0.37048
"4_490",2e-05,1,0.12312,0.37556,0.12942,0.90266,0.10692,0.03484,0.0051,0.13582,1,0.43986
"4_404",2e-05,1,0.14236,0.39318,0.1591,0.88676,0.13254,0.0359,0.00516,0.16842,1,0.46004
"4_496",4e-05,1,0.11738,0.32572,0.12276,0.92388,0.08064,0.03506,0.00576,0.1336,1,0.38328
"4_269",2e-05,1,0.10382,0.31544,0.10838,0.92496,0.07478,0.03574,0.00514,0.11246,1,0.37294
"4_72",2e-05,1,0.0967,0.35954,0.10658,0.91452,0.09174,0.03284,0.00518,0.11318,1,0.40588
"4_301",2e-05,1,0.10792,0.32384,0.1135,0.9069,0.10202,0.036,0.00584,0.11748,1,0.3858
"4_507",2e-05,1,0.12692,0.3059,0.12264,0.9144,0.0741,0.04766,0.00578,0.13448,1,0.37848
"4_297",2e-05,1,0.11238,0.34864,0.12306,0.90772,0.10626,0.03256,0.00562,0.1372,1,0.4077
"4_651",2e-05,1,0.15774,0.28772,0.15438,0.90356,0.0967,0.04702,0.0057,0.16984,1,0.37872
"4_612",2e-05,1,0.12294,0.29462,0.12724,0.91864,0.08066,0.03894,0.00576,0.1333,1,0.36544
"4_226",4e-05,1,0.11312,0.34422,0.12434,0.90904,0.1107,0.02354,0.00568,0.12944,1,0.4034
"4_543",2e-05,1,0.13436,0.312,0.14028,0.8994,0.10676,0.03914,0.0059,0.14672,1,0.3887
"4_285",2e-05,1,0.108,0.38114,0.11396,0.91876,0.07962,0.03994,0.00518,0.1172,1,0.43214
"4_321",2e-05,1,0.14602,0.32404,0.1483,0.88936,0.11862,0.03782,0.00526,0.15522,1,0.40872
"4_407",2e-05,1,0.1361,0.3942,0.14304,0.901,0.08318,0.05258,0.00556,0.15114,1,0.45236
"4_593",2e-05,1,0.1173,0.31254,0.12856,0.90304,0.117,0.02872,0.00524,0.13568,1,0.37804
"4_460",2e-05,1,0.11626,0.34412,0.11908,0.90742,0.09392,0.04126,0.00532,0.12932,1,0.40528
"4_288",2e-05,1,0.10694,0.31094,0.11606,0.9182,0.08926,0.03174,0.00608,0.11964,1,0.36502
"4_602",2e-05,1,0.12328,0.2993,0.1263,0.91404,0.07698,0.05266,0.00504,0.14444,1,0.35714
"4_557",2e-05,1,0.11664,0.34478,0.11502,0.91574,0.0899,0.03734,0.00568,0.12958,1,0.40514
"4_364",2e-05,1,0.10216,0.31952,0.10976,0.91688,0.09344,0.03112,0.00552,0.11778,1,0.37458
"4_128",2e-05,1,0.11874,0.35014,0.13006,0.90564,0.10016,0.0392,0.00532,0.1356,1,0.40576
