"id","weight","X1","X2","X3","X4","X5","X6","X7","X8","smear","tb_any","symptom"
"1_32",0.00016,0.05294,1,0.02566,0.98882,0.04368,0.74694,0.19234,0.00388,1,1,0.99258
"1_290",2e-05,0.17082,1,0.07114,0.9652,0.14954,0.58222,0.25778,0.00362,1,1,0.9753
"1_282",0.00232,0.1675,1,0.0839,0.9567,0.14824,0.63148,0.2158,0.0036,1,1,0.967
"1_401",3e-04,0.139,1,0.06838,0.96292,0.12052,0.63992,0.22434,0.0042,1,1,0.96992
"1_35",0.00012,0.05126,1,0.01842,0.98688,0.0435,0.68768,0.22608,0.00394,1,1,0.99042
"1_131",4e-05,0.1754,1,0.04908,0.91944,0.1556,0.6315,0.2013,0.00376,1,1,0.93692
"1_236",2e-05,0.1175,1,0.04492,0.9685,0.10258,0.67188,0.21376,0.00352,1,1,0.975
"1_198",0.00072,0.08598,1,0.04708,0.98536,0.07666,0.67354,0.23596,0.0034,1,1,0.9884
"1_380",2e-05,0.1742,1,0.0602,0.94618,0.15118,0.6097,0.23572,0.0032,1,1,0.95912
"1_14",1e-04,0.12486,1,0.05644,0.97068,0.10418,0.6836,0.19474,0.00402,1,1,0.97948
"1_254",2e-05,0.1063,1,0.04004,0.97896,0.09104,0.63908,0.25312,0.00362,1,1,0.9844
"1_371",0.00028,0.1468,1,0.0471,0.94364,0.12132,0.68372,0.18146,0.00362,1,1,0.9596
"1_160",4e-05,0.14378,1,0.05766,0.9681,0.12376,0.61586,0.24708,0.0044,1,1,0.97808
"1_70",2e-05,0.0718,1,0.04008,0.98804,0.06142,0.6887,0.22108,0.00382,1,1,0.99134
"1_46",2e-05,0.02332,1,0.01152,0.99552,0.02036,0.76296,0.19084,0.00408,1,1,0.99662
"1_143",2e-05,0.15154,1,0.07278,0.96508,0.13228,0.64756,0.2107,0.00382,1,1,0.97204
"1_15",4e-05,0.07838,1,0.03162,0.98092,0.07012,0.73716,0.1732,0.00388,1,1,0.98506
"1_392",2e-05,0.19214,1,0.0903,0.9555,0.1666,0.5919,0.22906,0.00362,1,1,0.96616
"1_109",2e-05,0.1681,1,0.06304,0.93576,0.14586,0.605,0.2385,0.00394,1,1,0.95226
"1_216",2e-05,0.12756,1,0.03714,0.96298,0.11016,0.6649,0.21378,0.00344,1,1,0.97262
"1_209",2e-05,0.15284,1,0.03854,0.95278,0.13384,0.6395,0.2033,0.00364,1,1,0.96328
"1_220",2e-05,0.14926,1,0.05264,0.95906,0.13268,0.57446,0.26972,0.0032,1,1,0.9676
"1_113",0.00018,0.08342,1,0.03346,0.98054,0.0697,0.69088,0.21892,0.00324,1,1,0.98638
"1_195",4e-05,0.17936,1,0.08064,0.9505,0.15964,0.60084,0.22604,0.00388,1,1,0.9599
"3_269",2e-05,0.2058,1,0.08994,0.9467,0.17744,0.57536,0.24078,0.00372,1,1,0.95908
"3_68",4e-05,0.07676,1,0.03138,0.98028,0.06726,0.6913,0.21272,0.00434,1,1,0.98474
"3_78",2e-05,0.11848,1,0.05362,0.95584,0.10504,0.69146,0.19098,0.00394,1,1,0.96642
"3_122",2e-05,0.07084,1,0.0284,0.98424,0.06316,0.66022,0.24454,0.00334,1,1,0.98792
"3_306",2e-05,0.15326,1,0.06966,0.96546,0.13186,0.61848,0.2351,0.00362,1,1,0.97426
"3_414",2e-05,0.20074,1,0.08424,0.95502,0.17558,0.53832,0.27862,0.00336,1,1,0.96556
"3_83",4e-05,0.13998,1,0.06566,0.95158,0.12106,0.61892,0.23712,0.00402,1,1,0.9642
"3_217",2e-05,0.08224,1,0.04312,0.98272,0.0731,0.68894,0.20414,0.00324,1,1,0.98658
"3_108",4e-05,0.0768,1,0.02902,0.98326,0.068,0.71616,0.19012,0.00402,1,1,0.9867
"3_82",2e-05,0.12296,1,0.06866,0.97922,0.10768,0.60022,0.25954,0.00378,1,1,0.98508
"3_38",2e-05,0.07014,1,0.03608,0.98712,0.0605,0.73952,0.18248,0.00432,1,1,0.99062
"3_199",2e-05,0.11798,1,0.05266,0.96766,0.10234,0.65646,0.21392,0.0037,1,1,0.97508
"3_179",2e-05,0.06706,1,0.03208,0.98522,0.058,0.73862,0.18922,0.00402,1,1,0.9885
"3_211",2e-05,0.12836,1,0.06674,0.96966,0.11504,0.63904,0.23754,0.0038,1,1,0.9767
"3_307",2e-05,0.12446,1,0.04264,0.96798,0.10836,0.66752,0.21254,0.00368,1,1,0.97496
"3_69",2e-05,0.14648,1,0.05754,0.93754,0.12812,0.6233,0.23328,0.00346,1,1,0.95436
"3_128",2e-05,0.10166,1,0.02806,0.96448,0.0883,0.71612,0.17946,0.00336,1,1,0.97276
"3_1",2e-05,0.03842,1,0.01828,0.99124,0.03444,0.7512,0.19266,0.00386,1,1,0.99298
"3_198",4e-05,0.10866,1,0.05524,0.9733,0.09588,0.69838,0.19458,0.00402,1,1,0.97992
