"id","weight","X1","X2","X3","X4","X5","X6","X7","X8","smear","tb_any","symptom"
"1_368",2e-05,0.77288,0.10102,1,0.2049,0.66158,0.29938,0.03692,0.00728,0.20914,1,1
"1_332",2e-05,0.8193,0.11868,1,0.2216,0.6771,0.28778,0.03308,0.00866,0.23196,1,1
"1_272",4e-05,0.796,0.12444,1,0.20512,0.66646,0.3008,0.0309,0.00684,0.20988,1,1
"1_142",8e-05,0.83222,0.1603,1,0.19786,0.69146,0.24468,0.05752,0.00748,0.19878,1,1
"1_293",4e-05,0.88236,0.14684,1,0.19214,0.75146,0.19858,0.04834,0.00714,0.196,1,1
"1_66",6e-05,0.78342,0.0765,1,0.17696,0.71626,0.23666,0.045,0.00752,0.17848,1,1
"1_146",8e-05,0.81308,0.14816,1,0.22352,0.7192,0.24092,0.03738,0.00742,0.2242,1,1
"1_359",8e-05,0.82918,0.1609,1,0.21264,0.71508,0.23208,0.05038,0.00696,0.21512,1,1
"1_370",0.00146,0.74868,0.0877,1,0.22962,0.67056,0.29646,0.03198,0.00746,0.23368,1,1
"1_327",2e-05,0.75556,0.10886,1,0.20856,0.649,0.31218,0.036,0.00736,0.21048,1,1
"1_165",0.00042,0.80812,0.13082,1,0.19792,0.68376,0.27462,0.03814,0.00756,0.19824,1,1
"1_254",0.00076,0.84242,0.18022,1,0.22818,0.69358,0.2609,0.04252,0.00736,0.22918,1,1
"1_189",2e-05,0.82302,0.12282,1,0.1925,0.70504,0.24652,0.04658,0.0068,0.19504,1,1
"1_306",2e-05,0.78234,0.11168,1,0.21164,0.67526,0.2716,0.05034,0.00716,0.21504,1,1
"1_188",1e-04,0.84932,0.18122,1,0.23276,0.67052,0.2789,0.04732,0.00766,0.2344,1,1
"1_204",2e-05,0.78176,0.11518,1,0.17346,0.69396,0.25288,0.04814,0.00676,0.17406,1,1
"1_147",0.00018,0.8266,0.16642,1,0.22732,0.71886,0.21708,0.06086,0.0076,0.22944,1,1
"1_411",4e-05,0.74294,0.091,1,0.22464,0.63246,0.3347,0.03184,0.00732,0.23002,1,1
"1_286",2e-05,0.80458,0.12896,1,0.20396,0.71718,0.23186,0.04648,0.00708,0.20636,1,1
"1_206",2e-05,0.77246,0.13236,1,0.21122,0.67664,0.28596,0.03414,0.00802,0.21306,1,1
"1_347",2e-05,0.79944,0.0927,1,0.19242,0.68768,0.28458,0.0266,0.00762,0.19656,1,1
"1_392",0.00016,0.81422,0.11204,1,0.21334,0.71074,0.24956,0.03668,0.0074,0.21534,1,1
"1_256",2e-05,0.82106,0.19204,1,0.2422,0.67354,0.27322,0.04886,0.007,0.24352,1,1
"1_53",2e-05,0.7853,0.11412,1,0.18776,0.70906,0.2513,0.03608,0.00742,0.18834,1,1
"3_312",2e-05,0.7804,0.1499,1,0.2162,0.69794,0.24788,0.05182,0.00652,0.21736,1,1
"3_30",4e-05,0.80738,0.1611,1,0.21272,0.70084,0.24272,0.05136,0.00774,0.21396,1,1
"3_37",2e-05,0.82312,0.13948,1,0.20214,0.7059,0.2522,0.03836,0.00716,0.2028,1,1
"3_97",2e-05,0.79908,0.14168,1,0.21392,0.70154,0.26664,0.02902,0.00756,0.21402,1,1
"3_458",2e-05,0.80012,0.17966,1,0.26222,0.63488,0.31266,0.04896,0.00732,0.26838,1,1
"3_36",2e-05,0.84332,0.1088,1,0.15076,0.77518,0.17676,0.04344,0.0072,0.1519,1,1
"3_424",4e-05,0.73258,0.1057,1,0.19346,0.6326,0.32842,0.03756,0.00764,0.19626,1,1
"3_414",6e-05,0.79142,0.1679,1,0.26764,0.6448,0.3006,0.04628,0.00786,0.27566,1,1
"3_440",2e-05,0.75574,0.15016,1,0.24498,0.65806,0.2984,0.04096,0.00764,0.24756,1,1
"3_390",2e-05,0.81836,0.14816,1,0.1998,0.73526,0.20932,0.05288,0.00712,0.20152,1,1
"3_247",2e-05,0.81114,0.11414,1,0.17918,0.71982,0.24572,0.03168,0.00716,0.17978,1,1
"3_150",2e-05,0.8274,0.1792,1,0.23342,0.62818,0.3256,0.0401,0.00746,0.23566,1,1
"3_441",2e-05,0.79818,0.1271,1,0.19428,0.70488,0.24294,0.05014,0.0073,0.19826,1,1
"3_24",2e-05,0.80284,0.17016,1,0.2302,0.68554,0.26322,0.04306,0.00728,0.23034,1,1
"3_301",2e-05,0.7757,0.15412,1,0.26024,0.67166,0.29202,0.033,0.00736,0.26146,1,1
