"country","param","mean","lb","ub","q5","q10","q90","q95"
"Bangladesh","a_p_m",1.61274620542531,1.00556164621322,3.98765681680164,1.03116843864319,1.0686605266422,2.22332903893071,2.64937088011461
"Cambodia","a_p_m",1.9129707947143,1.02377174297636,4.6079227132217,1.05125734807666,1.11050330124284,2.88737823348623,3.50936541745608
"Nepal","a_p_m",2.21331255088867,1.06048212389087,4.49790956378864,1.12597670708365,1.21661799480557,3.44211233877526,3.91483098150224
"Philippines","a_p_m",1.7931396633903,1.02323009202417,4.31050564642545,1.05402398301465,1.0870773836102,2.8333828415535,3.48431480506567
"Vietnam","a_p_m",2.53497539573038,1.07201684268954,5.54517494855752,1.13658117681448,1.26715508807053,4.12340840015869,4.89155398481777
"Prior","a_p_m",4.57331809267249,1.14364152759527,9.56650652445443,1.28940308385276,1.58584691136491,8.3804910195456,9.14613786176395
"Bangladesh","a_p_s",1.96899616141873,1.17293051662399,3.15095998546479,1.24976069462776,1.37649856017842,2.65063039430446,2.88441186584392
"Cambodia","a_p_s",1.78560453220406,1.03147533438702,3.0863788846637,1.07783638544809,1.15208059515892,2.61612355665289,2.81928400582978
"Nepal","a_p_s",1.85063139744379,1.07696426870943,3.1386075142607,1.11813408951795,1.20799278403466,2.61923451713009,2.88131319916467
"Philippines","a_p_s",1.697731552978,1.03121887147835,3.38002909365654,1.04749948422111,1.06600555759649,2.68650812533332,3.05151803900004
"Vietnam","a_p_s",1.81506325631154,1.06065113580854,3.16134759390393,1.09792303129147,1.1391282068616,2.60691482853191,2.86224543736774
"Prior","a_p_s",4.850941756907,1.17768157297101,9.61825327097696,1.35600294357993,1.71257646694166,8.55807248425285,9.24485953772034
"Bangladesh","a_r_m",0.430936251145636,0.00702307458764586,0.966917143182724,0.0288199720400842,0.0739695192664414,0.841793255006864,0.914061454241793
"Cambodia","a_r_m",0.370869689755608,0.0227011432956666,0.861587604698905,0.0388083575355233,0.0836851466103289,0.709741878676118,0.80656159971849
"Nepal","a_r_m",0.453267424428117,0.0344459392875387,0.936881648215124,0.0643892162141989,0.114551731161638,0.825997464804964,0.882107397404059
"Philippines","a_r_m",0.391487157112391,0.0144808120683873,0.8937194879284,0.028767431380569,0.0558290985659212,0.766573576042818,0.847959379331634
"Vietnam","a_r_m",0.395329516913238,0.0140772963556548,0.929246708062365,0.0443827094888258,0.0639816548487538,0.785522751885207,0.861508827439164
