"...1","...2","...3","...4"
"2.5 [1.8-3.8]","0.2 [0.0-0.6]","2.0 [1.4-3.3]","0.1 [0.0-0.3]"
"0.9 [0.6-1.4]","9.1 [6.6-12.2]","1.2 [0.7-2.1]","4.1 [1.0-7.7]"
"0.7 [0.4-1.0]","0.1 [0.0-0.2]","2.8 [2.1-4.3]","0.1 [0.0-0.2]"
"0.6 [0.4-1.0]","5.2 [3.8-7.0]","1.2 [0.8-1.7]","5.5 [4.0-7.4]"
"1.5 [1.1-2.4]","14.3 [11.3-18.2]","2.4 [1.7-3.5]","9.6 [6.1-13.8]"
"1.3 [0.9-2.0]","5.3 [3.9-7.2]","4.0 [3.1-5.7]","5.5 [4.1-7.5]"
"4.7 [3.4-7.1]","14.6 [11.6-18.6]","7.3 [5.8-9.4]","9.8 [6.3-14.0]"
"100% [100-100%]","9% [1-22%]","80% [72-86%]","4% [1-9%]"
"10% [7-15%]","100% [100-100%]","14% [8-19%]","45% [12-69%]"
"24% [15-36%]","3% [1-7%]","100% [100-100%]","2% [0-5%]"
"11% [8-17%]","95% [84-100%]","22% [18-28%]","100% [100-100%]"
"12% [8-17%]","100% [100-100%]","22% [18-28%]","100% [100-100%]"
"30% [20-43%]","96% [87-100%]","100% [100-100%]","100% [100-100%]"
"87% [80-91%]","8% [1-19%]","69% [62-76%]","4% [1-8%]"
"11% [7-17%]","77% [65-86%]","26% [19-34%]","81% [72-88%]"
"2% [1-3%]","14% [9-19%]","4% [3-6%]","14% [9-20%]"
