"...1","...2","...3","...4"
"2.6 [1.9-5.2]","0.5 [0.1-0.9]","2.1 [1.5-4.5]","0.3 [0.1-0.6]"
"0.9 [0.6-1.9]","10.5 [6.9-14.9]","1.5 [0.9-2.3]","6.6 [3.8-9.7]"
"0.7 [0.4-1.5]","0.2 [0.1-0.4]","2.6 [2.1-3.6]","0.1 [0.0-0.3]"
"0.5 [0.3-1.1]","5.1 [3.1-7.5]","1.0 [0.6-1.6]","5.4 [3.5-7.7]"
"1.4 [0.9-2.9]","15.5 [10.6-20.7]","2.5 [1.7-3.8]","12.0 [7.9-16.3]"
"1.2 [0.8-2.5]","5.3 [3.4-7.6]","3.6 [2.9-4.9]","5.6 [3.7-7.9]"
"4.7 [3.4-9.4]","16.2 [11.5-21.1]","7.2 [5.7-11.7]","12.4 [8.4-16.7]"
"100% [100-100%]","18% [5-33%]","83% [77-89%]","12% [4-22%]"
"9% [6-16%]","100% [100-100%]","14% [10-20%]","63% [44-76%]"
"25% [16-44%]","7% [2-13%]","100% [100-100%]","6% [1-12%]"
"10% [6-17%]","94% [86-99%]","19% [14-26%]","100% [100-100%]"
"10% [7-18%]","100% [100-100%]","19% [14-26%]","100% [100-100%]"
"30% [20-51%]","95% [89-99%]","100% [100-100%]","100% [100-100%]"
"89% [80-92%]","16% [5-29%]","74% [67-79%]","11% [3-20%]"
"8% [5-15%]","58% [40-74%]","18% [13-26%]","62% [45-77%]"
"3% [2-5%]","24% [16-32%]","7% [5-10%]","26% [17-35%]"
