"...1","...2","...3","...4"
"2.7 [1.8-5.5]","0.3 [0.0-0.7]","1.9 [1.1-4.3]","0.1 [0.0-0.4]"
"1.0 [0.5-1.9]","10.9 [7.1-16.5]","1.1 [0.5-1.9]","3.8 [0.2-8.6]"
"0.6 [0.3-1.2]","0.1 [0.0-0.3]","2.9 [1.8-5.4]","0.1 [0.0-0.2]"
"0.7 [0.4-1.5]","6.8 [4.5-9.4]","1.4 [0.8-2.3]","7.2 [4.7-10.8]"
"1.7 [1.0-3.3]","17.7 [12.1-25.2]","2.5 [1.5-4.0]","11.1 [5.8-16.9]"
"1.3 [0.8-2.7]","6.9 [4.6-9.6]","4.3 [2.8-7.3]","7.3 [4.7-10.9]"
"5.0 [3.3-10.4]","18.1 [12.3-25.6]","7.3 [4.9-12.0]","11.3 [5.9-17.3]"
"100% [100-100%]","10% [0-23%]","70% [55-82%]","5% [0-15%]"
"9% [5-16%]","100% [100-100%]","11% [4-18%]","37% [1-76%]"
"21% [10-35%]","4% [0-9%]","100% [100-100%]","3% [0-8%]"
"10% [6-18%]","95% [83-100%]","19% [14-25%]","100% [100-100%]"
"11% [6-19%]","100% [100-100%]","19% [15-25%]","100% [100-100%]"
"27% [15-45%]","96% [85-100%]","100% [100-100%]","100% [100-100%]"
"85% [74-92%]","8% [0-20%]","60% [46-72%]","4% [0-13%]"
"12% [7-23%]","73% [51-91%]","35% [20-51%]","77% [54-92%]"
"2% [1-4%]","16% [7-30%]","4% [2-8%]","17% [8-31%]"
