"...1","...2","...3","...4","...5"
"2.6 [1.8-4.9]","0.3 [0.0-0.7]","2.1 [1.3-4.0]","0.2 [0.0-0.5]","1.8 [1.1-3.3]"
"0.9 [0.4-1.6]","9.4 [5.8-14.2]","1.3 [0.6-2.1]","4.8 [0.6-8.7]","3.0 [1.4-4.6]"
"0.8 [0.4-1.7]","0.1 [0.0-0.3]","3.0 [2.0-4.8]","0.1 [0.0-0.3]","1.0 [0.5-1.9]"
"0.7 [0.3-1.2]","5.9 [3.7-8.7]","1.3 [0.7-2.0]","6.2 [4.0-9.3]","2.5 [1.4-4.1]"
"1.6 [0.8-2.7]","15.3 [10.7-21.8]","2.5 [1.6-3.8]","10.9 [6.6-15.8]","5.5 [3.1-8.1]"
"1.5 [0.8-2.7]","6.0 [3.8-8.8]","4.3 [3.0-6.3]","6.3 [4.1-9.4]","3.4 [2.2-5.1]"
"5.0 [3.4-8.7]","15.7 [11.2-22.2]","7.6 [5.5-11.1]","11.2 [6.8-16.2]","8.2 [5.9-11.2]"
"100% [100-100%]","11% [1-26%]","80% [59-88%]","7% [0-18%]","68% [60-76%]"
"10% [5-15%]","100% [100-100%]","14% [5-20%]","52% [6-76%]","33% [22-43%]"
"26% [13-44%]","5% [0-11%]","100% [100-100%]","4% [0-10%]","32% [20-47%]"
"11% [7-17%]","96% [86-100%]","21% [15-27%]","100% [100-100%]","40% [31-49%]"
"11% [7-18%]","100% [100-100%]","21% [15-27%]","100% [100-100%]","41% [31-50%]"
"32% [18-50%]","97% [89-100%]","100% [100-100%]","100% [100-100%]","65% [56-74%]"
"87% [78-92%]","10% [1-23%]","69% [50-78%]","6% [0-16%]","59% [50-68%]"
"10% [6-19%]","70% [48-88%]","25% [15-46%]","74% [52-90%]","32% [20-45%]"
"2% [1-5%]","18% [8-29%]","5% [2-9%]","19% [9-31%]","8% [4-14%]"
