"Philippines","Vietnam","Nepal","Cambodia","Bangladesh"
"1.7 [1.1-3.4]","2.2 [1.4-4.0]","1.9 [1.3-3.8]","1.7 [1.2-2.6]","1.3 [1.1-1.8]"
"3.4 [2.1-4.9]","1.9 [1.2-2.8]","3.4 [2.3-4.9]","2.9 [2.0-4.2]","3.5 [2.6-4.6]"
"0.7 [0.4-1.3]","1.6 [1.1-2.4]","0.8 [0.6-1.4]","0.8 [0.6-1.1]","0.9 [0.7-1.2]"
"3.1 [2.1-4.5]","1.9 [1.3-2.7]","2.0 [1.3-2.9]","2.2 [1.6-3.0]","3.4 [2.5-4.3]"
"6.5 [4.3-9.0]","3.8 [2.8-5.0]","5.4 [3.9-7.3]","5.2 [4.0-6.8]","6.8 [5.5-8.4]"
"3.8 [2.5-5.6]","3.4 [2.5-4.7]","2.8 [2.0-4.0]","3.0 [2.3-4.0]","4.3 [3.4-5.3]"
"8.9 [6.1-13.1]","7.5 [5.6-10.7]","8.1 [6.2-11.9]","7.6 [6.0-9.9]","9.1 [7.6-10.9]"
"63% [59-67%]","75% [72-77%]","72% [68-76%]","66% [64-69%]","63% [59-66%]"
"32% [24-40%]","25% [21-30%]","33% [29-38%]","32% [26-38%]","41% [37-44%]"
"24% [18-32%]","42% [35-52%]","31% [25-42%]","29% [24-35%]","33% [30-37%]"
"43% [39-48%]","33% [30-37%]","37% [35-42%]","41% [38-45%]","48% [46-50%]"
"44% [42-49%]","33% [30-38%]","39% [36-44%]","42% [40-46%]","49% [47-51%]"
"62% [54-71%]","66% [58-76%]","61% [55-73%]","63% [57-70%]","71% [69-75%]"
"54% [45-59%]","65% [59-69%]","64% [56-69%]","58% [53-62%]","55% [50-58%]"
"38% [26-49%]","29% [24-34%]","25% [18-33%]","36% [30-41%]","33% [28-39%]"
"8% [3-14%]","6% [4-8%]","10% [7-14%]","6% [4-9%]","11% [9-14%]"
