"...1","...2","...3","...4"
"3.0 [1.9-5.3]","0.3 [0.1-0.8]","2.4 [1.5-4.5]","0.2 [0.1-0.4]"
"0.6 [0.3-1.1]","7.6 [5.0-11.2]","1.0 [0.5-1.5]","4.1 [1.8-6.5]"
"1.2 [0.7-2.2]","0.2 [0.1-0.4]","3.7 [2.6-5.1]","0.1 [0.0-0.3]"
"0.6 [0.3-1.0]","5.5 [3.7-7.7]","1.1 [0.7-1.8]","5.7 [3.9-8.0]"
"1.2 [0.7-2.1]","13.0 [9.8-17.2]","2.1 [1.4-3.0]","9.8 [6.8-13.4]"
"1.8 [1.0-3.2]","5.6 [3.9-7.9]","4.8 [3.6-6.4]","5.8 [4.0-8.1]"
"5.4 [3.4-9.3]","13.5 [10.3-17.6]","8.2 [6.1-11.4]","10.1 [7.0-13.7]"
"100% [100-100%]","10% [3-20%]","82% [75-88%]","6% [2-12%]"
"8% [5-15%]","100% [100-100%]","13% [9-18%]","54% [28-70%]"
"33% [19-50%]","5% [1-10%]","100% [100-100%]","4% [1-8%]"
"10% [6-17%]","96% [89-99%]","20% [16-25%]","100% [100-100%]"
"11% [7-17%]","100% [100-100%]","20% [16-25%]","100% [100-100%]"
"36% [22-55%]","97% [92-99%]","100% [100-100%]","100% [100-100%]"
"87% [79-92%]","9% [3-18%]","71% [65-76%]","5% [2-10%]"
"11% [7-18%]","74% [62-84%]","24% [19-30%]","77% [66-86%]"
"2% [1-4%]","16% [11-22%]","5% [3-7%]","17% [11-23%]"
