"id","weight","X1","X2","X3","X4","X5","X6","X7","X8","smear","tb_any","symptom"
"1_156",0.00156,0.18162,1,0.06368,0.94432,0.16494,0.53352,0.28458,0.00376,1,1,0.95544
"1_194",0.00058,0.10584,1,0.06856,0.98452,0.08374,0.68906,0.2121,0.0049,1,1,0.99016
"1_84",8e-05,0.2145,1,0.11702,0.96026,0.19112,0.41992,0.36538,0.00428,1,1,0.97098
"1_95",2e-05,0.20284,1,0.10148,0.93768,0.18026,0.56896,0.23312,0.00476,1,1,0.95236
"1_46",6e-05,0.17968,1,0.07218,0.93586,0.1631,0.61846,0.21078,0.00522,1,1,0.94692
"1_335",4e-05,0.15972,1,0.07232,0.95434,0.1399,0.59718,0.24146,0.00488,1,1,0.96362
"1_116",0.00048,0.13686,1,0.07576,0.9686,0.11152,0.64026,0.22714,0.00468,1,1,0.98102
"1_247",2e-05,0.25422,1,0.12802,0.93232,0.22536,0.505,0.26382,0.0042,1,1,0.94756
"1_32",0.00074,0.16222,1,0.05968,0.94604,0.1422,0.61896,0.22082,0.0051,1,1,0.95952
"1_230",2e-05,0.21604,1,0.1258,0.95446,0.18566,0.48174,0.31596,0.00366,1,1,0.9671
"1_249",0.00016,0.30674,1,0.13028,0.85066,0.27592,0.45404,0.26076,0.00442,1,1,0.88186
"1_168",2e-05,0.21376,1,0.12686,0.95442,0.188,0.46474,0.32364,0.00416,1,1,0.9654
"1_27",2e-05,0.21472,1,0.13058,0.9283,0.16136,0.59484,0.22186,0.00408,1,1,0.9618
"1_381",6e-05,0.33854,1,0.11682,0.8527,0.303,0.38768,0.30728,0.0042,1,1,0.88104
"1_35",0.00026,0.17596,1,0.09808,0.95748,0.15004,0.58808,0.25034,0.0045,1,1,0.9692
"1_90",2e-05,0.3286,1,0.11026,0.85362,0.29448,0.38156,0.30672,0.00414,1,1,0.88072
"1_179",2e-05,0.1105,1,0.06454,0.97436,0.09736,0.68814,0.20546,0.00514,1,1,0.97978
"1_360",0.00016,0.31782,1,0.17564,0.8944,0.26722,0.41448,0.31322,0.00418,1,1,0.92412
"1_359",2e-05,0.15146,1,0.0839,0.96662,0.1243,0.6409,0.2279,0.00434,1,1,0.97608
"1_131",2e-05,0.10108,1,0.05356,0.9827,0.09244,0.61544,0.27292,0.00458,1,1,0.98556
"1_344",2e-05,0.27906,1,0.13764,0.90644,0.2537,0.46506,0.27854,0.00418,1,1,0.92254
"1_297",2e-05,0.27986,1,0.14904,0.92786,0.24872,0.49398,0.24954,0.00442,1,1,0.94174
"1_286",2e-05,0.13052,1,0.05654,0.95328,0.11556,0.7075,0.16662,0.00486,1,1,0.96188
"1_216",2e-05,0.20702,1,0.1158,0.95538,0.18682,0.55178,0.25764,0.00476,1,1,0.96548
"1_222",2e-05,0.24718,1,0.1241,0.94,0.2239,0.41424,0.35378,0.00396,1,1,0.9519
"1_268",2e-05,0.23622,1,0.1411,0.93488,0.19108,0.54434,0.2552,0.00514,1,1,0.95912
"1_11",0.00024,0.07836,1,0.0404,0.98006,0.07064,0.70134,0.20328,0.00454,1,1,0.98434
"1_227",2e-05,0.16556,1,0.0799,0.95364,0.14604,0.6415,0.20032,0.00472,1,1,0.96456
"1_351",2e-05,0.27118,1,0.1205,0.93212,0.23936,0.46078,0.2926,0.00426,1,1,0.94746
"1_10",2e-05,0.24338,1,0.10146,0.91852,0.22432,0.48106,0.27444,0.00426,1,1,0.93406
"4_334",6e-05,0.2172,1,0.11288,0.9391,0.18744,0.55182,0.25514,0.00464,1,1,0.9576
"4_140",4e-05,0.11154,1,0.05852,0.97918,0.10188,0.6578,0.22634,0.00462,1,1,0.98286
"4_31",2e-05,0.13756,1,0.05682,0.9544,0.11892,0.63916,0.20954,0.00434,1,1,0.96666
"4_126",2e-05,0.10138,1,0.04944,0.97082,0.08932,0.69164,0.1984,0.00508,1,1,0.97788
"4_19",4e-05,0.204,1,0.11108,0.96098,0.18388,0.48914,0.30272,0.0046,1,1,0.97036
"4_265",6e-05,0.17966,1,0.10252,0.9591,0.15398,0.60258,0.23738,0.00426,1,1,0.97144
"4_226",2e-05,0.23904,1,0.1081,0.93174,0.213,0.47024,0.30226,0.00388,1,1,0.94692
"4_359",2e-05,0.14516,1,0.06664,0.96664,0.12932,0.61018,0.2478,0.00438,1,1,0.97448
"4_352",2e-05,0.32134,1,0.1504,0.86614,0.28592,0.47932,0.22718,0.00448,1,1,0.90412
"4_250",2e-05,0.1107,1,0.06124,0.96954,0.09072,0.66222,0.20676,0.00496,1,1,0.97962
"4_426",2e-05,0.34088,1,0.16842,0.89108,0.3076,0.37558,0.31488,0.00414,1,1,0.91336
"4_56",2e-05,0.12872,1,0.05896,0.96228,0.11556,0.64906,0.2134,0.00488,1,1,0.96976
"4_168",4e-05,0.24366,1,0.10324,0.90264,0.21778,0.48622,0.26942,0.00476,1,1,0.92344
"4_263",2e-05,0.20974,1,0.1074,0.92766,0.17954,0.504,0.29186,0.00416,1,1,0.94578
"4_63",2e-05,0.15706,1,0.07722,0.9633,0.14356,0.5979,0.2341,0.00422,1,1,0.96982
"4_62",2e-05,0.11664,1,0.04784,0.96486,0.1057,0.70434,0.179,0.00458,1,1,0.9711
"4_131",2e-05,0.14214,1,0.07084,0.96668,0.12936,0.58656,0.26648,0.00412,1,1,0.97318
"4_43",2e-05,0.1547,1,0.06794,0.9628,0.13902,0.61054,0.2257,0.00468,1,1,0.97052
"4_345",2e-05,0.20066,1,0.1275,0.96586,0.17432,0.51398,0.29932,0.0042,1,1,0.97554
"4_399",8e-05,0.15488,1,0.06828,0.95562,0.14028,0.67356,0.18136,0.00478,1,1,0.96446
"4_112",4e-05,0.06176,1,0.03302,0.98266,0.05386,0.77268,0.15946,0.005,1,1,0.98692
"4_380",2e-05,0.1687,1,0.09314,0.97022,0.14532,0.54046,0.29572,0.00418,1,1,0.9784
"4_414",2e-05,0.14166,1,0.07244,0.9714,0.1214,0.60222,0.24566,0.0043,1,1,0.97856
"4_25",4e-05,0.18846,1,0.0988,0.9452,0.17062,0.48698,0.29328,0.00414,1,1,0.95714
"4_101",2e-05,0.23616,1,0.13296,0.94212,0.2028,0.46364,0.31948,0.00418,1,1,0.9615
"4_290",2e-05,0.19204,1,0.10664,0.96004,0.17158,0.55678,0.26112,0.00472,1,1,0.97144
"4_298",2e-05,0.22342,1,0.09584,0.93436,0.20298,0.57756,0.21424,0.00512,1,1,0.94822
"4_440",2e-05,0.26712,1,0.11196,0.9188,0.23694,0.45102,0.30016,0.00412,1,1,0.93678
"4_162",2e-05,0.13148,1,0.05642,0.9593,0.11536,0.65792,0.19332,0.00448,1,1,0.96782
"4_317",4e-05,0.181,1,0.0697,0.92028,0.16164,0.60124,0.22314,0.00492,1,1,0.93424
"4_18",2e-05,0.04302,1,0.0235,0.99032,0.03804,0.71708,0.2225,0.00486,1,1,0.99256
"4_270",2e-05,0.09478,1,0.0396,0.97006,0.084,0.74956,0.15982,0.0046,1,1,0.97588
"4_132",2e-05,0.19126,1,0.09642,0.94658,0.1657,0.55252,0.26198,0.00446,1,1,0.96138
"4_353",2e-05,0.21096,1,0.09454,0.94976,0.18948,0.45268,0.33904,0.00428,1,1,0.96312
"4_90",2e-05,0.15446,1,0.08266,0.95784,0.13172,0.64312,0.20304,0.00438,1,1,0.96998
"4_124",2e-05,0.1951,1,0.07892,0.93322,0.17664,0.50466,0.28742,0.00484,1,1,0.94532
"4_421",2e-05,0.24896,1,0.13176,0.93586,0.21878,0.49026,0.2865,0.00392,1,1,0.95362
"4_97",2e-05,0.1496,1,0.06858,0.96012,0.13418,0.63372,0.22326,0.00438,1,1,0.97016
"4_310",2e-05,0.19198,1,0.10004,0.93934,0.16836,0.58734,0.236,0.00428,1,1,0.9555
"4_104",8e-05,0.19588,1,0.076,0.9218,0.17856,0.59974,0.21066,0.00452,1,1,0.9354
"4_384",2e-05,0.12654,1,0.04658,0.9556,0.11084,0.70624,0.17638,0.0046,1,1,0.96116
