"V1","V2","V3","V4","V5","V6","chain","round"
-52.2535436788029,2.81926780175327,0.994644941034414,1.01078048121822,0.00320388982838725,98933.4391369411,1,1
-57.9950271996547,7.06096909433482,0.541938937343968,2.27276955328757,0.0842761050778148,48398.5395966619,1,2
-58.7743027669978,7.77484068964466,0.824815783726092,1.43877128824266,0.0548867051609689,83404.1950973491,1,3
-59.1361167661727,16.2540823264912,0.396612312721321,3.850570440063,0.13334605278958,33760.49118725,1,4
-58.5691897361481,80.2504355555617,0.362525042550594,6.23994390027477,0.238171001651767,22435.2593959229,1,5
-54.2418057119484,34.2883768371187,0.93962646034618,1.13244918318194,0.0401107124308764,132456.157660396,1,6
-56.4114069789128,196.942505533945,0.206693270767537,17.396913219643,0.358466714188096,9196.09133898883,1,7
-55.6275857207137,295.696864654268,0.125127581724696,36.5924602394643,0.425511866544147,4644.7931136122,1,8
-54.9445611678082,289.985976948541,0.144020183228961,23.1045240224766,0.407392536184378,7789.72530133439,1,9
-54.9718777020211,376.338276862003,0.0538494586152856,76.2778524958408,0.477184179710709,2489.90651331798,1,10
-52.3918785627035,106.963410698677,0.776694338214751,1.65356608873988,0.139099669740502,120950.319308408,1,11
-54.0619982208388,365.213255496298,0.125208402033462,34.9870703749983,0.453524123042199,6001.24590362451,1,12
-53.4578950100798,4.0860062044782,0.597483582756756,2.249391527553,0.083086861801399,44455.911463649,2,1
-54.3765386902522,10.4440086173225,0.427658490283015,3.06627286144428,0.111626183941494,35873.498112801,2,2
-56.874247396476,48.3073940931701,0.456424811498227,3.93967013191666,0.181436549232295,30458.6567624615,2,3
-54.103967199987,67.3683814901405,0.555125384083459,3.02938734789275,0.175289639798629,42912.2973288537,2,4
-54.7347964877343,216.671369666374,0.459073231769058,4.66867723475645,0.307604172735765,29986.2946734341,2,5
-53.7415025515891,215.577343411447,0.385143880721938,6.19710298351963,0.313159286961071,24204.0197268401,2,6
-54.2185177644921,352.754129900794,0.102749089514344,30.8291530968164,0.445309194709736,5188.92524092689,2,7
-54.0525272574776,389.764648716405,0.102568198743949,36.0625833297381,0.46654391458578,4713.05495938393,2,8
-53.730995432611,375.372240135204,0.116257389910725,30.6466993408335,0.452286510117432,5872.42205545323,2,9
-53.8998024983887,479.12783656643,0.0674006351976935,76.7855891259045,0.526952215046672,2473.43565601331,2,10
-53.9683233065469,584.532530832134,0.0292147609568562,285.210303181008,0.589849691959891,700.240440293672,2,11
-53.2621082454042,437.096481391135,0.229754228894926,16.4096815940156,0.468795034209057,12796.3841980703,2,12
-57.5452670547666,8.17927105335127,0.567086372485521,2.14476913880473,0.0790341856470738,46624.5310090308,3,1
-58.5496715816499,19.2014071976209,0.62058921929717,2.28180919746799,0.109319930961845,48206.7993683302,3,2
-56.0702717124453,51.8048765821782,0.619068665870266,2.51201827442523,0.15344346421722,47769.7511960108,3,3
-56.2385783434224,113.123443210704,0.643981245889042,2.36631215307018,0.184228766362644,54937.2294389264,3,4
-56.7446809732144,265.866432786509,0.143466026947831,20.4078762340826,0.392602699268099,6859.14547792876,3,5
-55.7537113450369,255.009834549201,0.169056566951159,18.6261484533731,0.379644116647484,8052.24838132744,3,6
-55.1164222198679,219.936059327142,0.226339021587382,13.2831550924163,0.348911311349516,12044.4062916558,3,7
-54.9602692544717,275.459705010589,0.152431805964939,23.0802871837331,0.3989579914169,7364.63624693245,3,8
-54.8748001622327,344.905310654031,0.0640535103743217,51.8765800370418,0.456462150544296,3468.79310488131,3,9
-54.440964212017,345.031157641626,0.0613645591008902,61.958492884122,0.462343571870404,3065.58523851627,3,10
-53.7586559206346,319.082546663557,0.376867082959352,6.86203313209126,0.378293111449765,29145.0265668723,3,11
-54.0875502985776,465.117973176062,0.130431081401791,44.6210224676495,0.508882465371744,4705.32424311952,3,12
-58.6246741504142,4.69663741641981,0.956370121561283,1.092399915153,0.0195544767292122,91541.4823930625,4,1
-59.2246603949298,7.13002845269538,0.951000132658788,1.1043391906402,0.0219418695321874,99606.9836080824,4,2
-56.7591345419198,13.875144253071,0.578134144683024,2.53878220956869,0.109069640615167,47266.150185192,4,3
-57.5911407492087,39.3059215475659,0.489360134941843,3.20036419366794,0.140541550586708,40619.6894328735,4,4
-55.952976080997,47.424988476435,0.67538391877511,2.01246151442305,0.111626033836505,69566.0446313629,4,5
-57.2176888299105,203.161057942856,0.123646855057198,29.4564724741319,0.379077142392941,5091.29338109023,4,6
-55.8799609703647,187.959196263797,0.210743340607742,14.7606742561782,0.337510840571574,10838.6809750764,4,7
-56.023216551027,341.30929613643,0.0783968059170832,61.5848773091402,0.462791888154126,2759.43416941882,4,8
-54.8406193575573,263.285706134044,0.20273602601446,18.4049681737777,0.389472239544182,9779.02233982456,4,9
-55.1038449262395,379.625533393369,0.0701247944013942,77.2060054911654,0.481270159204193,2459.96140306928,4,10
-54.4460298678783,401.15643951433,0.0512121784290071,75.6202650853316,0.487279997108949,2643.80690990982,4,11
-54.2086654184035,451.5392253943,0.0590107573272543,92.4509397679126,0.51377944618394,2270.48582904296,4,12
-60.3599883135814,9.62045526135742,0.279491303456332,4.25604557380088,0.133663317382932,23495.2239556408,5,1
-58.7667444350594,6.17132691134027,0.946272072482578,1.11425457728293,0.0214520920193973,98720.6047765273,5,2
-54.5809901934677,6.73005744773583,0.709925053519671,1.83787858394577,0.0721594003790046,65292.2141661859,5,3
-55.2472364290147,53.6464219636963,0.330853595729527,4.95738167379695,0.188823514449124,26222.7222235076,5,4
-56.9626119740216,225.202805523542,0.0542009308313368,60.9174479936815,0.414784950245905,2297.20854587567,5,5
-53.309699377592,72.572939138143,0.72045346944543,1.83054657096888,0.115983996199817,81942.2853407654,5,6
-54.2061522985223,231.613694681664,0.402104736172632,5.8925036933094,0.322674586858483,27152.3134804979,5,7
-54.0373589142501,257.262918307285,0.242037554917936,10.3887538666761,0.348459896217241,16362.945293774,5,8
-54.2768110885895,400.009082710911,0.16751198246867,26.4303157671829,0.463878195712191,6809.39914332834,5,9
-53.6268837219679,322.406581557019,0.422132258005403,5.5142048540706,0.363044045808388,34455.6451563694,5,10
-53.8484064365957,472.949636269391,0.138362043946977,36.8041339476429,0.505278922421071,5433.19932406229,5,11
-53.6795862134056,521.509753309641,0.0526136796518463,102.704209350821,0.547506800234058,2043.71657825009,5,12
-45.7406532848535,1.0122841925746,0.999987645139126,1.00002471003764,1.33784964373579e-05,99997.5290325838,6,1
-54.6253534238432,3.27230122118085,0.911702995631122,1.1927165650655,0.0270964589751569,92226.2761359756,6,2
-56.9139461398941,8.15115552723904,0.837346367635792,1.39598099565867,0.0502639910280284,85960.7719509712,6,3
