"id","weight","X1","X2","X3","X4","X5","X6","X7","X8","smear","tb_any","symptom"
"1_164",0.00392,0.60112,0.04408,1,0.2202,0.53932,0.42514,0.03262,0.00598,0.22914,1,1
"1_95",6e-05,0.62304,0.04884,1,0.17826,0.56848,0.38846,0.03806,0.00598,0.18188,1,1
"1_55",0.00158,0.64618,0.04956,1,0.2155,0.5804,0.37032,0.0446,0.00538,0.22544,1,1
"1_179",4e-05,0.75926,0.07194,1,0.21554,0.68424,0.28852,0.02568,0.00526,0.21594,1,1
"1_70",0.00072,0.7744,0.04618,1,0.15398,0.7196,0.24766,0.02994,0.00542,0.16032,1,1
"1_2",3e-04,0.67478,0.07106,1,0.1713,0.5907,0.35386,0.0453,0.00562,0.17292,1,1
"1_151",2e-05,0.59604,0.05464,1,0.18548,0.5249,0.44718,0.02594,0.00548,0.18602,1,1
"1_214",0.00032,0.57138,0.0638,1,0.21004,0.50018,0.4679,0.0291,0.0059,0.21282,1,1
"1_64",6e-05,0.67586,0.04372,1,0.19048,0.61588,0.3561,0.02614,0.00574,0.19238,1,1
"1_24",2e-05,0.67618,0.04642,1,0.19456,0.60296,0.35258,0.04072,0.00496,0.19794,1,1
"1_161",6e-05,0.70464,0.07446,1,0.17446,0.6212,0.35002,0.02684,0.00514,0.17692,1,1
"1_113",4e-05,0.7073,0.06188,1,0.20752,0.65154,0.30648,0.03876,0.00616,0.21074,1,1
"1_137",8e-05,0.58646,0.0417,1,0.19554,0.52364,0.43798,0.03602,0.00594,0.1997,1,1
"1_36",4e-05,0.65196,0.07006,1,0.17954,0.58228,0.37586,0.03588,0.0057,0.18058,1,1
"1_6",6e-05,0.54454,0.05228,1,0.21162,0.50066,0.44092,0.04688,0.0055,0.21378,1,1
"1_185",2e-05,0.772,0.07848,1,0.16426,0.67784,0.29904,0.02176,0.00606,0.16554,1,1
"1_173",4e-05,0.64816,0.05772,1,0.23332,0.5874,0.38276,0.0282,0.0058,0.23752,1,1
"1_122",4e-05,0.65096,0.04744,1,0.1683,0.5918,0.37574,0.0296,0.00606,0.17156,1,1
"4_144",2e-05,0.66796,0.06032,1,0.20126,0.59366,0.37736,0.02786,0.00532,0.20446,1,1
"4_64",8e-05,0.65602,0.06084,1,0.21576,0.59326,0.37024,0.0343,0.00582,0.2174,1,1
"4_80",8e-05,0.62396,0.06196,1,0.1824,0.56186,0.40754,0.02812,0.0049,0.18306,1,1
"4_2",2e-05,0.79426,0.09892,1,0.16214,0.7311,0.19454,0.06644,0.00538,0.1654,1,1
"4_145",2e-05,0.74054,0.09198,1,0.21886,0.66478,0.29936,0.03374,0.00582,0.22224,1,1
"4_58",0.00012,0.62524,0.05326,1,0.19146,0.56166,0.407,0.02872,0.00508,0.19236,1,1
"4_3",4e-05,0.72658,0.07596,1,0.13586,0.67546,0.28204,0.03498,0.00566,0.13642,1,1
"4_89",2e-05,0.73412,0.06918,1,0.12982,0.65888,0.31322,0.0261,0.00536,0.13226,1,1
"4_15",6e-05,0.68492,0.0821,1,0.19564,0.62532,0.32932,0.04016,0.00542,0.19612,1,1
"4_115",6e-05,0.65288,0.07586,1,0.19322,0.5841,0.38608,0.02744,0.00542,0.1953,1,1
"4_167",2e-05,0.73766,0.1059,1,0.1971,0.65188,0.31446,0.03086,0.00554,0.19882,1,1
"4_14",2e-05,0.74266,0.04926,1,0.1646,0.68986,0.27474,0.0324,0.00614,0.16588,1,1
"4_193",2e-05,0.66558,0.12946,1,0.17976,0.58524,0.35082,0.06126,0.00602,0.18276,1,1
"4_95",2e-05,0.67168,0.09686,1,0.1713,0.59618,0.37578,0.02516,0.0061,0.17146,1,1
"4_200",2e-05,0.75756,0.16244,1,0.21636,0.65998,0.24612,0.09026,0.00598,0.22136,1,1
"4_74",0.00014,0.60762,0.05172,1,0.1834,0.55512,0.4076,0.03438,0.00554,0.1867,1,1
