"id","weight","X1","X2","X3","X4","X5","X6","X7","X8","smear","tb_any","symptom"
"1_259",0.00586,0.063,0.37158,0.04844,1,0.05252,0.79724,0.14766,0.0038,1,1,1
"1_142",0.00032,0.05516,0.7441,0.0294,1,0.0447,0.73178,0.20222,0.0039,1,1,1
"1_223",1e-04,0.06052,0.4015,0.03384,1,0.05304,0.7942,0.14952,0.00434,1,1,1
"1_29",0.00012,0.08848,0.57692,0.0576,1,0.07066,0.72782,0.19272,0.00392,1,1,1
"1_170",2e-05,0.0834,0.56366,0.06222,1,0.07498,0.76598,0.15522,0.00432,1,1,1
"1_306",0.00016,0.04752,0.57776,0.03272,1,0.04082,0.78674,0.16804,0.004,1,1,1
"1_226",2e-05,0.04974,0.3419,0.03484,1,0.0457,0.79808,0.15458,0.00384,1,1,1
"1_71",0.00118,0.02326,0.32156,0.01928,1,0.02152,0.8691,0.10732,0.00426,1,1,1
"1_60",2e-05,0.0315,0.56002,0.02308,1,0.02748,0.82636,0.14312,0.00382,1,1,1
"1_203",0.00026,0.02306,0.46332,0.0111,1,0.02042,0.82252,0.14656,0.00378,1,1,1
"1_76",0.00012,0.0474,0.7047,0.03174,1,0.0387,0.79154,0.15594,0.00418,1,1,1
"1_30",0.00024,0.1179,0.48434,0.05364,1,0.10774,0.64568,0.24142,0.00376,1,1,1
"1_156",2e-05,0.08102,0.44902,0.06428,1,0.07282,0.78702,0.13892,0.00426,1,1,1
"1_7",2e-05,0.10084,0.59168,0.07882,1,0.08644,0.70654,0.20026,0.00376,1,1,1
"1_263",2e-05,0.07742,0.53514,0.0509,1,0.06524,0.76504,0.16612,0.00394,1,1,1
"1_278",4e-05,0.05494,0.41922,0.03682,1,0.043,0.79954,0.1553,0.00414,1,1,1
"1_31",4e-05,0.04352,0.64292,0.03146,1,0.03876,0.73658,0.2104,0.00386,1,1,1
"1_287",2e-05,0.07822,0.357,0.06308,1,0.06716,0.76696,0.16454,0.00382,1,1,1
"1_204",2e-05,0.09134,0.42732,0.05878,1,0.07622,0.75686,0.16434,0.00406,1,1,1
"1_202",2e-05,0.06904,0.61294,0.04984,1,0.06136,0.76018,0.17306,0.00412,1,1,1
"1_42",2e-05,0.03342,0.50176,0.02634,1,0.03076,0.8421,0.12518,0.00378,1,1,1
"1_127",2e-05,0.05142,0.50078,0.03976,1,0.04216,0.78462,0.16888,0.0042,1,1,1
"1_185",2e-05,0.06644,0.50736,0.0453,1,0.0596,0.8063,0.13092,0.0043,1,1,1
"1_276",2e-05,0.06952,0.42544,0.04766,1,0.0608,0.76952,0.16658,0.00414,1,1,1
"4_24",2e-05,0.0731,0.37162,0.05144,1,0.06046,0.75608,0.17604,0.00384,1,1,1
"4_47",1e-04,0.06454,0.52916,0.02956,1,0.0543,0.78832,0.15182,0.00422,1,1,1
"4_285",4e-05,0.06282,0.39706,0.02458,1,0.05618,0.79478,0.14672,0.00418,1,1,1
"4_287",2e-05,0.1114,0.48258,0.07718,1,0.1017,0.67644,0.21878,0.00364,1,1,1
"4_363",2e-05,0.03698,0.50672,0.0201,1,0.03272,0.7945,0.16014,0.00406,1,1,1
"4_22",0.00012,0.05114,0.4123,0.0306,1,0.04426,0.81032,0.1424,0.00384,1,1,1
"4_142",2e-05,0.07966,0.48842,0.05476,1,0.06966,0.74844,0.17844,0.0042,1,1,1
"4_264",4e-05,0.03226,0.2977,0.00924,1,0.02928,0.84616,0.12172,0.00406,1,1,1
"4_89",2e-05,0.04848,0.52076,0.01544,1,0.04396,0.79664,0.15586,0.00412,1,1,1
"4_286",2e-05,0.0919,0.45068,0.04314,1,0.08142,0.71526,0.20152,0.00358,1,1,1
"4_128",2e-05,0.04062,0.39384,0.01912,1,0.03716,0.82184,0.13898,0.00392,1,1,1
"4_426",0.00016,0.10306,0.52008,0.0446,1,0.09304,0.71086,0.19384,0.0035,1,1,1
"4_288",2e-05,0.0524,0.31486,0.04134,1,0.04532,0.82622,0.12756,0.00436,1,1,1
"4_53",6e-05,0.0374,0.39384,0.01838,1,0.03406,0.81664,0.14458,0.00382,1,1,1
"4_227",2e-05,0.03236,0.2792,0.0267,1,0.02624,0.85056,0.11766,0.00474,1,1,1
"4_378",4e-05,0.09852,0.58352,0.0391,1,0.08718,0.68808,0.21964,0.00314,1,1,1
"4_271",2e-05,0.04492,0.36014,0.02554,1,0.0382,0.83118,0.12726,0.0034,1,1,1
"4_13",4e-05,0.05008,0.47402,0.02418,1,0.04374,0.79096,0.1578,0.00446,1,1,1
"4_328",2e-05,0.07994,0.2927,0.06028,1,0.06804,0.79404,0.13678,0.00422,1,1,1
"4_212",2e-05,0.07402,0.54694,0.04094,1,0.0625,0.78186,0.15288,0.0046,1,1,1
"4_408",1e-04,0.08826,0.5851,0.04944,1,0.07742,0.72456,0.19174,0.0039,1,1,1
"4_77",0.00012,0.03762,0.24932,0.02546,1,0.03412,0.8393,0.12478,0.00404,1,1,1
"4_230",2e-05,0.06904,0.44274,0.04036,1,0.06168,0.74542,0.18658,0.00416,1,1,1
"4_167",2e-05,0.04518,0.51942,0.0319,1,0.03442,0.74052,0.20032,0.00376,1,1,1
"4_32",2e-05,0.0767,0.47352,0.03566,1,0.06718,0.74644,0.1829,0.00418,1,1,1
"4_268",2e-05,0.0476,0.43452,0.02942,1,0.0424,0.80878,0.14548,0.00402,1,1,1
"4_220",2e-05,0.07194,0.43494,0.03362,1,0.06236,0.77248,0.16222,0.0038,1,1,1
"4_223",2e-05,0.0697,0.48666,0.02134,1,0.06306,0.7711,0.16262,0.00364,1,1,1
"4_317",2e-05,0.03324,0.25508,0.02226,1,0.02984,0.85682,0.1121,0.0035,1,1,1
"4_369",4e-05,0.03638,0.6003,0.01618,1,0.03168,0.80074,0.16086,0.00386,1,1,1
"4_238",0.00014,0.09546,0.4735,0.0577,1,0.0871,0.69512,0.21012,0.00428,1,1,1
"4_144",6e-05,0.0488,0.41616,0.03414,1,0.04402,0.83052,0.12444,0.00356,1,1,1
"4_217",2e-05,0.0531,0.21502,0.0353,1,0.04778,0.82614,0.12492,0.00384,1,1,1
"4_175",4e-05,0.0381,0.49732,0.02188,1,0.03046,0.83904,0.12734,0.00398,1,1,1
"4_189",0.00012,0.09254,0.50868,0.04398,1,0.07798,0.72702,0.18968,0.00382,1,1,1
"4_43",2e-04,0.07652,0.59446,0.04552,1,0.06898,0.74874,0.18124,0.00378,1,1,1
"4_388",2e-05,0.07248,0.40836,0.02776,1,0.06316,0.7665,0.1671,0.00376,1,1,1
"4_391",2e-05,0.03984,0.44774,0.0175,1,0.03574,0.83974,0.12254,0.00464,1,1,1
"4_436",2e-05,0.06866,0.34688,0.03294,1,0.06106,0.79106,0.14384,0.00392,1,1,1
"4_365",2e-05,0.04682,0.3784,0.02284,1,0.04276,0.82994,0.12606,0.004,1,1,1
"4_195",2e-05,0.04584,0.52334,0.02436,1,0.03674,0.8519,0.1099,0.00414,1,1,1
"4_452",2e-05,0.03856,0.4442,0.02332,1,0.0335,0.85504,0.1094,0.00416,1,1,1
"4_416",6e-05,0.05734,0.40362,0.04256,1,0.05088,0.82458,0.12314,0.00406,1,1,1
"4_135",2e-05,0.0386,0.43302,0.02432,1,0.03338,0.83712,0.12818,0.00382,1,1,1
"4_433",4e-05,0.07562,0.33866,0.02434,1,0.06922,0.77174,0.15778,0.00474,1,1,1
"4_372",4e-05,0.03308,0.17246,0.01602,1,0.02958,0.8717,0.0981,0.00474,1,1,1
"4_339",2e-05,0.05616,0.44686,0.02936,1,0.05094,0.80914,0.13716,0.0044,1,1,1
"4_191",4e-05,0.06464,0.4376,0.03448,1,0.05754,0.79078,0.15016,0.00424,1,1,1
"4_232",4e-05,0.07824,0.48378,0.0467,1,0.07086,0.72806,0.19382,0.00436,1,1,1
"4_204",2e-05,0.07748,0.42896,0.05788,1,0.06376,0.79248,0.14228,0.00406,1,1,1
"4_454",4e-05,0.03116,0.43362,0.01676,1,0.02566,0.87948,0.0938,0.00432,1,1,1
"4_103",2e-05,0.0616,0.38204,0.02982,1,0.05388,0.80222,0.14298,0.00384,1,1,1
"4_355",2e-05,0.03994,0.43254,0.02028,1,0.03572,0.81274,0.1447,0.00376,1,1,1
"4_139",2e-05,0.0488,0.46214,0.02092,1,0.04468,0.78298,0.16478,0.0039,1,1,1
"4_293",4e-05,0.05034,0.56342,0.02242,1,0.04192,0.81954,0.13344,0.00448,1,1,1
"4_194",4e-05,0.07188,0.27748,0.05548,1,0.06346,0.79844,0.13598,0.00398,1,1,1
"4_214",2e-05,0.0653,0.45676,0.02356,1,0.05716,0.78286,0.15714,0.00382,1,1,1
"4_432",4e-05,0.03048,0.29252,0.01724,1,0.02504,0.88018,0.09334,0.00436,1,1,1
"4_16",2e-05,0.07074,0.52596,0.0438,1,0.06134,0.73816,0.19192,0.0038,1,1,1
"4_390",2e-05,0.1009,0.3638,0.07618,1,0.08854,0.69772,0.20988,0.00384,1,1,1
"4_40",2e-05,0.08582,0.44214,0.05654,1,0.07396,0.75078,0.16778,0.00434,1,1,1
"4_348",4e-05,0.09704,0.50822,0.02998,1,0.08718,0.70976,0.19526,0.00368,1,1,1
