"id","weight","X1","X2","X3","X4","X5","X6","X7","X8","smear","tb_any","symptom"
"1_285",0.00284,0.07784,1,0.03902,0.95118,0.0619,0.82808,0.09536,0.0056,1,1,0.96076
"1_264",2e-05,0.01468,1,0.00572,0.98082,0.01262,0.85514,0.0997,0.0058,1,1,0.98186
"1_278",2e-05,0.1964,1,0.05222,0.84352,0.17466,0.67628,0.12444,0.00512,1,1,0.86074
"1_161",0.00382,0.22526,1,0.08062,0.8252,0.1975,0.63388,0.13398,0.0053,1,1,0.84598
"1_155",2e-05,0.1009,1,0.04546,0.91774,0.09052,0.7894,0.09782,0.00538,1,1,0.9261
"1_226",6e-05,0.12222,1,0.06276,0.91446,0.10956,0.77442,0.11002,0.00552,1,1,0.924
"1_309",0.00014,0.11042,1,0.03712,0.91724,0.094,0.746,0.13094,0.00488,1,1,0.9292
"1_76",2e-05,0.08518,1,0.021,0.91814,0.07706,0.80716,0.09092,0.00532,1,1,0.925
"1_6",6e-05,0.08732,1,0.01884,0.93924,0.07954,0.72938,0.1403,0.00572,1,1,0.94538
"1_211",2e-05,0.14886,1,0.06772,0.9022,0.13352,0.72902,0.12276,0.00518,1,1,0.91204
"1_287",2e-05,0.05266,1,0.01712,0.96146,0.04674,0.84972,0.0958,0.00492,1,1,0.96606
"1_219",0.00032,0.1142,1,0.0463,0.9159,0.09436,0.78826,0.09936,0.00528,1,1,0.93032
"1_324",4e-05,0.14134,1,0.03178,0.8855,0.12216,0.75058,0.10818,0.00552,1,1,0.89804
"1_349",2e-05,0.09658,1,0.02226,0.92076,0.0826,0.83998,0.07062,0.00608,1,1,0.93212
"1_356",2e-05,0.01692,1,0.00792,0.9896,0.01468,0.90588,0.07662,0.00544,1,1,0.99066
"1_261",2e-05,0.09524,1,0.02072,0.92438,0.08302,0.79658,0.09928,0.00538,1,1,0.93486
"1_60",2e-05,0.10302,1,0.02958,0.91722,0.09074,0.7744,0.10908,0.00474,1,1,0.92704
"1_184",2e-05,0.11276,1,0.04574,0.91588,0.10118,0.72486,0.13666,0.00474,1,1,0.92352
"1_246",2e-05,0.06672,1,0.03764,0.96326,0.05182,0.81208,0.11546,0.0052,1,1,0.97208
"1_87",2e-05,0.12138,1,0.05624,0.89048,0.10858,0.7011,0.13696,0.00534,1,1,0.89832
"1_48",2e-05,0.03084,1,0.012,0.97416,0.02802,0.78748,0.14158,0.00542,1,1,0.97654
"1_245",4e-05,0.11788,1,0.02618,0.9204,0.10238,0.75182,0.12652,0.00526,1,1,0.93308
"1_386",2e-05,0.09694,1,0.044,0.93786,0.08432,0.833,0.08116,0.00512,1,1,0.94566
"1_157",2e-05,0.06268,1,0.02672,0.96324,0.05538,0.81104,0.11914,0.00544,1,1,0.96704
"1_271",0.00014,0.17146,1,0.0383,0.8648,0.15014,0.72018,0.11514,0.00548,1,1,0.88072
"1_292",2e-05,0.08626,1,0.03058,0.934,0.0742,0.813,0.10146,0.00518,1,1,0.94234
"1_108",2e-05,0.02748,1,0.01162,0.9686,0.02438,0.82658,0.10388,0.00604,1,1,0.97036
"1_85",2e-05,0.10166,1,0.0239,0.92108,0.0903,0.75744,0.12782,0.00528,1,1,0.93052
"1_280",2e-05,0.06918,1,0.026,0.9431,0.06078,0.79594,0.11526,0.00538,1,1,0.94946
"1_384",2e-05,0.0532,1,0.02974,0.97096,0.04392,0.87244,0.08168,0.00466,1,1,0.97578
"1_304",2e-05,0.09428,1,0.04958,0.93964,0.07982,0.82086,0.09392,0.00548,1,1,0.95072
"1_116",2e-05,0.11516,1,0.04768,0.91538,0.10272,0.72638,0.14952,0.00476,1,1,0.92264
"4_84",2e-05,0.02414,1,0.01398,0.97642,0.02004,0.83848,0.10584,0.0062,1,1,0.97882
"4_232",2e-05,0.06906,1,0.0192,0.93284,0.05818,0.76476,0.12622,0.0056,1,1,0.94092
"4_26",2e-05,0.2091,1,0.0529,0.82992,0.18896,0.6469,0.13072,0.0053,1,1,0.8449
"4_270",2e-05,0.0157,1,0.00876,0.99252,0.01204,0.85478,0.11368,0.00536,1,1,0.99428
"4_335",2e-05,0.2338,1,0.06042,0.80448,0.19678,0.69806,0.09236,0.00578,1,1,0.83626
"4_259",6e-05,0.13758,1,0.02262,0.86578,0.1238,0.74138,0.09358,0.00532,1,1,0.87604
"4_328",2e-05,0.2314,1,0.0753,0.82064,0.1833,0.69334,0.11422,0.00496,1,1,0.85512
"4_131",2e-05,0.26738,1,0.08764,0.77684,0.2169,0.6476,0.10852,0.00546,1,1,0.81726
"4_244",2e-05,0.03396,1,0.01236,0.97768,0.02872,0.83854,0.10458,0.00492,1,1,0.98096
"4_364",1e-04,0.0997,1,0.02176,0.90728,0.08648,0.79554,0.09716,0.00558,1,1,0.91726
"4_284",2e-05,0.1469,1,0.0461,0.87146,0.13028,0.7523,0.09148,0.0052,1,1,0.88476
"4_122",6e-05,0.11648,1,0.04104,0.90504,0.09816,0.74676,0.12456,0.0053,1,1,0.91706
"4_456",2e-05,0.20326,1,0.06218,0.84094,0.17428,0.74176,0.07714,0.0056,1,1,0.8645
"4_38",2e-05,0.01622,1,0.00374,0.96444,0.01402,0.8329,0.09688,0.00614,1,1,0.96588
"4_117",2e-05,0.09592,1,0.032,0.91052,0.08444,0.75902,0.12014,0.00486,1,1,0.91744
"4_420",2e-05,0.0366,1,0.01496,0.97338,0.03162,0.86128,0.09278,0.00534,1,1,0.9758
"4_310",2e-05,0.03616,1,0.01978,0.9741,0.03076,0.8338,0.11052,0.005,1,1,0.97716
"4_171",6e-05,0.08994,1,0.02982,0.93498,0.0747,0.76354,0.13624,0.00508,1,1,0.94582
"4_430",2e-05,0.10324,1,0.04044,0.92668,0.08854,0.8175,0.08796,0.00562,1,1,0.93508
"4_140",6e-05,0.09858,1,0.01724,0.88612,0.08332,0.77944,0.08192,0.0058,1,1,0.89772
"4_391",4e-05,0.109,1,0.0238,0.90708,0.09178,0.78462,0.098,0.0057,1,1,0.91924
"4_185",4e-05,0.09096,1,0.03508,0.92078,0.0759,0.78442,0.11282,0.0056,1,1,0.93236
"4_22",0.00016,0.09998,1,0.03986,0.9135,0.09326,0.65814,0.17382,0.00518,1,1,0.91742
"4_296",2e-05,0.20028,1,0.04174,0.82724,0.17584,0.70226,0.09622,0.00598,1,1,0.84712
"4_288",2e-05,0.07934,1,0.04136,0.95146,0.06766,0.78466,0.12896,0.00536,1,1,0.9589
"4_108",2e-05,0.08766,1,0.02922,0.92502,0.06908,0.78436,0.1129,0.00594,1,1,0.9376
"4_149",2e-05,0.08718,1,0.03782,0.92776,0.0745,0.78232,0.09958,0.00602,1,1,0.93626
"4_63",2e-05,0.14606,1,0.04862,0.8768,0.12854,0.69024,0.13414,0.00528,1,1,0.88872
"4_306",2e-05,0.10186,1,0.04208,0.92964,0.0884,0.76702,0.12502,0.00522,1,1,0.93908
"4_67",6e-05,0.10324,1,0.03544,0.90598,0.08624,0.73278,0.13154,0.00538,1,1,0.9168
"4_266",4e-05,0.18316,1,0.04222,0.86326,0.1608,0.70098,0.11992,0.0054,1,1,0.8785
"4_321",2e-05,0.17624,1,0.06512,0.86568,0.15288,0.72548,0.1129,0.00554,1,1,0.88398
"4_374",2e-05,0.26822,1,0.0342,0.74686,0.24118,0.64568,0.08918,0.00574,1,1,0.76718
"4_42",6e-05,0.0373,1,0.0124,0.9556,0.03312,0.83208,0.09966,0.00542,1,1,0.95904
"4_119",4e-05,0.1242,1,0.07228,0.90984,0.09782,0.79468,0.09052,0.00482,1,1,0.92864
"4_307",0.00012,0.18726,1,0.0594,0.84752,0.1676,0.7578,0.07142,0.0048,1,1,0.86788
"4_319",2e-05,0.13496,1,0.05408,0.88736,0.10958,0.77022,0.09716,0.00528,1,1,0.90716
"4_308",2e-05,0.10542,1,0.0317,0.91836,0.08864,0.80964,0.09276,0.00598,1,1,0.93438
"4_134",2e-05,0.03022,1,0.0099,0.97858,0.02652,0.83198,0.12068,0.00538,1,1,0.98092
"4_16",2e-05,0.03212,1,0.01558,0.9739,0.02652,0.7589,0.14294,0.00512,1,1,0.97696
"4_137",2e-05,0.04786,1,0.01708,0.9591,0.03856,0.78444,0.1342,0.005,1,1,0.9656
"4_309",2e-05,0.1376,1,0.05058,0.88868,0.11218,0.7653,0.09278,0.00582,1,1,0.90696
"4_400",4e-05,0.04518,1,0.00976,0.95902,0.03976,0.84606,0.1009,0.0059,1,1,0.96408
"4_55",4e-05,0.23824,1,0.04334,0.78642,0.21724,0.64938,0.09932,0.00514,1,1,0.80546
"4_211",2e-05,0.11792,1,0.03778,0.88784,0.09998,0.76826,0.09692,0.00584,1,1,0.90146
"4_366",2e-05,0.12768,1,0.04276,0.89664,0.11424,0.75882,0.1077,0.00586,1,1,0.90522
"4_330",6e-05,0.01798,1,0.00846,0.98234,0.0144,0.86884,0.0917,0.00542,1,1,0.9844
"4_136",2e-05,0.15768,1,0.06464,0.89494,0.12172,0.7357,0.11208,0.00536,1,1,0.91676
"4_458",4e-05,0.05868,1,0.02126,0.95956,0.04828,0.8479,0.0972,0.00518,1,1,0.96484
"4_360",2e-05,0.01842,1,0.00534,0.97506,0.01542,0.87482,0.08586,0.00594,1,1,0.97664
"4_340",2e-05,0.19706,1,0.0509,0.8369,0.16868,0.72306,0.09548,0.0051,1,1,0.85884
"4_81",2e-05,0.10592,1,0.05228,0.91596,0.08848,0.74828,0.12468,0.00502,1,1,0.92594
"4_403",4e-05,0.05012,1,0.02164,0.96222,0.0401,0.85296,0.09138,0.00584,1,1,0.96796
"4_97",2e-05,0.06922,1,0.02956,0.9445,0.05766,0.76376,0.13592,0.0054,1,1,0.95276
"4_274",4e-05,0.1263,1,0.0685,0.91258,0.10928,0.75082,0.1231,0.00554,1,1,0.92424
"4_173",2e-05,0.01856,1,0.0055,0.9829,0.0163,0.84128,0.11652,0.0055,1,1,0.9845
"4_265",2e-05,0.03088,1,0.01124,0.96238,0.027,0.83156,0.10654,0.00512,1,1,0.96508
"4_47",8e-05,0.11068,1,0.0261,0.89206,0.10204,0.72206,0.12422,0.00514,1,1,0.89916
"4_43",2e-05,0.15414,1,0.06794,0.89464,0.12778,0.67224,0.15844,0.00504,1,1,0.91308
"4_37",2e-05,0.03536,1,0.0113,0.9445,0.03008,0.78646,0.11608,0.00482,1,1,0.94854
"4_251",2e-05,0.23026,1,0.0631,0.81592,0.20746,0.6508,0.1322,0.00538,1,1,0.83348
"4_7",2e-05,0.01252,1,0.00464,0.98462,0.01118,0.68966,0.18182,0.00564,1,1,0.98558
"4_212",2e-05,0.02278,1,0.00906,0.97904,0.0191,0.8475,0.11088,0.00526,1,1,0.98096
"4_158",2e-05,0.2419,1,0.02962,0.7729,0.21792,0.63322,0.09944,0.00568,1,1,0.78972
"4_421",0.00014,0.0233,1,0.00572,0.98254,0.0191,0.85034,0.11188,0.0054,1,1,0.98532
"4_144",4e-05,0.13696,1,0.08682,0.92792,0.10244,0.73032,0.14536,0.00498,1,1,0.94878
"4_135",2e-05,0.13352,1,0.05378,0.88398,0.11484,0.70024,0.13644,0.0049,1,1,0.89766
"4_382",2e-05,0.17986,1,0.03952,0.84528,0.1589,0.74648,0.09102,0.0057,1,1,0.8642
"4_13",2e-05,0.178,1,0.03912,0.83386,0.16144,0.62104,0.1366,0.00542,1,1,0.84844
"4_439",2e-05,0.11902,1,0.031,0.904,0.10316,0.808,0.08298,0.00516,1,1,0.91506
"4_336",2e-05,0.06316,1,0.01746,0.94402,0.0563,0.83572,0.09226,0.00522,1,1,0.9485
"4_44",2e-05,0.15738,1,0.04456,0.86644,0.14054,0.72192,0.10634,0.00498,1,1,0.87812
"4_312",2e-05,0.1513,1,0.06526,0.88754,0.12562,0.716,0.13666,0.00532,1,1,0.90684
"4_1",4e-05,0.1112,1,0.02016,0.82386,0.10318,0.58754,0.14192,0.00552,1,1,0.82932
