"id","weight","X1","X2","X3","X4","X5","X6","X7","X8","smear","tb_any","symptom"
"1_108",0.00674,0.03858,1,0.0067,0.96544,0.03382,0.82972,0.1153,0.005,1,1,0.96974
"1_71",6e-05,0.07358,1,0.01186,0.91544,0.06098,0.74546,0.12074,0.00494,1,1,0.92298
"1_56",0.00032,0.0686,1,0.00896,0.92958,0.06082,0.75588,0.12938,0.00522,1,1,0.93478
"1_190",0.00034,0.17866,1,0.04102,0.85098,0.15146,0.72992,0.10026,0.00544,1,1,0.87318
"1_19",0.00192,0.10176,1,0.01322,0.88226,0.0901,0.69028,0.1284,0.00526,1,1,0.89
"1_167",0.00088,0.06028,1,0.01554,0.95058,0.0525,0.83376,0.09894,0.00508,1,1,0.95552
"1_46",2e-05,0.06118,1,0.00652,0.9572,0.05562,0.72858,0.1809,0.00512,1,1,0.96106
"1_18",9e-04,0.05538,1,0.02422,0.9666,0.0434,0.7708,0.13584,0.00504,1,1,0.97644
"1_27",2e-05,0.08284,1,0.01022,0.92228,0.07508,0.70732,0.15586,0.00564,1,1,0.92764
"1_63",4e-05,0.1162,1,0.02806,0.8934,0.09814,0.80678,0.08128,0.00528,1,1,0.91038
"1_161",2e-05,0.11374,1,0.0215,0.89612,0.0944,0.77992,0.10134,0.00542,1,1,0.90884
"1_82",8e-05,0.023,1,0.00328,0.98432,0.02052,0.7783,0.16158,0.00514,1,1,0.98552
"1_151",2e-05,0.22704,1,0.03932,0.80562,0.19344,0.66896,0.1041,0.00494,1,1,0.829
"1_127",0.00038,0.06592,1,0.0178,0.94476,0.05814,0.83288,0.09474,0.00532,1,1,0.95118
"1_105",2e-05,0.10906,1,0.02122,0.89188,0.09494,0.76308,0.09742,0.00498,1,1,0.90174
"1_38",2e-05,0.10762,1,0.03358,0.93334,0.0884,0.76116,0.12734,0.00544,1,1,0.94522
"1_99",4e-05,0.12016,1,0.02674,0.9031,0.10156,0.7388,0.12354,0.0064,1,1,0.92004
"1_11",2e-05,0.06388,1,0.0127,0.95332,0.05812,0.71036,0.1519,0.00514,1,1,0.95714
"1_201",2e-05,0.0309,1,0.0081,0.98342,0.02602,0.85768,0.10816,0.00474,1,1,0.98548
"1_196",4e-05,0.13952,1,0.03236,0.9104,0.11908,0.7671,0.10494,0.00566,1,1,0.92346
"1_135",2e-05,0.17776,1,0.03144,0.8487,0.15998,0.69056,0.11662,0.00532,1,1,0.86274
"1_148",2e-05,0.17394,1,0.06032,0.8614,0.1525,0.73232,0.10228,0.00512,1,1,0.88048
"1_52",4e-05,0.11674,1,0.04864,0.9098,0.09902,0.77808,0.09974,0.00512,1,1,0.92294
"1_103",2e-05,0.05,1,0.00858,0.96624,0.04296,0.78448,0.13472,0.00566,1,1,0.96982
"1_6",2e-05,0.07464,1,0.01364,0.895,0.06484,0.76274,0.09278,0.00532,1,1,0.90336
"1_138",2e-05,0.13848,1,0.04004,0.8989,0.11106,0.74198,0.11884,0.00536,1,1,0.92262
"1_25",2e-05,0.19066,1,0.0453,0.83732,0.17208,0.66116,0.121,0.00522,1,1,0.84786
"1_172",2e-05,0.12146,1,0.02634,0.91936,0.10326,0.7729,0.10544,0.00538,1,1,0.9295
"4_542",2e-05,0.17834,1,0.03938,0.85978,0.14742,0.77072,0.07862,0.00514,1,1,0.88642
"4_405",2e-05,0.04364,1,0.01686,0.973,0.0337,0.82832,0.12412,0.0051,1,1,0.97948
"4_14",2e-05,0.05956,1,0.01174,0.93814,0.05262,0.70974,0.16606,0.00496,1,1,0.94406
"4_103",2e-05,0.07244,1,0.01878,0.92138,0.06364,0.7908,0.10804,0.0056,1,1,0.92762
"4_439",8e-05,0.06194,1,0.02406,0.95034,0.04884,0.84876,0.0962,0.00526,1,1,0.95952
"4_530",4e-05,0.02266,1,0.00728,0.98368,0.01808,0.90168,0.07726,0.00538,1,1,0.98734
"4_56",2e-05,0.10104,1,0.03094,0.92558,0.09308,0.68676,0.16652,0.00574,1,1,0.93288
"4_143",2e-05,0.01078,1,0.00242,0.97774,0.00928,0.86132,0.10278,0.00496,1,1,0.979
"4_217",6e-05,0.17026,1,0.04938,0.86992,0.14214,0.73758,0.10164,0.0059,1,1,0.89304
"4_303",4e-05,0.0556,1,0.01494,0.95758,0.04526,0.85942,0.08032,0.00518,1,1,0.9655
"4_312",2e-05,0.08392,1,0.02382,0.93288,0.06324,0.83534,0.09222,0.00524,1,1,0.94822
"4_507",2e-05,0.07116,1,0.01566,0.93732,0.06014,0.85416,0.08168,0.00564,1,1,0.9478
"4_151",4e-05,0.26142,1,0.0379,0.75516,0.2395,0.64526,0.09272,0.00466,1,1,0.7797
"4_347",2e-05,0.07986,1,0.01808,0.9284,0.06572,0.83994,0.08714,0.00538,1,1,0.94142
"4_537",4e-05,0.04444,1,0.01108,0.96104,0.03652,0.89448,0.06522,0.00504,1,1,0.9677
"4_213",2e-05,0.22598,1,0.07746,0.81814,0.19394,0.69972,0.09834,0.00576,1,1,0.85062
"4_452",2e-05,0.07398,1,0.02662,0.94446,0.06222,0.84624,0.0849,0.00588,1,1,0.95298
"4_425",2e-05,0.23508,1,0.07582,0.81708,0.19748,0.71564,0.08266,0.00478,1,1,0.84808
"4_376",2e-05,0.1498,1,0.03432,0.86838,0.12578,0.7705,0.08966,0.00588,1,1,0.88594
"4_342",2e-05,0.24516,1,0.06178,0.81148,0.22174,0.64706,0.11828,0.005,1,1,0.83544
"4_168",2e-05,0.0949,1,0.01796,0.90828,0.0821,0.78302,0.11322,0.00472,1,1,0.91888
"4_386",4e-05,0.1021,1,0.03694,0.9212,0.08518,0.8299,0.07974,0.0053,1,1,0.93576
"4_52",4e-05,0.23748,1,0.0672,0.79208,0.21062,0.64376,0.11584,0.00558,1,1,0.8188
"4_445",2e-05,0.24026,1,0.05948,0.8107,0.207,0.70882,0.07932,0.0047,1,1,0.84114
"4_104",2e-05,0.09188,1,0.02704,0.9261,0.07474,0.76254,0.12742,0.00512,1,1,0.93696
"4_49",2e-05,0.26354,1,0.05386,0.7779,0.2308,0.65488,0.0997,0.00556,1,1,0.80734
"4_380",2e-05,0.16356,1,0.03564,0.85658,0.14298,0.77658,0.0754,0.0062,1,1,0.879
"4_181",2e-05,0.14748,1,0.05612,0.88304,0.11896,0.74476,0.1139,0.00566,1,1,0.90426
"4_459",2e-05,0.05934,1,0.013,0.95616,0.05042,0.8459,0.09576,0.00516,1,1,0.96434
"4_378",2e-05,0.22464,1,0.04878,0.83186,0.19288,0.7019,0.09358,0.00484,1,1,0.856
"4_311",2e-05,0.11364,1,0.02522,0.90252,0.09858,0.79058,0.09232,0.00538,1,1,0.91782
"4_232",2e-05,0.09956,1,0.0297,0.91302,0.0772,0.8053,0.09822,0.00558,1,1,0.93246
"4_183",2e-05,0.13372,1,0.02452,0.88192,0.11794,0.76528,0.10058,0.0051,1,1,0.89594
"4_80",2e-05,0.0035,1,0.00082,0.99178,0.0031,0.83992,0.12296,0.00568,1,1,0.99206
"4_480",2e-05,0.0181,1,0.00398,0.98544,0.01526,0.8971,0.08072,0.00562,1,1,0.9876
"4_99",2e-05,0.10112,1,0.02488,0.92254,0.08968,0.77642,0.12088,0.00542,1,1,0.93422
"4_205",2e-05,0.2274,1,0.06038,0.81484,0.19332,0.68408,0.09504,0.00484,1,1,0.83346
"4_496",2e-05,0.17896,1,0.04008,0.8599,0.14514,0.77002,0.07946,0.0056,1,1,0.88526
"4_245",2e-05,0.08806,1,0.03712,0.9358,0.07648,0.79924,0.11116,0.0057,1,1,0.944
"4_366",4e-05,0.01436,1,0.00498,0.98602,0.0109,0.90364,0.07814,0.0054,1,1,0.9888
"4_248",2e-05,0.08416,1,0.02384,0.93722,0.06892,0.81894,0.09614,0.0054,1,1,0.95198
"4_304",2e-05,0.10146,1,0.0286,0.91196,0.0839,0.8076,0.08966,0.00522,1,1,0.9245
"4_450",2e-05,0.15304,1,0.0362,0.87918,0.13052,0.78146,0.0823,0.00478,1,1,0.89576
"4_290",2e-05,0.0952,1,0.02742,0.91968,0.08172,0.79508,0.10914,0.00534,1,1,0.9315
"4_509",2e-05,0.02868,1,0.00928,0.97748,0.02352,0.89258,0.08164,0.00516,1,1,0.98204
"4_391",2e-05,0.0767,1,0.01802,0.9374,0.06474,0.84246,0.08364,0.00508,1,1,0.94692
"4_295",2e-05,0.06932,1,0.01916,0.94098,0.0549,0.8354,0.09366,0.00506,1,1,0.95102
"4_422",4e-05,0.1085,1,0.02828,0.91062,0.0931,0.79458,0.10274,0.00544,1,1,0.92632
"4_6",2e-05,0.0169,1,0.00686,0.98694,0.01458,0.7707,0.16646,0.00492,1,1,0.989
"4_297",2e-05,0.14972,1,0.06294,0.89056,0.11646,0.77536,0.0964,0.00556,1,1,0.91616
"4_266",2e-05,0.1649,1,0.05846,0.87866,0.14022,0.74892,0.1011,0.00592,1,1,0.89718
"4_368",2e-05,0.19124,1,0.0548,0.84264,0.16828,0.72934,0.09822,0.00532,1,1,0.86258
"4_465",4e-05,0.08012,1,0.0196,0.94216,0.06672,0.81764,0.10592,0.00496,1,1,0.95308
"4_533",2e-05,0.17288,1,0.0474,0.8611,0.14718,0.76792,0.07858,0.00612,1,1,0.87932
"4_215",2e-05,0.08356,1,0.013,0.9268,0.07352,0.78804,0.11922,0.0051,1,1,0.93618
"4_128",2e-05,0.1913,1,0.04626,0.8289,0.15846,0.74774,0.07914,0.0057,1,1,0.8568
"4_315",2e-05,0.20752,1,0.0401,0.81878,0.18428,0.70908,0.09274,0.00542,1,1,0.83914
"4_327",2e-05,0.03328,1,0.00706,0.9677,0.02792,0.86654,0.0929,0.00514,1,1,0.97242
"4_462",2e-05,0.05086,1,0.0109,0.95672,0.04402,0.89432,0.05786,0.00568,1,1,0.96336
"4_167",2e-05,0.17738,1,0.06088,0.8566,0.1474,0.74494,0.10174,0.0058,1,1,0.88746
"4_20",2e-05,0.03846,1,0.01212,0.96134,0.03352,0.81964,0.11242,0.00584,1,1,0.9656
"4_166",6e-05,0.04152,1,0.01282,0.9586,0.03542,0.81824,0.11488,0.00542,1,1,0.9637
"4_238",2e-05,0.2211,1,0.05878,0.81204,0.1976,0.69676,0.09474,0.00582,1,1,0.82994
"4_292",4e-05,0.08852,1,0.02738,0.93188,0.06988,0.84974,0.07628,0.0053,1,1,0.94818
"4_392",2e-05,0.0038,1,0.00118,0.99592,0.00324,0.9117,0.0807,0.00504,1,1,0.9963
"4_76",2e-05,0.06396,1,0.01836,0.94936,0.0562,0.81156,0.10732,0.00546,1,1,0.95668
"4_39",2e-05,0.00178,1,0.00038,0.99596,0.0015,0.8743,0.11144,0.0058,1,1,0.99612
"4_87",2e-05,0.04556,1,0.01536,0.95706,0.03916,0.76884,0.1357,0.0052,1,1,0.96172
"4_22",4e-05,0.11778,1,0.01776,0.89446,0.10622,0.71918,0.1245,0.00566,1,1,0.90544
"4_204",2e-05,0.14178,1,0.01822,0.87652,0.12654,0.7498,0.10726,0.0053,1,1,0.89008
"4_185",2e-05,0.02288,1,0.005,0.98294,0.01978,0.85574,0.10806,0.00542,1,1,0.98558
"4_235",2e-05,0.01472,1,0.00314,0.98392,0.01296,0.86976,0.10308,0.00498,1,1,0.98602
"4_546",2e-05,0.1479,1,0.02958,0.87226,0.12914,0.7998,0.06898,0.00526,1,1,0.89036
"4_528",2e-05,0.19136,1,0.03384,0.84496,0.1657,0.75444,0.0774,0.00566,1,1,0.86404
"4_454",2e-05,0.02442,1,0.0085,0.98222,0.01982,0.8887,0.08694,0.00588,1,1,0.9863
"4_550",2e-05,0.20192,1,0.04132,0.83554,0.17672,0.75446,0.06678,0.00516,1,1,0.8599
"4_510",2e-05,0.06796,1,0.01714,0.94514,0.05386,0.86672,0.07634,0.00526,1,1,0.95676
"4_54",2e-05,0.13318,1,0.02158,0.8758,0.11658,0.73322,0.11584,0.00566,1,1,0.88938
"4_453",2e-05,0.20146,1,0.04238,0.82914,0.17822,0.74832,0.07058,0.00618,1,1,0.85734
"4_115",2e-05,0.0446,1,0.00864,0.96154,0.03732,0.80378,0.13068,0.00604,1,1,0.96698
"4_473",2e-05,0.22096,1,0.03916,0.80768,0.19534,0.69878,0.08868,0.00514,1,1,0.82692
"4_331",2e-05,0.13568,1,0.04622,0.89644,0.09708,0.78584,0.10752,0.00546,1,1,0.92592
"4_158",6e-05,0.04564,1,0.00466,0.94212,0.04096,0.81324,0.10222,0.0057,1,1,0.9455
"4_90",2e-05,0.12218,1,0.04696,0.91254,0.10426,0.76928,0.1085,0.00502,1,1,0.92768
"4_180",2e-05,0.03364,1,0.01254,0.97082,0.02942,0.84154,0.11038,0.0054,1,1,0.97408
"4_372",2e-05,0.12426,1,0.0272,0.89682,0.10698,0.79642,0.08596,0.0048,1,1,0.91064
"4_126",2e-05,0.21196,1,0.04268,0.8139,0.18632,0.67916,0.11186,0.00526,1,1,0.84316
"4_314",2e-05,0.1576,1,0.05016,0.87284,0.1252,0.78778,0.07514,0.0057,1,1,0.898
"4_340",2e-05,0.012,1,0.0026,0.98326,0.01012,0.86926,0.09996,0.00508,1,1,0.98452
"4_534",2e-05,0.10628,1,0.01908,0.90882,0.09084,0.83482,0.0679,0.00582,1,1,0.9215
"4_225",2e-05,0.08946,1,0.01884,0.92226,0.0757,0.79626,0.11244,0.00516,1,1,0.9338
"4_436",6e-05,0.11694,1,0.04144,0.90792,0.09818,0.81734,0.0809,0.00548,1,1,0.92342
"4_36",2e-05,0.0692,1,0.017,0.9274,0.06332,0.70428,0.15642,0.00526,1,1,0.93292
"4_483",2e-05,0.1699,1,0.03316,0.85068,0.14322,0.78074,0.07156,0.00574,1,1,0.87374
"4_318",2e-05,0.0437,1,0.00768,0.95876,0.03738,0.8605,0.0878,0.00492,1,1,0.96372
"4_345",2e-05,0.00282,1,0.00078,0.99576,0.00234,0.90346,0.08564,0.0055,1,1,0.99634
"4_15",2e-05,0.0914,1,0.01982,0.88506,0.08184,0.70472,0.1194,0.00482,1,1,0.89206
"4_464",2e-05,0.20966,1,0.04156,0.8213,0.1833,0.72428,0.08878,0.00574,1,1,0.84734
"4_162",2e-05,0.0653,1,0.02434,0.95274,0.05526,0.83298,0.10044,0.00506,1,1,0.96196
"4_430",2e-05,0.10042,1,0.02376,0.91306,0.08444,0.80206,0.09866,0.00542,1,1,0.92294
"4_355",2e-05,0.1233,1,0.02914,0.89438,0.1098,0.79322,0.08964,0.00526,1,1,0.907
"4_226",2e-05,0.21458,1,0.03984,0.81048,0.1838,0.70278,0.09318,0.00542,1,1,0.83594
"4_460",2e-05,0.14084,1,0.03564,0.88624,0.12166,0.79484,0.08076,0.0051,1,1,0.90158
"4_382",2e-05,0.02894,1,0.0085,0.97592,0.02504,0.88556,0.08416,0.00536,1,1,0.97832
"4_357",4e-05,0.1204,1,0.03324,0.91722,0.09902,0.78084,0.10168,0.00544,1,1,0.9341
