"id","weight","X1","X2","X3","X4","X5","X6","X7","X8","smear","tb_any","symptom"
"1_388",4e-05,0.01166,0.11538,0.00588,1,0.00948,0.8979,0.09116,0.00506,1,1,1
"1_465",0.0011,0.01326,0.03516,0.00646,1,0.01192,0.8899,0.09644,0.00558,1,1,1
"1_374",2e-05,0.01486,0.0919,0.00704,1,0.0123,0.88022,0.10422,0.00536,1,1,1
"1_496",2e-04,0.01654,0.11452,0.00682,1,0.01406,0.89626,0.08852,0.00474,1,1,1
"1_365",0.00326,0.0319,0.11164,0.0209,1,0.0228,0.88054,0.09596,0.00526,1,1,1
"1_376",8e-05,0.01608,0.04432,0.00836,1,0.01296,0.88924,0.09574,0.0054,1,1,1
"1_260",2e-05,0.03692,0.12914,0.01888,1,0.03324,0.83706,0.12554,0.00512,1,1,1
"1_359",4e-05,0.0233,0.09246,0.0135,1,0.01972,0.87222,0.10586,0.00558,1,1,1
"1_518",2e-05,0.02356,0.09876,0.0118,1,0.01912,0.89826,0.08188,0.00548,1,1,1
"1_486",0.00024,0.01768,0.0529,0.0094,1,0.01404,0.88878,0.09626,0.00514,1,1,1
"1_21",2e-05,0.01096,0.0775,0.0052,1,0.00914,0.84636,0.1347,0.00466,1,1,1
"1_125",2e-05,0.04182,0.09138,0.02466,1,0.03578,0.81596,0.14104,0.00504,1,1,1
"1_249",6e-05,0.01462,0.0424,0.00946,1,0.01298,0.87592,0.10838,0.00568,1,1,1
"1_329",6e-05,0.01508,0.06908,0.00656,1,0.01292,0.87402,0.11072,0.00562,1,1,1
"1_348",2e-05,0.01584,0.05384,0.00854,1,0.01348,0.89458,0.09084,0.00522,1,1,1
"1_59",2e-05,0.02792,0.13416,0.01246,1,0.0257,0.82708,0.13976,0.0052,1,1,1
"1_453",2e-05,0.02548,0.1558,0.01306,1,0.02014,0.88618,0.09254,0.00556,1,1,1
"1_419",0.00014,0.03532,0.11454,0.02386,1,0.02658,0.88226,0.08986,0.0053,1,1,1
"1_45",0.00044,0.0534,0.2035,0.02858,1,0.04828,0.76862,0.1704,0.00454,1,1,1
"1_92",2e-05,0.01892,0.0963,0.01014,1,0.01686,0.8525,0.1255,0.0051,1,1,1
"1_532",2e-05,0.00222,0.01428,0.0011,1,0.0017,0.93076,0.06698,0.00534,1,1,1
"1_177",2e-05,0.02584,0.076,0.01718,1,0.02196,0.87146,0.10378,0.00594,1,1,1
