"id","weight","X1","X2","X3","X4","X5","X6","X7","X8","smear","tb_any","symptom"
"1_65",0.00032,0.05254,0.2514,0.01318,1,0.04668,0.78524,0.16088,0.00492,1,1,1
"1_94",0.00072,0.00182,0.09974,0.00068,1,0.00154,0.91252,0.08322,0.00528,1,1,1
"1_156",4e-05,0.0079,0.12916,0.00512,1,0.0069,0.91868,0.07352,0.00584,1,1,1
"1_113",3e-04,0.01874,0.34194,0.00462,1,0.01722,0.86408,0.11568,0.0053,1,1,1
"1_28",0.00102,0.01698,0.1568,0.00866,1,0.01486,0.8812,0.09862,0.0051,1,1,1
"1_21",0.00112,0.02842,0.26992,0.01854,1,0.02556,0.84618,0.12384,0.00574,1,1,1
"1_39",0.00302,0.01914,0.26848,0.00524,1,0.0172,0.83486,0.13556,0.00478,1,1,1
"1_193",0.00034,0.02422,0.13126,0.01142,1,0.02104,0.8876,0.09032,0.005,1,1,1
"1_25",2e-04,0.00556,0.3217,0.00138,1,0.00512,0.83682,0.14248,0.00522,1,1,1
"1_133",2e-05,4e-04,0.11686,2e-04,1,0.00036,0.91908,0.0791,0.00518,1,1,1
"1_105",2e-05,0.02444,0.11846,0.01446,1,0.02114,0.87182,0.10588,0.00528,1,1,1
"1_112",0.00052,0.01608,0.14562,0.01016,1,0.01392,0.90326,0.08138,0.0048,1,1,1
"1_117",4e-05,0.04174,0.38998,0.01024,1,0.0368,0.8406,0.11738,0.00502,1,1,1
"1_159",1e-04,0.00802,0.1762,0.00484,1,0.00666,0.92016,0.07142,0.0056,1,1,1
"1_64",2e-05,0.0243,0.22808,0.0066,1,0.0215,0.87174,0.1032,0.00522,1,1,1
"1_92",2e-05,0.01988,0.16298,0.0099,1,0.01738,0.885,0.09552,0.00486,1,1,1
"1_195",4e-05,0.00754,0.09436,0.00188,1,0.0064,0.92606,0.06696,0.00586,1,1,1
"1_107",4e-05,0.02432,0.1837,0.01046,1,0.0216,0.8633,0.11162,0.00498,1,1,1
"1_47",2e-05,0.0163,0.14622,0.00892,1,0.01432,0.88952,0.09454,0.00526,1,1,1
"1_115",2e-05,0.0029,0.2866,0.00078,1,0.00246,0.91598,0.07788,0.00546,1,1,1
"1_8",2e-05,0.00556,0.35346,0.0026,1,0.00478,0.85702,0.12148,0.0057,1,1,1
"1_145",2e-05,0.0144,0.2662,0.00534,1,0.01256,0.89282,0.09142,0.0052,1,1,1
"1_181",6e-05,0.00346,0.16914,0.00086,1,0.00278,0.9245,0.07116,0.0056,1,1,1
"1_144",6e-05,0.0011,0.22134,0.00062,1,0.00086,0.90656,0.0896,0.00474,1,1,1
"1_72",2e-05,0.01684,0.1817,0.00358,1,0.01456,0.87186,0.109,0.00516,1,1,1
"1_165",2e-05,0.00496,0.11,0.0015,1,0.004,0.92466,0.07,0.00552,1,1,1
"1_103",4e-05,0.01368,0.09304,0.01052,1,0.01148,0.88796,0.09914,0.00528,1,1,1
"1_85",2e-05,0.03608,0.2185,0.01088,1,0.0319,0.86188,0.1035,0.00536,1,1,1
"5_78",4e-05,0.09126,0.70958,0.0446,1,0.08226,0.59568,0.28136,0.00436,1,1,1
"5_196",6e-05,0.07998,0.60622,0.04966,1,0.07136,0.6352,0.26712,0.00498,1,1,1
"5_269",2e-05,0.08708,0.70644,0.0365,1,0.07666,0.65596,0.24042,0.0049,1,1,1
"5_217",2e-05,0.09634,0.63254,0.05358,1,0.08446,0.62574,0.2659,0.00444,1,1,1
"5_444",4e-05,0.0456,0.38628,0.0152,1,0.03744,0.8415,0.11796,0.00472,1,1,1
"5_205",1e-04,0.06086,0.5637,0.03574,1,0.05318,0.69242,0.22228,0.00426,1,1,1
"5_139",2e-05,0.03442,0.65358,0.02818,1,0.02886,0.75254,0.19768,0.00506,1,1,1
"5_158",2e-05,0.11166,0.71134,0.06062,1,0.098,0.67586,0.21256,0.00492,1,1,1
"5_164",1e-04,0.06332,0.59304,0.04312,1,0.05564,0.75996,0.17306,0.00426,1,1,1
"5_433",8e-05,0.04214,0.76132,0.02432,1,0.03286,0.756,0.18906,0.00534,1,1,1
"5_69",2e-05,0.07736,0.69298,0.04932,1,0.06534,0.71638,0.20014,0.00472,1,1,1
"5_55",4e-05,0.13696,0.71292,0.09064,1,0.12338,0.55734,0.29882,0.0044,1,1,1
"5_206",6e-05,0.086,0.53896,0.03924,1,0.07624,0.67546,0.23922,0.00452,1,1,1
"5_435",2e-05,0.1605,0.60746,0.1022,1,0.14008,0.60214,0.25176,0.00476,1,1,1
"5_262",0.00022,0.10572,0.76298,0.05374,1,0.08724,0.65018,0.23802,0.00472,1,1,1
"5_460",6e-05,0.0849,0.63072,0.0481,1,0.0731,0.72546,0.18944,0.00488,1,1,1
"5_456",6e-05,0.12596,0.63936,0.07922,1,0.10944,0.60924,0.27022,0.00482,1,1,1
"5_309",0.00012,0.09596,0.73804,0.06134,1,0.08202,0.5962,0.30046,0.0042,1,1,1
"5_318",2e-05,0.09746,0.63082,0.0651,1,0.08626,0.6523,0.25076,0.0046,1,1,1
"5_2",4e-05,0.0268,0.57382,0.01616,1,0.02478,0.76546,0.17506,0.00568,1,1,1
"5_194",2e-05,0.13578,0.70582,0.0893,1,0.12028,0.53854,0.3078,0.00406,1,1,1
"5_274",2e-05,0.09926,0.7112,0.06408,1,0.08716,0.62436,0.26078,0.00458,1,1,1
"5_30",2e-05,0.12622,0.68818,0.08024,1,0.1071,0.55508,0.30406,0.0048,1,1,1
"5_305",4e-05,0.11966,0.56002,0.06468,1,0.1053,0.59576,0.2871,0.00498,1,1,1
"5_72",2e-05,0.12514,0.7278,0.03964,1,0.10918,0.53846,0.3185,0.00464,1,1,1
"5_256",2e-05,0.07432,0.7132,0.03614,1,0.06536,0.7014,0.21392,0.00462,1,1,1
"5_242",2e-05,0.12356,0.73112,0.06674,1,0.1084,0.64332,0.24176,0.00456,1,1,1
"5_283",1e-04,0.08254,0.75188,0.03266,1,0.07354,0.66652,0.24112,0.00458,1,1,1
"5_39",2e-05,0.0421,0.58088,0.02198,1,0.03738,0.71898,0.20568,0.00524,1,1,1
"5_175",6e-05,0.06876,0.7322,0.04716,1,0.05966,0.69802,0.21934,0.00534,1,1,1
"5_353",2e-05,0.07178,0.59,0.0323,1,0.06288,0.68774,0.22726,0.0048,1,1,1
"5_362",2e-05,0.1074,0.41784,0.09408,1,0.09276,0.68188,0.21478,0.00508,1,1,1
"5_486",2e-05,0.1361,0.628,0.08304,1,0.1163,0.68134,0.1995,0.00466,1,1,1
"5_272",2e-05,0.0098,0.63006,0.00722,1,0.00804,0.84446,0.12816,0.00482,1,1,1
"5_482",2e-05,0.12798,0.70346,0.08036,1,0.1085,0.63678,0.24266,0.00488,1,1,1
"5_408",2e-05,0.06264,0.72924,0.03776,1,0.05466,0.65278,0.25958,0.00406,1,1,1
"5_275",2e-05,0.0728,0.6338,0.05036,1,0.063,0.6921,0.22722,0.00474,1,1,1
"5_29",2e-05,0.1287,0.64968,0.05112,1,0.11244,0.5993,0.2481,0.00498,1,1,1
"5_195",4e-05,0.14936,0.66752,0.06854,1,0.12866,0.50972,0.32824,0.00414,1,1,1
"5_207",2e-05,0.07282,0.67764,0.04584,1,0.0653,0.72474,0.18822,0.00496,1,1,1
"5_319",2e-05,0.19448,0.77172,0.11184,1,0.16972,0.45172,0.35488,0.00398,1,1,1
"5_159",2e-05,0.11474,0.68474,0.06748,1,0.09838,0.54324,0.31536,0.0043,1,1,1
"5_224",2e-05,0.05878,0.7178,0.0401,1,0.05234,0.7234,0.1997,0.00456,1,1,1
"5_340",2e-05,0.11472,0.63182,0.04534,1,0.09756,0.65292,0.23604,0.00492,1,1,1
"5_393",2e-05,0.11566,0.48376,0.09014,1,0.10104,0.67522,0.21712,0.00488,1,1,1
"5_86",2e-05,0.0553,0.7367,0.0364,1,0.04756,0.63184,0.2713,0.00458,1,1,1
"5_120",2e-05,0.07438,0.6995,0.05336,1,0.06652,0.61838,0.28314,0.00468,1,1,1
"5_418",2e-05,0.1339,0.63656,0.09608,1,0.11912,0.5922,0.27516,0.0041,1,1,1
"5_327",8e-05,0.02612,0.31902,0.01976,1,0.02278,0.85256,0.1195,0.00514,1,1,1
"5_131",4e-05,0.06286,0.69794,0.04088,1,0.0567,0.65548,0.25312,0.00472,1,1,1
"5_8",2e-05,0.0735,0.68868,0.04696,1,0.06696,0.61706,0.27944,0.00448,1,1,1
"5_119",6e-05,0.08628,0.70462,0.02248,1,0.07562,0.66578,0.22438,0.00472,1,1,1
"5_16",2e-05,0.06474,0.52122,0.03892,1,0.05938,0.62944,0.25844,0.0046,1,1,1
"5_245",2e-05,0.08456,0.74202,0.04406,1,0.0743,0.60004,0.29476,0.0046,1,1,1
"5_466",2e-05,0.07968,0.55208,0.04756,1,0.06792,0.71944,0.20074,0.0048,1,1,1
"5_108",2e-05,0.02224,0.71208,0.01182,1,0.01982,0.81772,0.15222,0.00486,1,1,1
"5_168",2e-05,0.06976,0.7114,0.0342,1,0.06108,0.66762,0.2427,0.00482,1,1,1
"5_254",2e-05,0.11734,0.64028,0.0564,1,0.10374,0.59468,0.26574,0.0049,1,1,1
"5_382",2e-05,0.09776,0.64274,0.0482,1,0.08446,0.70144,0.2061,0.0045,1,1,1
"5_351",2e-05,0.06016,0.54646,0.02892,1,0.05226,0.7711,0.16858,0.0053,1,1,1
"5_227",2e-05,0.04512,0.66388,0.0245,1,0.0402,0.761,0.19064,0.00492,1,1,1
"5_172",4e-05,0.13016,0.6813,0.09192,1,0.11636,0.51812,0.32648,0.00458,1,1,1
"5_53",2e-05,0.06768,0.70876,0.042,1,0.06216,0.58922,0.29474,0.00478,1,1,1
"5_68",2e-05,0.04424,0.74366,0.02328,1,0.03766,0.67846,0.24316,0.00446,1,1,1
"5_109",4e-05,0.15026,0.7266,0.09512,1,0.1336,0.54794,0.3018,0.00432,1,1,1
"5_52",2e-05,0.14098,0.7568,0.08028,1,0.1263,0.54218,0.29728,0.00442,1,1,1
"5_321",2e-05,0.00904,0.67072,0.00586,1,0.00798,0.819,0.1595,0.00478,1,1,1
"5_147",1e-04,0.08672,0.6386,0.02936,1,0.07798,0.66674,0.233,0.00496,1,1,1
"5_308",2e-05,0.14848,0.58586,0.06398,1,0.13394,0.52486,0.31542,0.00418,1,1,1
"5_356",1e-04,0.07342,0.519,0.04638,1,0.06496,0.7247,0.2023,0.00496,1,1,1
"5_63",4e-05,0.09552,0.76704,0.06026,1,0.07676,0.66664,0.24012,0.00452,1,1,1
"5_417",6e-05,0.15232,0.71716,0.07484,1,0.12714,0.52048,0.33598,0.00414,1,1,1
"5_402",1e-04,0.1577,0.699,0.10024,1,0.1371,0.51758,0.32648,0.00434,1,1,1
"5_112",2e-05,0.1394,0.68588,0.07198,1,0.12784,0.55242,0.2904,0.00508,1,1,1
"5_266",4e-05,0.09576,0.63512,0.04428,1,0.08534,0.66496,0.23412,0.00444,1,1,1
"5_303",2e-05,0.1376,0.69976,0.08202,1,0.11938,0.568,0.28546,0.0046,1,1,1
"5_407",2e-05,0.10094,0.66128,0.06676,1,0.08912,0.65632,0.23668,0.00436,1,1,1
"5_453",2e-05,0.07564,0.641,0.0365,1,0.06268,0.67708,0.24362,0.0052,1,1,1
"5_422",6e-05,0.1173,0.63542,0.0655,1,0.10496,0.64212,0.24606,0.0045,1,1,1
"5_461",4e-05,0.08122,0.63626,0.02656,1,0.06976,0.61278,0.29776,0.00446,1,1,1
"5_483",2e-05,0.08924,0.46242,0.02668,1,0.07404,0.75004,0.17242,0.00458,1,1,1
"5_322",4e-05,0.07592,0.65782,0.04754,1,0.06706,0.70528,0.21316,0.00458,1,1,1
"5_445",4e-05,0.1419,0.70164,0.08052,1,0.1185,0.64658,0.22394,0.00506,1,1,1
"5_35",8e-05,0.09562,0.60168,0.05746,1,0.0857,0.57018,0.309,0.0041,1,1,1
"5_343",2e-05,0.16798,0.64662,0.0754,1,0.15382,0.51348,0.3254,0.00398,1,1,1
"5_27",4e-05,0.05266,0.77666,0.02886,1,0.0446,0.66488,0.24554,0.00474,1,1,1
"5_368",2e-05,0.09398,0.60286,0.05238,1,0.0827,0.7076,0.19548,0.00426,1,1,1
"5_395",0.00026,0.12094,0.7274,0.07946,1,0.10394,0.60292,0.27534,0.00432,1,1,1
"5_91",2e-05,0.13696,0.68522,0.09308,1,0.11824,0.505,0.34188,0.00458,1,1,1
"5_13",8e-05,0.12958,0.78188,0.07078,1,0.11592,0.54412,0.3008,0.0047,1,1,1
"5_328",2e-05,0.08234,0.7599,0.03714,1,0.06888,0.64664,0.25614,0.00486,1,1,1
"5_169",2e-05,0.1343,0.73798,0.04924,1,0.11898,0.53092,0.3203,0.00444,1,1,1
"5_469",2e-05,0.05422,0.68168,0.0377,1,0.0471,0.76236,0.17936,0.00506,1,1,1
"5_263",8e-05,0.07464,0.58312,0.0426,1,0.06556,0.67258,0.2344,0.00476,1,1,1
"5_240",2e-05,0.21402,0.7398,0.09984,1,0.18494,0.43936,0.34522,0.00426,1,1,1
"5_93",2e-05,0.08198,0.56752,0.0589,1,0.07232,0.70428,0.21388,0.00472,1,1,1
"5_130",2e-05,0.0689,0.6093,0.0436,1,0.06212,0.70988,0.21262,0.0049,1,1,1
"5_42",2e-05,0.16458,0.78544,0.06616,1,0.1478,0.4373,0.3626,0.0047,1,1,1
"5_32",2e-05,0.04888,0.55614,0.0299,1,0.04432,0.69046,0.22092,0.00488,1,1,1
"5_455",4e-05,0.13034,0.57336,0.04226,1,0.11078,0.56668,0.30944,0.0041,1,1,1
"5_400",2e-05,0.17884,0.68492,0.1036,1,0.16174,0.51714,0.3084,0.00438,1,1,1
"5_478",4e-05,0.1458,0.50488,0.0828,1,0.12924,0.60788,0.25772,0.00424,1,1,1
"5_127",2e-05,0.14052,0.68024,0.06352,1,0.12324,0.53296,0.32014,0.00466,1,1,1
"5_310",2e-05,0.06838,0.68126,0.03712,1,0.06166,0.69576,0.22726,0.00488,1,1,1
"5_280",4e-05,0.09082,0.6958,0.05408,1,0.0806,0.65658,0.24406,0.00422,1,1,1
"5_243",2e-05,0.07534,0.69358,0.03346,1,0.06338,0.67496,0.23248,0.00494,1,1,1
"5_170",2e-05,0.0904,0.78556,0.0412,1,0.07856,0.59102,0.28352,0.0045,1,1,1
"5_264",2e-05,0.06928,0.6518,0.03338,1,0.06202,0.73452,0.1908,0.0049,1,1,1
"5_64",2e-05,0.08758,0.83278,0.0513,1,0.0774,0.50408,0.34908,0.00478,1,1,1
"5_360",4e-05,0.0324,0.51054,0.02238,1,0.02858,0.79158,0.1662,0.00528,1,1,1
"5_287",2e-05,0.11014,0.72968,0.05944,1,0.09688,0.57684,0.3018,0.00426,1,1,1
"5_449",2e-05,0.10832,0.6955,0.043,1,0.0965,0.67562,0.21872,0.00494,1,1,1
"5_431",2e-05,0.14238,0.7371,0.06314,1,0.12442,0.57828,0.27956,0.00458,1,1,1
"5_185",2e-05,0.0593,0.68288,0.04296,1,0.05344,0.69282,0.23176,0.00412,1,1,1
"5_211",2e-05,0.1206,0.7119,0.08158,1,0.10426,0.60634,0.2722,0.00464,1,1,1
"5_391",2e-05,0.08214,0.70856,0.04554,1,0.07338,0.70684,0.2121,0.00496,1,1,1
"5_6",2e-05,0.10738,0.73278,0.06506,1,0.09612,0.5733,0.26638,0.00448,1,1,1
"5_333",2e-05,0.0059,0.55038,0.0033,1,0.00488,0.8459,0.12594,0.00532,1,1,1
"5_291",2e-05,0.07792,0.62616,0.0346,1,0.06894,0.66178,0.23276,0.00512,1,1,1
"5_354",2e-05,0.08036,0.64002,0.05224,1,0.06848,0.69596,0.21662,0.0049,1,1,1
"5_487",2e-05,0.21294,0.68064,0.13098,1,0.16982,0.47468,0.34544,0.00486,1,1,1
