"id","weight","X1","X2","X3","X4","X5","X6","X7","X8","smear","tb_any","symptom"
"1_413",2e-05,0.31234,1,0.115,0.869,0.27474,0.43936,0.27766,0.00464,1,1,0.89668
"1_116",2e-05,0.33914,1,0.07942,0.86836,0.30548,0.33306,0.3399,0.0042,1,1,0.89296
"1_90",2e-05,0.27354,1,0.12738,0.9009,0.24086,0.43354,0.31534,0.00408,1,1,0.91794
"1_427",2e-05,0.31726,1,0.12024,0.83904,0.27616,0.48372,0.23278,0.00442,1,1,0.86246
"1_109",2e-05,0.3035,1,0.15076,0.8958,0.2685,0.4431,0.27946,0.00442,1,1,0.91496
"1_3",6e-05,0.30296,1,0.13382,0.89104,0.275,0.41608,0.28866,0.00472,1,1,0.91186
"1_277",2e-05,0.31968,1,0.10506,0.81156,0.28432,0.51716,0.19316,0.00494,1,1,0.84386
"1_318",0.00296,0.2538,1,0.10678,0.93284,0.21608,0.44318,0.33168,0.0042,1,1,0.94806
"1_416",2e-05,0.28364,1,0.08844,0.8946,0.237,0.51866,0.2398,0.00462,1,1,0.92218
"1_456",4e-05,0.2612,1,0.0923,0.8678,0.22116,0.60022,0.17534,0.00532,1,1,0.89332
"1_229",2e-05,0.30282,1,0.08492,0.89132,0.26586,0.43094,0.29118,0.00464,1,1,0.91184
"1_31",2e-04,0.27516,1,0.11554,0.89678,0.23604,0.41696,0.33248,0.00436,1,1,0.92152
"1_321",2e-05,0.35596,1,0.13814,0.82804,0.31732,0.41156,0.2626,0.00468,1,1,0.85716
"1_291",0.00016,0.26578,1,0.1297,0.8613,0.2391,0.52592,0.22964,0.0047,1,1,0.87642
"1_241",2e-05,0.29048,1,0.13934,0.90956,0.24596,0.46652,0.27898,0.0046,1,1,0.93306
"1_436",1e-04,0.25062,1,0.0914,0.91138,0.21772,0.50514,0.26936,0.00504,1,1,0.92552
"1_324",0.00116,0.28416,1,0.12886,0.92024,0.24094,0.45678,0.2912,0.00456,1,1,0.93968
"1_372",2e-05,0.36364,1,0.08866,0.79594,0.3244,0.43694,0.22962,0.00386,1,1,0.83078
"1_357",2e-05,0.29626,1,0.10208,0.84066,0.26152,0.52574,0.2081,0.00476,1,1,0.87098
"1_219",2e-05,0.33536,1,0.13234,0.87206,0.3025,0.35522,0.32296,0.00452,1,1,0.89406
"1_384",2e-05,0.2916,1,0.1072,0.8479,0.25364,0.55644,0.18576,0.00458,1,1,0.87412
"1_432",2e-05,0.24754,1,0.09956,0.88788,0.21316,0.57918,0.20412,0.00498,1,1,0.90732
"1_386",4e-05,0.3472,1,0.1372,0.81344,0.2906,0.50702,0.198,0.005,1,1,0.85832
"1_382",2e-05,0.24244,1,0.13206,0.89932,0.20838,0.58276,0.20528,0.0041,1,1,0.91704
"1_304",2e-05,0.24758,1,0.12008,0.9172,0.21442,0.44702,0.33006,0.00418,1,1,0.93556
"1_224",2e-05,0.2896,1,0.16126,0.89974,0.25584,0.45726,0.27874,0.00496,1,1,0.92028
"1_84",0.00012,0.3038,1,0.13396,0.89986,0.26192,0.42696,0.29906,0.00462,1,1,0.93034
"1_457",2e-05,0.20608,1,0.0899,0.92628,0.17418,0.60872,0.21564,0.00492,1,1,0.9413
"1_143",2e-05,0.29184,1,0.09766,0.90438,0.26262,0.35488,0.36914,0.00442,1,1,0.91952
"1_73",2e-05,0.30896,1,0.1299,0.88862,0.27812,0.39164,0.31466,0.00436,1,1,0.9045
"1_253",4e-05,0.28682,1,0.1147,0.90908,0.25694,0.45324,0.27988,0.00436,1,1,0.92672
"1_78",2e-05,0.32856,1,0.16316,0.88644,0.28414,0.40798,0.28866,0.0039,1,1,0.91466
"1_406",2e-05,0.2853,1,0.09658,0.87784,0.24784,0.48712,0.2601,0.00488,1,1,0.90388
"1_79",4e-05,0.24584,1,0.12762,0.93484,0.21126,0.46822,0.3112,0.00418,1,1,0.9495
"1_465",2e-05,0.24914,1,0.11078,0.87442,0.213,0.5824,0.20298,0.00468,1,1,0.8965
"1_17",2e-05,0.30022,1,0.10286,0.87414,0.2728,0.41904,0.29278,0.00436,1,1,0.8962
"4_497",2e-05,0.26008,1,0.14566,0.94514,0.22374,0.44428,0.3209,0.00404,1,1,0.95598
"4_343",2e-05,0.2077,1,0.09996,0.95404,0.18496,0.51592,0.29258,0.00462,1,1,0.96188
"4_335",2e-05,0.2374,1,0.14606,0.95566,0.20666,0.47788,0.3083,0.00462,1,1,0.96602
"4_149",2e-05,0.22812,1,0.12732,0.94366,0.2019,0.46006,0.32498,0.00348,1,1,0.95442
"4_453",4e-05,0.25346,1,0.16104,0.94924,0.21488,0.41976,0.3561,0.00428,1,1,0.96094
"4_351",2e-05,0.2257,1,0.13808,0.95214,0.19062,0.5003,0.3031,0.00432,1,1,0.96138
"4_160",2e-05,0.23766,1,0.12806,0.94996,0.21042,0.38704,0.3891,0.0039,1,1,0.9593
"4_57",2e-05,0.21892,1,0.13296,0.95502,0.19278,0.44604,0.35088,0.00472,1,1,0.9618
