"id","weight","X1","X2","X3","X4","X5","X6","X7","X8","smear","tb_any","symptom"
"1_10",0.00638,0.03464,1,0.01288,0.98716,0.02954,0.77636,0.15642,0.0051,1,1,0.9893
"1_264",2e-04,0.04782,1,0.01428,0.97914,0.03918,0.76702,0.1714,0.00524,1,1,0.98338
"1_44",2e-05,0.03224,1,0.01154,0.98968,0.02654,0.78488,0.15378,0.00482,1,1,0.99168
"1_32",2e-05,0.13244,1,0.04422,0.95184,0.11812,0.5904,0.24778,0.00462,1,1,0.9618
"1_74",0.00018,0.11628,1,0.02982,0.96314,0.09964,0.655,0.22084,0.0052,1,1,0.97034
"1_116",2e-05,0.19936,1,0.0704,0.95106,0.17156,0.51518,0.2825,0.00484,1,1,0.96338
"1_207",0.00252,0.01404,1,0.00484,0.9935,0.0107,0.86196,0.11544,0.0057,1,1,0.99484
"1_18",0.00028,0.00518,1,0.00208,0.99834,0.00436,0.80034,0.1612,0.0054,1,1,0.99868
"1_95",2e-05,0.02932,1,0.0075,0.98984,0.02604,0.81164,0.13538,0.00516,1,1,0.99128
"1_266",1e-04,0.09218,1,0.04612,0.97802,0.07352,0.72482,0.1897,0.00502,1,1,0.98412
"1_238",8e-05,0.01536,1,0.00354,0.99316,0.01294,0.86448,0.1096,0.00534,1,1,0.99428
"1_175",2e-05,0.11842,1,0.03704,0.96028,0.10116,0.62902,0.2469,0.00466,1,1,0.96724
"1_6",0.00034,0.0391,1,0.01172,0.98118,0.03526,0.75048,0.1554,0.0052,1,1,0.98294
"1_229",2e-05,0.15974,1,0.06292,0.96044,0.13478,0.55656,0.2825,0.00514,1,1,0.96874
"1_188",2e-05,0.23506,1,0.1406,0.93964,0.20536,0.5199,0.26166,0.00456,1,1,0.9549
"1_180",2e-05,0.23444,1,0.0878,0.92674,0.19752,0.49422,0.27374,0.00482,1,1,0.94636
"1_257",2e-05,0.14266,1,0.04454,0.95478,0.12156,0.62552,0.23594,0.00406,1,1,0.96394
"1_167",2e-05,0.22902,1,0.059,0.91996,0.19944,0.5567,0.23326,0.00456,1,1,0.939
"1_143",2e-05,0.0873,1,0.03372,0.978,0.07356,0.64042,0.24394,0.00498,1,1,0.9832
"1_93",2e-05,0.0694,1,0.01914,0.97592,0.06156,0.71506,0.19364,0.00546,1,1,0.98028
"1_261",2e-05,0.16424,1,0.05976,0.95854,0.13756,0.6138,0.23712,0.00434,1,1,0.96818
"1_226",2e-05,0.18768,1,0.057,0.94654,0.15214,0.56724,0.24604,0.00452,1,1,0.96164
"1_58",2e-05,0.14232,1,0.0406,0.96466,0.12558,0.60896,0.24892,0.00518,1,1,0.97122
"1_187",4e-05,0.16872,1,0.06998,0.9562,0.14254,0.60304,0.23006,0.00474,1,1,0.96832
"1_110",2e-05,0.00458,1,0.00204,0.99884,0.00356,0.6478,0.26552,0.00444,1,1,0.99908
"1_209",2e-05,0.226,1,0.07984,0.90936,0.19616,0.57382,0.21052,0.00516,1,1,0.92356
"4_326",4e-05,0.02612,1,0.00802,0.97956,0.01924,0.90092,0.0726,0.0054,1,1,0.98422
"4_234",2e-05,0.00432,1,0.0011,0.99594,0.00338,0.9118,0.07612,0.0055,1,1,0.9966
"4_118",2e-05,0.07998,1,0.02588,0.94234,0.06796,0.82612,0.09592,0.00542,1,1,0.95152
"4_436",2e-05,0.01766,1,0.00646,0.98964,0.01478,0.9013,0.0806,0.00466,1,1,0.99122
"4_149",4e-05,0.06716,1,0.01372,0.95596,0.05474,0.83068,0.1034,0.00544,1,1,0.9636
"4_18",2e-05,0.04268,1,0.01586,0.97198,0.03668,0.84852,0.104,0.00568,1,1,0.9763
"4_354",0.00014,0.14226,1,0.0236,0.88654,0.1231,0.79396,0.07654,0.00574,1,1,0.9019
"4_150",2e-05,0.18756,1,0.06272,0.85042,0.15692,0.75086,0.08712,0.00542,1,1,0.876
"4_2",4e-05,0.0085,1,0.00372,0.9948,0.00746,0.7963,0.14774,0.0047,1,1,0.9954
"4_357",4e-05,0.13344,1,0.03524,0.89494,0.10606,0.81234,0.0779,0.00548,1,1,0.91784
"4_328",2e-05,0.04386,1,0.01426,0.96328,0.03664,0.89156,0.06624,0.0056,1,1,0.96888
"4_165",2e-05,0.1256,1,0.0411,0.90412,0.1079,0.80002,0.08724,0.005,1,1,0.9176
"4_143",2e-05,0.08884,1,0.03032,0.9343,0.07432,0.82316,0.09292,0.00512,1,1,0.94538
"4_11",2e-05,0.05218,1,0.0173,0.97066,0.04346,0.8148,0.11404,0.0053,1,1,0.97568
"4_215",2e-05,0.10516,1,0.03552,0.92786,0.08726,0.82258,0.08728,0.00556,1,1,0.94136
"4_41",2e-05,0.0671,1,0.01734,0.9574,0.05866,0.81208,0.11142,0.00504,1,1,0.96398
"4_244",2e-05,0.00416,1,0.00142,0.99712,0.00348,0.892,0.09418,0.00608,1,1,0.99758
"4_53",2e-05,0.04362,1,0.00968,0.96888,0.03634,0.82774,0.11868,0.00538,1,1,0.97418
"4_236",2e-05,0.02132,1,0.00736,0.98672,0.01674,0.864,0.10612,0.00572,1,1,0.9897
"4_249",2e-05,0.06558,1,0.0224,0.95318,0.05104,0.86628,0.07924,0.00562,1,1,0.96638
"4_180",4e-05,0.06058,1,0.02352,0.95122,0.05262,0.85612,0.08414,0.00534,1,1,0.9584
"4_442",2e-05,0.07538,1,0.01744,0.9439,0.06042,0.86204,0.07328,0.00586,1,1,0.95394
"4_283",2e-05,0.01616,1,0.0061,0.98912,0.01304,0.88442,0.0955,0.00512,1,1,0.99132
"4_276",2e-05,0.0667,1,0.0183,0.95096,0.05578,0.85652,0.08472,0.00556,1,1,0.96218
"4_13",2e-05,0.03068,1,0.01028,0.9802,0.02674,0.86214,0.09114,0.00544,1,1,0.98356
"4_29",2e-05,0.00746,1,0.00236,0.99262,0.00614,0.84434,0.11568,0.00574,1,1,0.99332
"4_415",2e-05,0.04518,1,0.01328,0.9639,0.03588,0.89598,0.06492,0.00506,1,1,0.97254
"4_91",4e-05,0.09174,1,0.03468,0.93462,0.07876,0.7976,0.11136,0.00508,1,1,0.94352
"4_392",2e-05,0.06322,1,0.02046,0.95038,0.05212,0.87594,0.07008,0.00554,1,1,0.95994
"4_239",2e-05,0.1077,1,0.02588,0.91612,0.0934,0.80432,0.09308,0.00576,1,1,0.9284
"4_152",2e-05,0.09072,1,0.03066,0.93272,0.07638,0.83916,0.08158,0.00562,1,1,0.94662
"4_312",2e-05,0.0868,1,0.02392,0.94204,0.06894,0.80288,0.11378,0.0049,1,1,0.95442
"4_348",2e-05,0.10764,1,0.03192,0.91924,0.0897,0.81806,0.0869,0.00542,1,1,0.93282
"4_419",4e-05,0.05314,1,0.0145,0.9552,0.04436,0.8922,0.0594,0.00506,1,1,0.96196
"4_137",2e-05,0.04664,1,0.01704,0.9679,0.03988,0.84802,0.09742,0.00518,1,1,0.97384
"4_178",2e-05,0.08522,1,0.02686,0.93492,0.0694,0.84124,0.08414,0.00592,1,1,0.94828
"4_275",2e-05,0.12856,1,0.0466,0.90094,0.107,0.82218,0.06802,0.00536,1,1,0.91828
"4_177",2e-05,0.0027,1,0.00078,0.99782,0.00232,0.9198,0.07262,0.00514,1,1,0.99808
"4_89",4e-05,0.04258,1,0.01148,0.96804,0.03494,0.836,0.1107,0.0057,1,1,0.9742
"4_8",2e-05,0.0943,1,0.03034,0.93302,0.08346,0.77392,0.12256,0.00582,1,1,0.94256
"4_305",2e-05,0.15588,1,0.02842,0.87458,0.13568,0.76008,0.09252,0.00526,1,1,0.88946
"4_342",2e-05,0.05374,1,0.0186,0.9608,0.04448,0.87092,0.07884,0.00534,1,1,0.96786
"4_384",2e-05,0.12504,1,0.04082,0.90196,0.10446,0.82962,0.06376,0.0053,1,1,0.91866
"4_350",2e-05,0.07834,1,0.01892,0.93668,0.06378,0.8552,0.07792,0.00542,1,1,0.94846
"4_158",2e-05,0.0452,1,0.01706,0.96796,0.03758,0.8296,0.11392,0.00534,1,1,0.97294
"4_78",2e-05,0.12956,1,0.03886,0.89442,0.1083,0.81238,0.0722,0.00576,1,1,0.91534
"4_323",2e-05,0.08218,1,0.03204,0.93568,0.06692,0.8497,0.07984,0.00544,1,1,0.94754
"4_228",2e-05,0.13128,1,0.04548,0.8981,0.11156,0.79354,0.08836,0.0061,1,1,0.91436
"4_84",2e-05,0.02934,1,0.00974,0.98104,0.02362,0.8626,0.10118,0.00568,1,1,0.9847
"4_43",2e-05,0.06276,1,0.02476,0.96598,0.05408,0.8123,0.11848,0.00516,1,1,0.97142
"4_193",2e-05,0.0616,1,0.0148,0.95244,0.05222,0.85956,0.08112,0.0056,1,1,0.96006
"4_210",2e-05,0.07424,1,0.02444,0.94396,0.0618,0.84588,0.08818,0.00576,1,1,0.95414
"4_299",2e-05,0.09886,1,0.02084,0.92126,0.08312,0.8302,0.07944,0.00578,1,1,0.93294
"4_394",4e-05,0.00302,1,0.00076,0.9962,0.0025,0.93,0.06346,0.0053,1,1,0.99664
"4_314",2e-05,0.08292,1,0.0175,0.93406,0.06876,0.83728,0.08134,0.00528,1,1,0.94368
"4_86",4e-05,0.05552,1,0.01998,0.97156,0.04366,0.82624,0.11488,0.00508,1,1,0.97906
"4_343",2e-05,0.07948,1,0.01944,0.94112,0.06918,0.8295,0.09726,0.00514,1,1,0.9513
"4_250",2e-05,0.0195,1,0.0056,0.98694,0.0168,0.88264,0.08744,0.00578,1,1,0.9885
"4_162",2e-05,0.06246,1,0.02434,0.96274,0.05202,0.84108,0.10024,0.005,1,1,0.9705
"4_319",2e-05,0.09414,1,0.0349,0.93146,0.08174,0.80172,0.10676,0.0057,1,1,0.94196
"4_356",2e-05,0.2129,1,0.06258,0.84344,0.17982,0.7249,0.09086,0.00488,1,1,0.87194
"4_260",2e-05,0.04174,1,0.01048,0.97164,0.03412,0.85524,0.09738,0.00542,1,1,0.9766
"4_450",4e-05,0.12996,1,0.03682,0.90796,0.10572,0.81134,0.07948,0.00618,1,1,0.92546
"4_401",2e-05,0.13634,1,0.03214,0.88408,0.11572,0.82092,0.0612,0.0053,1,1,0.90292
"4_290",2e-05,0.07022,1,0.02796,0.94914,0.05876,0.849,0.08424,0.0049,1,1,0.95792
"4_381",2e-05,0.06006,1,0.01916,0.95012,0.05006,0.87424,0.07126,0.00504,1,1,0.9573
"4_192",2e-05,0.07276,1,0.02418,0.94462,0.05972,0.8535,0.07788,0.0049,1,1,0.95398
