"id","weight","X1","X2","X3","X4","X5","X6","X7","X8","smear","tb_any","symptom"
"1_124",4e-05,1,0.10104,0.1783,0.11056,0.8921,0.14294,0.01446,0.00562,0.12014,1,0.25578
"1_151",0.0011,1,0.08474,0.16084,0.0946,0.90074,0.13632,0.0101,0.00606,0.10652,1,0.2265
"1_193",0.00106,1,0.11538,0.2082,0.13468,0.86826,0.17448,0.01198,0.00576,0.14718,1,0.29892
"1_266",2e-05,1,0.10524,0.20988,0.1268,0.881,0.1646,0.01102,0.00586,0.13626,1,0.29278
"1_155",0.0018,1,0.09788,0.18212,0.10062,0.89996,0.13168,0.01466,0.0052,0.11358,1,0.25344
"1_261",0.00036,1,0.10578,0.23456,0.11584,0.86038,0.19596,0.0107,0.00606,0.1307,1,0.31354
"1_227",0.00352,1,0.10356,0.21226,0.11818,0.89314,0.14202,0.01632,0.0057,0.13228,1,0.28588
"1_187",0.00012,1,0.09612,0.21822,0.10986,0.88596,0.1561,0.01186,0.00582,0.11874,1,0.2935
"1_203",2e-05,1,0.102,0.21228,0.11336,0.8821,0.15804,0.0139,0.00526,0.12508,1,0.2893
"1_200",2e-05,1,0.09654,0.18852,0.10694,0.89804,0.14014,0.01232,0.00602,0.11306,1,0.26264
"1_184",2e-05,1,0.0876,0.19332,0.09778,0.8984,0.13828,0.01172,0.00552,0.10744,1,0.2602
"1_269",2e-05,1,0.1202,0.28716,0.13236,0.85548,0.19848,0.01476,0.00624,0.14082,1,0.3736
"1_38",4e-05,1,0.0904,0.25022,0.10516,0.87936,0.16436,0.01188,0.00562,0.11318,1,0.31652
"1_132",2e-05,1,0.09098,0.20006,0.0976,0.9044,0.1288,0.01228,0.00516,0.10744,1,0.26718
"1_291",6e-05,1,0.12064,0.1964,0.13142,0.87296,0.17548,0.01322,0.0057,0.13858,1,0.29212
"1_45",6e-05,1,0.07836,0.16564,0.08884,0.90414,0.1263,0.01128,0.00526,0.10146,1,0.22378
"1_56",2e-05,1,0.08286,0.1526,0.08892,0.90792,0.12434,0.01022,0.00596,0.10356,1,0.21354
"1_138",2e-05,1,0.10438,0.1804,0.11496,0.89516,0.1375,0.01516,0.00588,0.12418,1,0.26098
"1_9",2e-05,1,0.07164,0.15842,0.07912,0.91984,0.10572,0.0112,0.0056,0.0872,1,0.2112
"1_67",2e-05,1,0.09672,0.22632,0.10682,0.88798,0.1414,0.01534,0.006,0.11308,1,0.2974
"1_131",6e-05,1,0.1095,0.23724,0.12464,0.8667,0.17404,0.01698,0.0057,0.1338,1,0.31688
"1_121",2e-05,1,0.08798,0.12584,0.09262,0.9131,0.11654,0.01142,0.00556,0.10036,1,0.19668
"1_62",2e-05,1,0.07952,0.16968,0.08886,0.90524,0.12634,0.01098,0.00538,0.09834,1,0.22922
"1_212",2e-05,1,0.09362,0.17532,0.1005,0.88304,0.16544,0.00964,0.00594,0.11194,1,0.25016
"1_76",4e-05,1,0.0885,0.16934,0.0978,0.90378,0.12996,0.01344,0.00562,0.10452,1,0.23566
"1_255",2e-05,1,0.1075,0.2186,0.11648,0.88448,0.15888,0.01254,0.00496,0.12282,1,0.302
"4_67",2e-05,1,0.07026,0.2225,0.09342,0.89676,0.13982,0.01064,0.00546,0.1006,1,0.2771
"4_260",2e-05,1,0.09052,0.14044,0.09172,0.9163,0.10566,0.01384,0.00584,0.1103,1,0.20248
"4_198",2e-05,1,0.0924,0.1719,0.09806,0.89746,0.13544,0.0135,0.00592,0.11412,1,0.23864
"4_230",2e-05,1,0.10816,0.18692,0.10926,0.8856,0.14516,0.01596,0.00526,0.13212,1,0.25986
"4_199",2e-05,1,0.08244,0.17114,0.09444,0.91036,0.11736,0.01212,0.00582,0.10424,1,0.23558
"4_320",2e-05,1,0.12392,0.21546,0.133,0.87442,0.16348,0.018,0.00532,0.14674,1,0.3064
"4_345",2e-05,1,0.099,0.16332,0.10558,0.90222,0.13132,0.01332,0.0055,0.1227,1,0.23546
"4_253",2e-05,1,0.11988,0.24182,0.12808,0.87152,0.15606,0.02052,0.00604,0.1466,1,0.32148
"4_13",2e-05,1,0.06938,0.16242,0.07884,0.92272,0.0906,0.01364,0.00522,0.09204,1,0.20974
"4_311",2e-05,1,0.11228,0.2117,0.12774,0.88218,0.1593,0.0127,0.00572,0.13634,1,0.3021
"4_337",6e-05,1,0.10126,0.22128,0.11832,0.88818,0.15034,0.01384,0.00574,0.13372,1,0.29162
"4_185",2e-05,1,0.08498,0.15178,0.0887,0.91614,0.10306,0.01316,0.00542,0.09932,1,0.21692
"4_240",2e-05,1,0.08938,0.13742,0.08522,0.9157,0.11266,0.01134,0.0055,0.1042,1,0.20002
"4_46",2e-05,1,0.07256,0.13868,0.07044,0.93102,0.08416,0.01268,0.00642,0.08782,1,0.18526
"4_270",2e-05,1,0.10766,0.24294,0.12316,0.88378,0.15406,0.0148,0.00628,0.13566,1,0.32072
"4_74",2e-05,1,0.08132,0.18988,0.0957,0.9097,0.1134,0.01226,0.00592,0.11334,1,0.24406
"4_294",2e-05,1,0.08674,0.1792,0.09992,0.88818,0.14822,0.01256,0.00536,0.11484,1,0.24258
"4_210",2e-05,1,0.07544,0.16636,0.08436,0.9114,0.123,0.0089,0.00598,0.09302,1,0.22568
"4_79",2e-05,1,0.09608,0.18842,0.10402,0.89198,0.13314,0.01582,0.0052,0.11668,1,0.25916
"4_138",2e-05,1,0.10896,0.23564,0.1197,0.88608,0.14016,0.01618,0.00558,0.1327,1,0.31414
"4_207",4e-05,1,0.10532,0.25506,0.12124,0.88128,0.1548,0.01506,0.0055,0.1382,1,0.32706
"4_306",4e-05,1,0.0955,0.20016,0.1011,0.89556,0.14248,0.01062,0.00556,0.11556,1,0.26912
"4_118",2e-05,1,0.0987,0.21062,0.11998,0.88122,0.15334,0.01508,0.00586,0.1271,1,0.2854
"4_106",2e-05,1,0.11706,0.24172,0.14018,0.85058,0.1808,0.0207,0.006,0.15844,1,0.32496
"4_125",2e-05,1,0.07218,0.20886,0.08274,0.90958,0.1243,0.01132,0.0057,0.08914,1,0.26168
"4_117",2e-05,1,0.0779,0.14438,0.0803,0.91678,0.10384,0.01172,0.00594,0.0937,1,0.2019
"4_8",2e-05,1,0.09266,0.13746,0.09804,0.91098,0.09132,0.0202,0.00578,0.1137,1,0.20334
"4_291",2e-05,1,0.08604,0.1731,0.09688,0.91232,0.11484,0.0126,0.0063,0.10654,1,0.2393
"4_116",2e-05,1,0.08702,0.20816,0.0935,0.90892,0.11946,0.01334,0.00532,0.10718,1,0.26736
"4_344",2e-05,1,0.12028,0.17298,0.12476,0.88468,0.15204,0.0146,0.00536,0.13928,1,0.26318
"4_350",2e-05,1,0.10958,0.20058,0.13382,0.8798,0.16418,0.01088,0.00576,0.14216,1,0.289
"4_153",2e-05,1,0.0963,0.19822,0.1095,0.894,0.13548,0.01288,0.00618,0.12916,1,0.26554
"4_165",2e-05,1,0.0756,0.13712,0.07894,0.91624,0.11148,0.0095,0.00508,0.09206,1,0.19358
"4_17",2e-05,1,0.07298,0.23744,0.09264,0.90254,0.12646,0.01352,0.00552,0.0988,1,0.28934
"4_267",2e-05,1,0.11936,0.25224,0.13326,0.87236,0.16652,0.01642,0.00572,0.15,1,0.33684
"4_143",2e-05,1,0.11016,0.21684,0.11826,0.87906,0.15674,0.0136,0.00604,0.13356,1,0.29752
"4_303",4e-05,1,0.13908,0.22998,0.14594,0.873,0.15468,0.0215,0.0057,0.16412,1,0.32616
"4_109",2e-05,1,0.07152,0.1848,0.0904,0.91328,0.1118,0.01098,0.0055,0.1003,1,0.23938
"4_49",2e-05,1,0.07396,0.1933,0.08226,0.90554,0.11798,0.01348,0.0057,0.09714,1,0.24294
"4_261",2e-05,1,0.13194,0.20718,0.12806,0.871,0.15878,0.01996,0.00554,0.15608,1,0.29006
"4_315",2e-05,1,0.09664,0.16058,0.1018,0.89508,0.1423,0.0108,0.00582,0.11572,1,0.23494
"4_162",2e-05,1,0.11154,0.23308,0.12166,0.88108,0.14602,0.01694,0.00568,0.13382,1,0.31594
"4_237",2e-05,1,0.085,0.11466,0.08894,0.91942,0.10774,0.0099,0.0053,0.10108,1,0.18242
"4_51",2e-05,1,0.07124,0.15128,0.07614,0.9208,0.10016,0.01118,0.006,0.0863,1,0.20374
"4_7",2e-05,1,0.0627,0.16126,0.07666,0.92496,0.09382,0.01094,0.00542,0.08488,1,0.20752
"4_296",2e-05,1,0.09456,0.18988,0.10784,0.90158,0.13296,0.0133,0.00546,0.12016,1,0.25746
"4_2",4e-05,1,0.08222,0.233,0.103,0.89814,0.11978,0.01778,0.0058,0.11072,1,0.28884
"4_202",2e-05,1,0.0854,0.1725,0.0983,0.8995,0.12956,0.01142,0.00666,0.10798,1,0.23808
"4_151",2e-05,1,0.0822,0.13426,0.08898,0.9136,0.10416,0.01288,0.0055,0.10482,1,0.1953
"4_62",2e-05,1,0.0827,0.19006,0.09638,0.89898,0.12718,0.01458,0.0059,0.10482,1,0.25388
"4_258",2e-05,1,0.13784,0.2867,0.15176,0.8434,0.19616,0.01896,0.00544,0.17056,1,0.38232
"4_34",2e-05,1,0.07792,0.19246,0.09164,0.89956,0.12436,0.01196,0.00576,0.10364,1,0.25152
"4_287",2e-05,1,0.08916,0.16472,0.09786,0.89802,0.1403,0.01038,0.00566,0.105,1,0.23832
"4_251",2e-05,1,0.0933,0.17932,0.09984,0.9074,0.1261,0.01328,0.00582,0.11544,1,0.24398
"4_239",4e-05,1,0.08058,0.13428,0.08508,0.90694,0.12298,0.01078,0.00534,0.0974,1,0.19506
"4_252",2e-05,1,0.094,0.1825,0.09464,0.89892,0.12762,0.01464,0.00554,0.11672,1,0.24472
"4_126",2e-05,1,0.09528,0.19516,0.10182,0.89854,0.12484,0.01842,0.00598,0.11464,1,0.26208
"4_241",2e-05,1,0.0851,0.13828,0.09294,0.92322,0.09662,0.01116,0.0058,0.1088,1,0.19758
"4_236",2e-05,1,0.09884,0.21424,0.11054,0.88944,0.14618,0.01304,0.00538,0.12846,1,0.2829
"4_107",2e-05,1,0.0808,0.17582,0.09044,0.89922,0.13062,0.01216,0.00568,0.107,1,0.23268
"4_182",2e-05,1,0.09322,0.19856,0.098,0.8957,0.13942,0.01226,0.006,0.11084,1,0.26792
"4_159",2e-05,1,0.0877,0.20614,0.10438,0.8937,0.1457,0.01084,0.0061,0.11146,1,0.27438
"4_220",2e-05,1,0.13462,0.2912,0.14934,0.85466,0.17182,0.02348,0.00578,0.17258,1,0.3788
"4_314",2e-05,1,0.08934,0.18734,0.09944,0.89314,0.14886,0.0111,0.00516,0.11068,1,0.25614
"4_113",2e-05,1,0.07888,0.14122,0.08218,0.92096,0.09596,0.01222,0.00586,0.09888,1,0.19484
"4_308",2e-05,1,0.09512,0.13574,0.10288,0.90186,0.1282,0.01104,0.00518,0.11594,1,0.21126
"4_14",2e-05,1,0.0714,0.18046,0.08394,0.91744,0.08896,0.01692,0.0055,0.10168,1,0.2242
"4_181",2e-05,1,0.14656,0.30786,0.16806,0.84232,0.18496,0.02314,0.00596,0.18986,1,0.40578
"4_55",2e-05,1,0.09934,0.1828,0.1067,0.8963,0.11322,0.01942,0.0062,0.11936,1,0.25404
"4_66",2e-05,1,0.09252,0.20324,0.11008,0.9078,0.10858,0.01742,0.00582,0.12226,1,0.266
"4_330",2e-05,1,0.0982,0.15494,0.10658,0.91186,0.116,0.01272,0.00586,0.12264,1,0.22536
"4_334",2e-05,1,0.1055,0.21382,0.11626,0.88692,0.15482,0.01322,0.00534,0.13178,1,0.28824
