"id","weight","X1","X2","X3","X4","X5","X6","X7","X8","smear","tb_any","symptom"
"1_363",0.00038,1,0.10358,0.26902,0.11648,0.88366,0.08522,0.02756,0.00422,0.11806,1,0.32706
"1_84",0.00244,1,0.10854,0.28108,0.12588,0.8689,0.10386,0.024,0.00404,0.12696,1,0.33614
"1_182",0.00012,1,0.10438,0.29242,0.11574,0.87306,0.09218,0.03188,0.00488,0.1183,1,0.34662
"1_523",2e-05,1,0.13656,0.3009,0.14778,0.8485,0.1096,0.03966,0.004,0.1563,1,0.3746
"1_42",8e-05,1,0.09566,0.29832,0.11012,0.88798,0.08304,0.02704,0.00442,0.11148,1,0.344
"1_476",8e-05,1,0.09942,0.2518,0.11306,0.87684,0.0906,0.03098,0.00436,0.11974,1,0.30858
"1_16",0.00038,1,0.09134,0.25952,0.1013,0.90286,0.06892,0.02632,0.00438,0.10206,1,0.2971
"1_540",0.00016,1,0.13776,0.26914,0.15,0.86112,0.1043,0.03276,0.00456,0.1729,1,0.34034
"1_337",2e-05,1,0.09592,0.25854,0.10796,0.89592,0.07178,0.0295,0.0041,0.1118,1,0.31018
"1_83",2e-05,1,0.11778,0.32432,0.13832,0.8558,0.11002,0.03048,0.00446,0.1394,1,0.37794
"1_424",2e-05,1,0.13968,0.31116,0.15776,0.84864,0.10718,0.0393,0.00492,0.1626,1,0.37712
"1_159",0.00012,1,0.10432,0.30456,0.11898,0.86292,0.1015,0.03126,0.0046,0.12104,1,0.36054
"1_158",0.00018,1,0.10824,0.2978,0.1224,0.8662,0.09762,0.03072,0.00432,0.12436,1,0.35452
"1_200",6e-05,1,0.11452,0.31596,0.12582,0.86844,0.09456,0.03402,0.0048,0.13036,1,0.37592
"1_375",0.00012,1,0.10394,0.24694,0.12206,0.88232,0.0846,0.03136,0.00432,0.12718,1,0.30074
"1_117",2e-05,1,0.10754,0.2992,0.12006,0.87924,0.08576,0.03296,0.00452,0.12232,1,0.34744
"1_142",2e-05,1,0.10514,0.28582,0.11728,0.8791,0.08784,0.02978,0.00432,0.11922,1,0.34082
"1_251",2e-05,1,0.12912,0.29978,0.14704,0.85502,0.10786,0.03462,0.00438,0.14974,1,0.36152
"1_452",4e-05,1,0.09948,0.26408,0.10864,0.88782,0.07882,0.03114,0.00468,0.11542,1,0.31868
"1_498",4e-05,1,0.12898,0.3064,0.1429,0.85406,0.11032,0.03264,0.00474,0.14848,1,0.37534
