"id","weight","X1","X2","X3","X4","X5","X6","X7","X8","smear","tb_any","symptom"
"1_249",0.00018,1,0.11618,0.3014,0.13282,0.86584,0.10204,0.03136,0.0044,0.13516,1,0.36108
"1_163",0.00012,1,0.0987,0.243,0.1032,0.90226,0.0683,0.02792,0.00474,0.1099,1,0.29542
"1_394",6e-05,1,0.15854,0.28056,0.16852,0.84938,0.0988,0.05022,0.00452,0.17454,1,0.36206
"1_148",0.00156,1,0.10638,0.27028,0.11622,0.8904,0.07484,0.03092,0.00496,0.11834,1,0.31754
"1_312",1e-04,1,0.13464,0.32258,0.14658,0.85352,0.11122,0.0331,0.00416,0.14776,1,0.39132
"1_265",6e-05,1,0.10706,0.26548,0.11632,0.89324,0.06788,0.03676,0.00468,0.1206,1,0.3173
"1_324",0.00018,1,0.11622,0.26748,0.1234,0.87824,0.0876,0.031,0.0042,0.12446,1,0.33436
"1_33",0.00034,1,0.08924,0.24898,0.09998,0.90012,0.07306,0.02464,0.00442,0.1009,1,0.29258
"1_11",0.00026,1,0.1143,0.36332,0.12906,0.87164,0.09352,0.03178,0.00424,0.13128,1,0.40758
"1_188",0.00042,1,0.13054,0.30852,0.14068,0.86656,0.08746,0.04312,0.00416,0.14376,1,0.37242
"1_110",2e-05,1,0.1062,0.27828,0.11748,0.88114,0.09018,0.02576,0.00418,0.11976,1,0.331
"1_59",0.00012,1,0.10082,0.25924,0.11252,0.89028,0.07918,0.0268,0.0048,0.11346,1,0.30388
"1_381",0.00058,1,0.15836,0.33458,0.17072,0.84344,0.10838,0.04688,0.00436,0.1744,1,0.40774
"1_145",0.00186,1,0.10634,0.27394,0.11654,0.87922,0.09188,0.02622,0.00434,0.11758,1,0.33182
"1_275",3e-04,1,0.09926,0.20182,0.10746,0.89334,0.08364,0.02202,0.0048,0.10908,1,0.26654
"1_379",0.00046,1,0.14818,0.30016,0.15848,0.85116,0.10286,0.04454,0.00462,0.16244,1,0.3737
"1_264",8e-05,1,0.1221,0.29198,0.13118,0.8738,0.08294,0.04022,0.00448,0.13316,1,0.35402
"1_311",2e-05,1,0.12154,0.27634,0.1343,0.86664,0.10704,0.02506,0.004,0.13546,1,0.33824
"1_301",0.00068,1,0.10768,0.24626,0.11748,0.8844,0.08632,0.02774,0.00396,0.11936,1,0.30526
"1_367",2e-05,1,0.14452,0.3067,0.15382,0.85508,0.09752,0.04504,0.00404,0.15806,1,0.38014
"1_66",2e-05,1,0.10306,0.28992,0.11988,0.87412,0.09776,0.02558,0.00424,0.12062,1,0.33768
"1_29",2e-05,1,0.11028,0.31464,0.12854,0.86996,0.09448,0.03212,0.00468,0.12978,1,0.35932
"1_182",6e-05,1,0.1131,0.2944,0.12066,0.87932,0.09056,0.02744,0.00428,0.12218,1,0.35526
"1_303",2e-05,1,0.14206,0.2951,0.15414,0.85884,0.09748,0.04044,0.00448,0.15786,1,0.36358
"1_204",2e-05,1,0.1088,0.25868,0.11812,0.88884,0.07678,0.03282,0.00444,0.12086,1,0.3147
"1_118",6e-05,1,0.1014,0.2357,0.10988,0.894,0.07702,0.02616,0.004,0.11242,1,0.29096
"1_219",4e-05,1,0.13158,0.28842,0.1434,0.85984,0.10534,0.03172,0.00442,0.14514,1,0.35466
"1_191",2e-05,1,0.1015,0.25996,0.1103,0.89018,0.08094,0.02614,0.00422,0.11162,1,0.31604
"1_111",2e-05,1,0.13302,0.3116,0.14846,0.86404,0.09204,0.04026,0.00426,0.15118,1,0.36196
"1_57",2e-05,1,0.10244,0.30424,0.11934,0.87768,0.08978,0.03002,0.0047,0.12184,1,0.34856
"1_251",2e-05,1,0.1219,0.28926,0.1362,0.87448,0.0848,0.0395,0.00456,0.1392,1,0.34324
"1_334",4e-05,1,0.17766,0.32026,0.18952,0.82348,0.12444,0.04944,0.00426,0.19584,1,0.40526
"1_26",4e-05,1,0.09304,0.2979,0.10448,0.89276,0.08138,0.02292,0.00432,0.10538,1,0.33902
"1_391",2e-05,1,0.12208,0.26864,0.12962,0.8752,0.08306,0.04096,0.00438,0.14016,1,0.33432
"1_52",6e-05,1,0.09514,0.25616,0.10748,0.8977,0.07146,0.02738,0.0047,0.10878,1,0.30006
"1_277",2e-05,1,0.10768,0.23836,0.11546,0.89446,0.06976,0.03436,0.00446,0.1184,1,0.29496
"1_254",2e-05,1,0.1085,0.26886,0.12,0.88596,0.07442,0.03674,0.00422,0.12246,1,0.32234
"1_102",2e-05,1,0.10078,0.25902,0.1081,0.8926,0.07682,0.02632,0.00436,0.10934,1,0.31134
"6_113",2e-05,1,0.10572,0.31642,0.11208,0.88486,0.07866,0.03366,0.00456,0.11538,1,0.37012
"6_167",2e-05,1,0.13254,0.33116,0.1499,0.84762,0.11506,0.03352,0.004,0.1557,1,0.39378
"6_63",2e-05,1,0.09794,0.27588,0.113,0.88886,0.0749,0.03476,0.00396,0.11758,1,0.31686
"6_92",2e-05,1,0.11694,0.3246,0.1354,0.84654,0.11386,0.0322,0.0041,0.13616,1,0.38474
"6_168",2e-05,1,0.12362,0.29002,0.13742,0.8642,0.10238,0.03118,0.00402,0.14106,1,0.3567
"6_138",2e-05,1,0.10494,0.2912,0.12386,0.8789,0.08704,0.0321,0.00418,0.12966,1,0.3413
"6_247",2e-05,1,0.16824,0.35912,0.18424,0.82086,0.12314,0.05012,0.00436,0.18968,1,0.4382
"6_90",2e-05,1,0.11374,0.31528,0.1275,0.8721,0.0938,0.03164,0.00376,0.1313,1,0.3686
"6_32",2e-05,1,0.09636,0.31398,0.12044,0.87404,0.09546,0.02808,0.00398,0.12402,1,0.35526
"6_16",4e-05,1,0.09038,0.29472,0.1081,0.8734,0.09148,0.03058,0.00468,0.1088,1,0.33482
"6_200",2e-05,1,0.1262,0.29886,0.1385,0.86026,0.10298,0.03514,0.00456,0.14388,1,0.36438
"6_94",4e-05,1,0.11416,0.2989,0.12832,0.87318,0.08974,0.03482,0.00432,0.13214,1,0.35278
"6_74",2e-05,1,0.10668,0.30894,0.1295,0.86446,0.10332,0.02788,0.0045,0.13234,1,0.3619
"6_68",2e-05,1,0.106,0.3007,0.12144,0.87296,0.0943,0.0292,0.0039,0.12362,1,0.35552
"6_156",2e-05,1,0.12124,0.30146,0.14,0.84568,0.12254,0.02788,0.00456,0.14318,1,0.36998
"6_54",2e-05,1,0.10062,0.28068,0.1145,0.89308,0.0686,0.0345,0.00438,0.11692,1,0.32088
"6_171",2e-05,1,0.10796,0.2876,0.12232,0.86532,0.10208,0.02608,0.00502,0.12422,1,0.34486
"6_250",2e-05,1,0.14924,0.31876,0.15842,0.84654,0.10422,0.04724,0.00386,0.16688,1,0.39398
"6_140",2e-05,1,0.123,0.27812,0.14162,0.86438,0.0928,0.04148,0.00428,0.1472,1,0.33574
"6_194",2e-05,1,0.12818,0.31514,0.14566,0.85534,0.10456,0.03756,0.00428,0.14876,1,0.37476
"6_249",2e-05,1,0.13814,0.30306,0.15496,0.85306,0.09882,0.04614,0.00444,0.16544,1,0.36732
"6_145",2e-05,1,0.10664,0.30612,0.11994,0.88438,0.08022,0.0335,0.00436,0.12414,1,0.35664
"6_178",2e-05,1,0.1235,0.291,0.14056,0.86356,0.0998,0.0343,0.00472,0.14458,1,0.34964
"6_28",2e-05,1,0.1003,0.30056,0.12296,0.86888,0.10408,0.02452,0.0045,0.12436,1,0.35004
"6_147",2e-05,1,0.14938,0.37032,0.16652,0.83206,0.11998,0.04176,0.0046,0.17028,1,0.43328
"6_208",2e-05,1,0.13078,0.3065,0.14138,0.85588,0.099,0.04094,0.00428,0.14482,1,0.3754
"6_232",2e-05,1,0.13618,0.31654,0.149,0.8552,0.09486,0.04616,0.00422,0.1531,1,0.384
"6_104",2e-05,1,0.13244,0.33952,0.15402,0.83994,0.12026,0.0353,0.00452,0.15716,1,0.39444
"6_75",6e-05,1,0.10742,0.30002,0.12578,0.88064,0.07588,0.04092,0.00436,0.12972,1,0.34382
"6_110",2e-05,1,0.13136,0.33298,0.15274,0.8523,0.09468,0.0493,0.00502,0.15792,1,0.38392
"6_31",2e-05,1,0.12872,0.32716,0.15824,0.85116,0.10326,0.04342,0.00426,0.16536,1,0.37256
"6_128",2e-05,1,0.13084,0.32022,0.14362,0.85922,0.09548,0.03994,0.00446,0.14884,1,0.38102
"6_243",2e-05,1,0.1488,0.32434,0.16496,0.82928,0.13156,0.034,0.00482,0.16862,1,0.40588
"6_189",2e-05,1,0.12682,0.29892,0.13678,0.86502,0.09408,0.03778,0.00434,0.141,1,0.3629
"6_95",2e-05,1,0.12714,0.34284,0.14626,0.85254,0.10586,0.03652,0.00436,0.15,1,0.39752
"6_22",2e-05,1,0.09084,0.27456,0.10488,0.89482,0.06932,0.03212,0.0039,0.1075,1,0.3144
"6_30",2e-05,1,0.10342,0.30676,0.1221,0.869,0.096,0.03184,0.00464,0.12452,1,0.35128
"6_87",2e-05,1,0.09942,0.28374,0.11988,0.87054,0.10466,0.02302,0.00376,0.12214,1,0.33438
"6_13",2e-05,1,0.09134,0.27842,0.11272,0.87484,0.10028,0.02012,0.00458,0.11332,1,0.31552
"6_130",2e-05,1,0.14958,0.3681,0.1729,0.81372,0.14038,0.04022,0.0048,0.17666,1,0.44096
"6_141",2e-05,1,0.10588,0.28656,0.12296,0.87512,0.09298,0.02952,0.00444,0.12738,1,0.33832
"6_218",2e-05,1,0.16416,0.33948,0.18526,0.8053,0.1476,0.04242,0.00442,0.19276,1,0.42486
"6_160",2e-05,1,0.1033,0.24898,0.11648,0.88074,0.07952,0.0373,0.0044,0.11932,1,0.2997
"6_215",2e-05,1,0.13544,0.33268,0.14826,0.85302,0.10364,0.0412,0.00452,0.15546,1,0.39586
"6_103",2e-05,1,0.12622,0.32374,0.14788,0.84294,0.11948,0.0322,0.00398,0.15198,1,0.38832
"6_102",2e-05,1,0.11232,0.32614,0.12436,0.87024,0.09916,0.02828,0.00394,0.12936,1,0.38316
"6_81",4e-05,1,0.0966,0.28062,0.1103,0.88044,0.0898,0.02586,0.00452,0.11156,1,0.3278
"6_42",2e-05,1,0.10242,0.28398,0.11842,0.8807,0.08256,0.03334,0.00428,0.12198,1,0.32922
