"id","weight","X1","X2","X3","X4","X5","X6","X7","X8","smear","tb_any","symptom"
"1_387",6e-05,0.25786,1,0.06538,0.79454,0.22534,0.69272,0.07968,0.0079,1,1,0.8355
"1_311",0.00014,0.13436,1,0.04598,0.91686,0.10988,0.77968,0.10278,0.00702,1,1,0.93608
"1_285",0.00024,0.35404,1,0.05958,0.69026,0.32408,0.59714,0.07648,0.00706,1,1,0.72968
"1_36",2e-05,0.21794,1,0.04694,0.84152,0.1976,0.6622,0.12726,0.00668,1,1,0.86374
"1_13",6e-05,0.07658,1,0.0156,0.93952,0.06994,0.7838,0.11764,0.00752,1,1,0.94618
"1_117",8e-05,0.12938,1,0.04396,0.92426,0.11154,0.77364,0.10948,0.00722,1,1,0.9401
"1_81",2e-05,0.33614,1,0.05648,0.71592,0.31014,0.56084,0.1179,0.00664,1,1,0.74736
"1_150",4e-05,0.11936,1,0.038,0.93206,0.10274,0.75432,0.13352,0.0067,1,1,0.9448
"1_463",1e-04,0.2703,1,0.0698,0.79546,0.2327,0.66316,0.1019,0.00662,1,1,0.8353
"1_134",2e-05,0.30188,1,0.06164,0.7702,0.27576,0.6037,0.11616,0.0072,1,1,0.79354
"1_365",4e-05,0.4579,1,0.07862,0.62152,0.42178,0.49206,0.08336,0.00698,1,1,0.66448
"1_151",2e-05,0.13164,1,0.03898,0.91074,0.11374,0.79296,0.09002,0.0077,1,1,0.92936
"1_60",7e-04,0.39048,1,0.05998,0.67022,0.36416,0.54332,0.08562,0.0064,1,1,0.69826
"1_152",0.00144,0.16832,1,0.06088,0.89642,0.14288,0.72838,0.12426,0.00652,1,1,0.92288
"1_102",4e-04,0.19872,1,0.05884,0.88102,0.1745,0.6578,0.1523,0.00674,1,1,0.904
"1_424",2e-05,0.22338,1,0.0478,0.83234,0.19514,0.69942,0.10002,0.00768,1,1,0.85718
"1_228",1e-04,0.25048,1,0.05026,0.8047,0.22822,0.67186,0.09532,0.00726,1,1,0.82928
"1_114",4e-05,0.20804,1,0.05576,0.84462,0.178,0.7092,0.1046,0.00678,1,1,0.87404
"1_121",6e-05,0.08288,1,0.02914,0.94862,0.06962,0.80832,0.11796,0.00688,1,1,0.96068
"1_288",2e-05,0.19732,1,0.04658,0.86048,0.17558,0.70096,0.1175,0.00722,1,1,0.88002
"1_458",8e-05,0.38132,1,0.07408,0.67986,0.34188,0.58824,0.068,0.00724,1,1,0.72492
"1_470",2e-05,0.42002,1,0.08688,0.64704,0.37142,0.56356,0.06334,0.00716,1,1,0.70196
"1_253",6e-05,0.26266,1,0.06356,0.80516,0.2326,0.67138,0.09372,0.00642,1,1,0.8357
"1_67",2e-05,0.31552,1,0.0639,0.73992,0.28014,0.63926,0.07694,0.00744,1,1,0.7761
"1_324",2e-05,0.30814,1,0.08096,0.76116,0.2651,0.6454,0.08592,0.0076,1,1,0.80704
"1_129",2e-05,0.07492,1,0.01804,0.95062,0.06658,0.82156,0.10452,0.00686,1,1,0.95772
"1_468",2e-05,0.22432,1,0.04442,0.8154,0.19508,0.75166,0.05182,0.00674,1,1,0.84262
"1_235",0.00012,0.08304,1,0.02194,0.9459,0.07288,0.80148,0.11636,0.0063,1,1,0.95406
"1_23",4e-05,0.11268,1,0.02554,0.92026,0.10192,0.75378,0.12638,0.00686,1,1,0.9297
"1_162",2e-05,0.26322,1,0.05676,0.78664,0.23292,0.68308,0.08104,0.00706,1,1,0.82012
"1_84",4e-05,0.1372,1,0.04114,0.91,0.117,0.77028,0.105,0.00618,1,1,0.92852
"1_315",2e-05,0.19644,1,0.03756,0.84402,0.17668,0.73982,0.08062,0.00716,1,1,0.86326
"1_325",2e-05,0.30496,1,0.11824,0.82992,0.26006,0.56466,0.16906,0.0066,1,1,0.87092
"1_443",6e-05,0.06706,1,0.02274,0.9584,0.0554,0.856,0.08562,0.0072,1,1,0.96734
"1_260",8e-05,0.15896,1,0.03648,0.88188,0.14112,0.77276,0.08212,0.00642,1,1,0.89874
"1_421",2e-05,0.11586,1,0.02728,0.90798,0.09564,0.83704,0.06434,0.00756,1,1,0.92512
"1_417",2e-05,0.1977,1,0.05224,0.85216,0.16852,0.75046,0.07896,0.0067,1,1,0.882
"1_40",2e-05,0.15102,1,0.03622,0.89696,0.13542,0.71316,0.13764,0.00734,1,1,0.91166
"1_2",4e-05,0.11356,1,0.02246,0.91188,0.10416,0.7837,0.09558,0.0069,1,1,0.9216
"1_143",2e-05,0.24198,1,0.04414,0.80148,0.21824,0.68114,0.0963,0.00704,1,1,0.82742
"1_406",2e-05,0.07758,1,0.02084,0.9468,0.06634,0.83416,0.09432,0.00684,1,1,0.95592
"1_90",2e-05,0.21888,1,0.0682,0.83842,0.1823,0.7069,0.09988,0.00774,1,1,0.87622
"1_302",2e-05,0.32302,1,0.0649,0.74134,0.29362,0.61634,0.08664,0.00656,1,1,0.7771
"1_412",2e-05,0.24802,1,0.05152,0.80752,0.22308,0.68656,0.08772,0.0071,1,1,0.83348
"1_474",6e-05,0.29974,1,0.06212,0.76298,0.2626,0.6682,0.06786,0.0065,1,1,0.79852
"1_374",4e-05,0.37838,1,0.06206,0.67624,0.34494,0.5806,0.07296,0.00688,1,1,0.71288
"5_55",2e-05,0.02334,1,0.00896,0.98596,0.01894,0.87784,0.09636,0.0068,1,1,0.9898
"5_100",2e-05,0.08064,1,0.0274,0.95174,0.06674,0.81022,0.11162,0.00688,1,1,0.96252
"5_190",2e-05,0.08802,1,0.02918,0.94658,0.07316,0.8272,0.09474,0.00724,1,1,0.9596
"5_126",2e-05,0.28086,1,0.06346,0.78368,0.24958,0.62594,0.12098,0.00636,1,1,0.8182
"5_71",2e-05,0.04026,1,0.01372,0.97864,0.03478,0.84502,0.11046,0.00708,1,1,0.98306
"5_103",2e-05,0.229,1,0.0537,0.82668,0.20754,0.70236,0.0876,0.00714,1,1,0.85472
"5_324",2e-05,0.21462,1,0.04252,0.82116,0.18862,0.7384,0.07004,0.00628,1,1,0.8494
"5_85",2e-05,0.25048,1,0.06038,0.81822,0.22592,0.65118,0.11804,0.00668,1,1,0.84848
"5_377",2e-05,0.21656,1,0.05906,0.84874,0.1867,0.72736,0.08384,0.00682,1,1,0.87856
"5_64",0.00012,0.15464,1,0.06548,0.91802,0.12788,0.70766,0.15282,0.0069,1,1,0.94352
"5_230",4e-05,0.11618,1,0.0338,0.92028,0.1031,0.79786,0.09616,0.00708,1,1,0.9363
"5_10",2e-05,0.07288,1,0.02716,0.96312,0.06408,0.77666,0.14726,0.00632,1,1,0.97096
"5_323",2e-05,0.31968,1,0.07314,0.75014,0.28202,0.61408,0.10058,0.00644,1,1,0.79406
"5_318",2e-05,0.13614,1,0.05144,0.93308,0.11088,0.73594,0.14046,0.00652,1,1,0.95048
"5_354",2e-05,0.16402,1,0.04,0.88618,0.14398,0.74678,0.10458,0.00678,1,1,0.90456
"5_196",2e-05,0.17318,1,0.04718,0.8806,0.15174,0.7321,0.10944,0.00694,1,1,0.90306
"5_293",2e-05,0.22838,1,0.0598,0.83712,0.20198,0.6676,0.1258,0.00738,1,1,0.86658
"5_98",2e-05,0.14222,1,0.0421,0.92488,0.12688,0.70676,0.1577,0.00726,1,1,0.9372
"5_130",2e-05,0.3065,1,0.05594,0.74322,0.27648,0.64068,0.0791,0.00698,1,1,0.77566
"5_223",4e-05,0.10068,1,0.03684,0.95106,0.0867,0.79954,0.10894,0.00626,1,1,0.95952
"5_88",2e-05,0.0551,1,0.01694,0.96638,0.04848,0.84222,0.10276,0.00702,1,1,0.9726
"5_227",2e-05,0.2975,1,0.06672,0.76214,0.26726,0.6365,0.09364,0.0066,1,1,0.80254
"5_1",2e-05,0.05722,1,0.01878,0.96826,0.05034,0.78406,0.14482,0.00628,1,1,0.97466
"5_46",2e-05,0.16914,1,0.04454,0.88498,0.15064,0.68174,0.14938,0.0074,1,1,0.90616
"5_231",2e-05,0.204,1,0.04684,0.84532,0.1837,0.71134,0.10218,0.00724,1,1,0.87148
"5_195",2e-05,0.10022,1,0.02698,0.9313,0.08776,0.82828,0.0802,0.00708,1,1,0.94398
