"country","param","mean","lb","ub","q5","q10","q90","q95"
"Bangladesh","a_p_m",1.46565600974047,1.02204791326069,2.27760297941777,1.04684043083075,1.08861736398513,1.93089535427272,2.09802727815548
"Cambodia","a_p_m",1.36513198573053,1.01408020561286,2.19432968748778,1.03040305087172,1.05774057152635,1.76046391384554,1.95890946326817
"Nepal","a_p_m",1.67501283344593,1.04298309583013,2.76054362919495,1.08709202116815,1.15136197375314,2.32288977716783,2.58941580964227
"Philippines","a_p_m",1.18146991507104,1.00876323473754,1.52547140188285,1.01646632477364,1.03334150810033,1.38887565063167,1.45555648225901
"Vietnam","a_p_m",1.54478058674426,1.03060297052734,2.64364052753232,1.05836588829042,1.09213579232307,2.11086879025377,2.40387195475006
"Prior","a_p_m",4.06451850279433,1.12993611419337,9.21940427896282,1.25417567445039,1.50506578560606,7.52116171309268,8.5669870175424
"Bangladesh","a_r_m",0.529381208515115,0.216826072631988,0.922502195163143,0.256545908254513,0.298724674235561,0.795518898275,0.869322874560765
"Cambodia","a_r_m",0.261426092688761,0.0351631678080381,0.757955647463579,0.0490882594790474,0.0731610473088799,0.501592760637435,0.614577473777625
"Nepal","a_r_m",0.669747551708299,0.244343063166966,0.983756919982263,0.303449213730596,0.372898701595113,0.939677955881825,0.970470568270002
"Philippines","a_r_m",0.0500173841473138,0.00492496040287769,0.147582508527604,0.00840689925618863,0.0111219444086273,0.0989870005459297,0.117825625802435
"Vietnam","a_r_m",0.49029052006765,0.0845959969182138,0.938746261861954,0.12509970622996,0.175411444793246,0.833639134276897,0.890295391294154
"Prior","a_r_m",0.453816017153347,0.0202705872653629,0.966102347356504,0.0398924792760377,0.0791648039761256,0.86647912049908,0.933529744669678
"Bangladesh","c_sp",0.410540355373099,0.271038201126364,0.495568860583625,0.299122930249048,0.330148201355958,0.483320408537694,0.491201718555006
"Cambodia","c_sp",0.3578023522642,0.196688886638227,0.489763102300901,0.222656672400548,0.248330289839574,0.462280903849342,0.477740460509171
"Nepal","c_sp",0.348078761312497,0.159691707046608,0.49244314157911,0.182177987876741,0.213702096725934,0.468778378546231,0.482896843822713
"Philippines","c_sp",0.360368269304116,0.172000346619362,0.49409329604344,0.199555477996773,0.232353225999681,0.470987537947855,0.484691619944877
"Vietnam","c_sp",0.291356801823628,0.117934831935465,0.479478889907436,0.141154531486915,0.162663038663029,0.428377858300702,0.461799529568259
"Prior","c_sp",0.250030275734821,0.0128301975204313,0.488643463455371,0.0255101673274284,0.051343858911912,0.450748172787623,0.47610080813174
"Bangladesh","c_tx",0.011917701600829,0.00504949924722387,0.0227302464377351,0.00569447867992887,0.00661315394870214,0.0181126053725609,0.0205698239798172
"Cambodia","c_tx",0.0195122384232959,0.00793578445040732,0.0379785336001802,0.00900431949217044,0.0103773964452609,0.0304471167434606,0.0357352971549948
"Nepal","c_tx",0.0286357277366178,0.0126830800284033,0.0507831501853004,0.014358021191514,0.0166807199925017,0.0423779455031309,0.0467445840230664
"Philippines","c_tx",0.0788047466952252,0.0174550784890591,0.162628482274179,0.0267731261769228,0.0347450954653567,0.121937798251225,0.14217285679064
"Vietnam","c_tx",0.0274270165070676,0.015413213824255,0.043504026739585,0.0168607334375549,0.0188373449840992,0.0371698386402998,0.0409796868023288
"Prior","c_tx",0.0640226425525021,0.00172089539341527,0.221052455144966,0.00352766800929035,0.00717619963083766,0.155803372212694,0.193709151238183
"Bangladesh","c_tx_m",0.0950410156659788,0.0696110144674523,0.12582658563056,0.0728083326814704,0.0768946971751101,0.114290110239144,0.12013941269008
"Cambodia","c_tx_m",0.15748638471267,0.108815289301435,0.220124839364199,0.115436131803519,0.123207729777447,0.196365492410551,0.208004612162005
"Nepal","c_tx_m",0.113539988616397,0.0675081629445821,0.178468370055338,0.0728904996753319,0.0801099107031949,0.150085023169859,0.164516148622229
"Philippines","c_tx_m",0.136994881417457,0.0732372546280482,0.218622886044076,0.0828591303097393,0.0901262451407594,0.184041142261581,0.201386127042239
"Vietnam","c_tx_m",0.136115961194939,0.0837112794235725,0.215951500339792,0.0895810660911391,0.0981946522240675,0.180289548273994,0.197790694644856
"Prior","c_tx_m",0.287076377105007,0.0107286034940334,0.744146971757299,0.0234293790780425,0.045323178452908,0.584770395892288,0.669552215138833
"Bangladesh","m_tb",0.00571105916732267,0.00168115673148667,0.0141945144202816,0.00191067811103717,0.0022896967725946,0.0101334733434717,0.0123646220741205
"Cambodia","m_tb",0.00343803806983377,0.00126609097100386,0.00830451390768868,0.00142812988746588,0.00164328497370855,0.00592773250527911,0.007049779192722
"Nepal","m_tb",0.0109364443261332,0.00284498880212891,0.025076749012126,0.00337905400916435,0.00420487076658053,0.0198383734094157,0.0225694653090677
"Philippines","m_tb",0.0020519480261593,0.000812571766278808,0.0046619128977039,0.000880921275448716,0.000993029149280302,0.00344044310218567,0.00403107972400991
"Vietnam","m_tb",0.00409175791257463,0.00155976420387552,0.00935893275695619,0.00169099929779876,0.00194257127535067,0.00678570563326721,0.00806329722720416
"Prior","m_tb",0.0353289366517035,0.00135028872947412,0.0932638821274029,0.00273599238824017,0.00545353950079251,0.0766018359016734,0.0870497985078002
"Bangladesh","m_tb_m",0.0318853171619984,0.0213431842363286,0.046767462683844,0.0228278693987678,0.0243441779750936,0.0405433508696678,0.043399865990883
"Cambodia","m_tb_m",0.0239479334917117,0.0150844105108778,0.0348504456728424,0.0159652121666641,0.0176630637013111,0.0302019240141413,0.0326820874183637
"Nepal","m_tb_m",0.049367648512771,0.0274510838370209,0.095101001747984,0.0295652919877817,0.0325556638198153,0.0701440290693129,0.0820814828659842
"Philippines","m_tb_m",0.0147999579915424,0.0115273470468345,0.0189747099114509,0.0118779622408305,0.0122630471965072,0.0174698651466484,0.018398456373143
"Vietnam","m_tb_m",0.027824271155612,0.0169312218535148,0.0416271591831277,0.018531391741823,0.020435645247571,0.0359485711196826,0.0392014532373696
"Prior","m_tb_m",0.23584892865992,0.00896917234297227,0.689688192351128,0.0173958385103464,0.0343636111339056,0.512212378915374,0.611211907973002
"Bangladesh","p_m",0.0391559413136903,0.0288680827778279,0.0512070070245145,0.0302120445261793,0.0321292744246227,0.0466696548363059,0.0489452720102363
"Cambodia","p_m",0.0389467889863419,0.0255229524735789,0.0545508046785248,0.0274627964754376,0.03016106013443,0.0479614494159261,0.0518171235330233
"Nepal","p_m",0.0280386316079915,0.0186586611054682,0.0430247974274417,0.0197654306672215,0.0211664396341292,0.0358809093918258,0.0392415221122766
"Philippines","p_m",0.0430503703730675,0.0241593026326004,0.0668758101158372,0.0272195609021501,0.030044519730646,0.0559074214132642,0.0615304480511032
"Vietnam","p_m",0.0220386334725764,0.015408878015466,0.0304022539332676,0.015870025506503,0.017190574467227,0.0272982694450759,0.0287905995997163
"Prior","p_m",0.0799636308401317,0.00375421064286563,0.189148740904261,0.00731841274757521,0.0140657070968063,0.160422444057755,0.178579897636161
"Bangladesh","p_s",0.172786053135132,0.129591282147773,0.198587479813158,0.137480056058934,0.146862109008476,0.194854907555854,0.197369274673889
"Cambodia","p_s",0.11508940562121,0.0750224544735,0.163604512712441,0.0796670284064137,0.0871505507862592,0.14673570164496,0.157861097691009
"Nepal","p_s",0.127455981510796,0.0740675686814959,0.182847041891454,0.0832107844884142,0.0925447327528652,0.164167939173835,0.173956402083524
"Philippines","p_s",0.084787530676468,0.0466833415058951,0.132148326766084,0.0514340284099077,0.0571671691113817,0.113486351716858,0.123948582500785
"Vietnam","p_s",0.140843109887773,0.0844649901981367,0.196384112290151,0.0886851163127851,0.0995443938089518,0.183418373044749,0.192427440357266
"Prior","p_s",0.0904887191950471,0.00469988889988361,0.192242603449643,0.00922392854279233,0.0177320698127174,0.170426506332617,0.184391857426999
"Bangladesh","r_m",0.0122936548968754,0.00279155338822079,0.0289703548880012,0.00399611436956113,0.00523717719552506,0.0206986398692308,0.0246394556051247
"Cambodia","r_m",0.016513670083224,0.00178771831349159,0.0528388025566541,0.00291130197492133,0.00428152396281726,0.031490259911884,0.0428428909209264
"Nepal","r_m",0.0157839255656416,0.00362006231031206,0.0445769537796568,0.00482456200448422,0.00613412871968354,0.0276370882973645,0.0355790707889707
"Philippines","r_m",0.0303282168261643,0.00230486425157879,0.10319182778932,0.00447206278601917,0.0073714114618959,0.0614982228446793,0.0767349474369363
"Vietnam","r_m",0.014078186108915,0.00279064719141479,0.0400153720738788,0.003918920566694,0.00518059851796892,0.0257180537068307,0.0323099718002323
"Prior","r_m",0.095321818373885,0.00417961494805722,0.194621398009943,0.00831907958968147,0.0168551495733262,0.177405419209056,0.188465855095159
"Bangladesh","r_m_ms",0.0059432523662056,0.00150763883703173,0.0122306939467269,0.00213712849032856,0.00278379188092403,0.00965137534344332,0.0109019832095247
"Cambodia","r_m_ms",0.00292578015211186,0.000458180559132847,0.00630661072994211,0.000796837895203732,0.00116764171754034,0.00485743051405088,0.00557968586409631
"Nepal","r_m_ms",0.00972300252999004,0.00234795820587908,0.0253137480184483,0.00306100320440798,0.00390171881208956,0.0168183222127377,0.0209372814839295
"Philippines","r_m_ms",0.00106965431410114,6.81248692972156e-05,0.0025972875910743,0.000131312246025958,0.000267248850726426,0.00200169530410214,0.0022663774918626
