"...1","...2","...3","...4"
"2.2 [1.8-3.1]","0.3 [0.1-0.6]","1.8 [1.5-2.6]","0.2 [0.1-0.4]"
"1.0 [0.7-1.4]","9.1 [6.9-11.6]","1.5 [1.0-2.1]","5.4 [3.0-7.7]"
"0.8 [0.6-1.2]","0.2 [0.1-0.4]","2.9 [2.3-3.8]","0.2 [0.1-0.3]"
"0.9 [0.6-1.3]","6.9 [5.1-9.1]","1.6 [1.2-2.3]","7.2 [5.4-9.4]"
"1.9 [1.4-2.7]","15.9 [12.9-19.5]","3.1 [2.4-4.1]","12.6 [9.6-15.9]"
"1.7 [1.3-2.5]","7.1 [5.3-9.2]","4.5 [3.7-5.8]","7.4 [5.6-9.5]"
"4.9 [3.9-6.8]","16.4 [13.6-19.8]","7.9 [6.6-9.8]","13.0 [10.1-16.2]"
"100% [100-100%]","14% [4-26%]","85% [80-89%]","10% [3-16%]"
"11% [8-15%]","100% [100-100%]","16% [12-21%]","59% [39-74%]"
"28% [22-37%]","7% [2-12%]","100% [100-100%]","6% [2-11%]"
"12% [9-17%]","96% [88-99%]","23% [18-28%]","100% [100-100%]"
"13% [10-17%]","100% [100-100%]","23% [18-28%]","100% [100-100%]"
"34% [27-44%]","97% [91-99%]","100% [100-100%]","100% [100-100%]"
"87% [83-90%]","12% [3-22%]","74% [69-78%]","8% [2-14%]"
"9% [7-13%]","64% [52-76%]","19% [14-23%]","67% [56-78%]"
"3% [2-5%]","22% [16-27%]","7% [5-9%]","23% [17-29%]"
