"...1","...2","...3","...4"
"2.1 [1.8-2.8]","0.3 [0.1-0.5]","1.8 [1.5-2.4]","0.2 [0.0-0.4]"
"0.9 [0.7-1.4]","8.6 [6.4-11.6]","1.5 [1.1-2.1]","5.9 [3.9-8.0]"
"0.8 [0.6-1.1]","0.2 [0.0-0.3]","2.8 [2.3-3.7]","0.1 [0.0-0.3]"
"0.9 [0.6-1.2]","7.0 [5.2-9.3]","1.6 [1.2-2.2]","7.3 [5.5-9.6]"
"1.8 [1.4-2.5]","15.7 [12.5-19.3]","3.1 [2.4-4.1]","13.1 [10.3-16.4]"
"1.7 [1.3-2.3]","7.2 [5.4-9.6]","4.4 [3.7-5.6]","7.4 [5.7-9.8]"
"4.7 [3.9-6.2]","16.1 [13.2-19.5]","7.7 [6.5-9.5]","13.5 [10.8-16.7]"
"100% [100-100%]","13% [3-23%]","85% [80-89%]","10% [2-17%]"
"11% [8-15%]","100% [100-100%]","18% [12-22%]","68% [51-78%]"
"28% [22-35%]","6% [1-11%]","100% [100-100%]","5% [1-10%]"
"12% [9-16%]","97% [92-99%]","23% [18-28%]","100% [100-100%]"
"12% [9-17%]","100% [100-100%]","23% [18-28%]","100% [100-100%]"
"34% [27-41%]","97% [94-100%]","100% [100-100%]","100% [100-100%]"
"87% [84-90%]","12% [2-20%]","74% [69-78%]","9% [2-14%]"
"9% [7-12%]","64% [52-77%]","18% [14-23%]","66% [55-78%]"
"3% [2-5%]","23% [17-28%]","7% [5-9%]","24% [17-30%]"
