"...1","...2","...3","...4"
"2.5 [1.8-4.1]","0.3 [0.1-0.9]","2.1 [1.4-3.6]","0.1 [0.0-0.3]"
"0.9 [0.6-1.5]","8.7 [6.2-11.4]","1.1 [0.6-1.7]","2.7 [0.4-6.0]"
"0.7 [0.4-1.2]","0.1 [0.0-0.3]","3.0 [2.2-4.2]","0.1 [0.0-0.2]"
"0.7 [0.4-1.1]","4.9 [3.4-6.9]","1.2 [0.8-1.7]","5.4 [3.9-7.3]"
"1.6 [1.1-2.5]","13.6 [10.1-17.2]","2.3 [1.6-3.2]","8.1 [5.3-12.1]"
"1.3 [0.9-2.2]","5.0 [3.5-7.0]","4.2 [3.2-5.7]","5.5 [3.9-7.4]"
"4.8 [3.5-7.7]","14.1 [10.9-17.5]","7.4 [5.8-9.9]","8.3 [5.5-12.3]"
"100% [100-100%]","14% [2-35%]","83% [75-89%]","4% [1-8%]"
"11% [7-17%]","100% [100-100%]","13% [8-19%]","31% [7-60%]"
"23% [14-36%]","4% [1-9%]","100% [100-100%]","2% [0-5%]"
"12% [8-19%]","91% [71-99%]","22% [18-27%]","100% [100-100%]"
"13% [8-20%]","100% [100-100%]","23% [18-29%]","100% [100-100%]"
"30% [19-45%]","93% [76-99%]","100% [100-100%]","100% [100-100%]"
"87% [80-91%]","12% [2-31%]","72% [65-78%]","4% [1-7%]"
"11% [7-18%]","75% [59-86%]","24% [18-31%]","83% [74-90%]"
"2% [1-3%]","12% [7-17%]","4% [2-6%]","13% [8-18%]"
