"...1","...2","...3","...4"
"2.8 [1.9-5.1]","0.5 [0.1-1.0]","2.4 [1.5-4.4]","0.3 [0.1-0.7]"
"1.0 [0.6-1.8]","11.2 [8.0-15.1]","1.5 [0.9-2.2]","6.6 [3.2-9.9]"
"0.8 [0.4-1.4]","0.2 [0.1-0.4]","2.8 [2.1-4.0]","0.2 [0.1-0.3]"
"0.6 [0.3-1.0]","5.4 [3.4-7.9]","1.0 [0.6-1.6]","5.7 [3.8-8.3]"
"1.6 [0.9-2.8]","16.6 [12.4-21.5]","2.5 [1.6-3.6]","12.4 [8.3-17.1]"
"1.3 [0.8-2.4]","5.6 [3.6-8.1]","3.8 [2.9-5.2]","5.9 [4.0-8.4]"
"5.2 [3.4-9.1]","17.3 [13.2-22.1]","7.7 [5.8-11.0]","12.9 [8.7-17.5]"
"100% [100-100%]","17% [6-31%]","83% [75-89%]","11% [4-19%]"
"9% [5-15%]","100% [100-100%]","13% [9-18%]","59% [34-75%]"
"27% [15-43%]","7% [3-13%]","100% [100-100%]","6% [2-11%]"
"10% [6-16%]","94% [84-99%]","18% [12-23%]","100% [100-100%]"
"10% [6-17%]","100% [100-100%]","18% [13-24%]","100% [100-100%]"
"32% [19-50%]","95% [87-99%]","100% [100-100%]","100% [100-100%]"
"88% [80-93%]","14% [5-27%]","73% [65-79%]","10% [3-17%]"
"8% [5-14%]","60% [45-74%]","19% [14-27%]","64% [49-78%]"
"3% [2-5%]","23% [16-32%]","7% [5-10%]","25% [17-34%]"
