"...1","...2","...3","...4"
"2.6 [1.8-4.4]","0.4 [0.1-0.9]","2.0 [1.3-3.6]","0.2 [0.0-0.5]"
"1.0 [0.6-1.7]","10.1 [7.1-13.7]","1.3 [0.7-2.1]","5.1 [1.4-9.0]"
"0.6 [0.4-1.1]","0.1 [0.0-0.3]","2.5 [1.9-3.5]","0.1 [0.0-0.2]"
"0.8 [0.5-1.3]","6.8 [4.6-9.6]","1.4 [0.9-2.0]","7.3 [5.1-10.3]"
"1.8 [1.2-2.9]","16.9 [12.5-22.3]","2.7 [1.8-3.9]","12.4 [7.9-17.9]"
"1.4 [0.9-2.3]","6.9 [4.8-9.8]","3.9 [2.9-5.3]","7.4 [5.2-10.4]"
"5.0 [3.5-8.3]","17.4 [13.0-22.8]","7.2 [5.3-10.2]","12.7 [8.1-18.3]"
"100% [100-100%]","14% [3-29%]","76% [66-85%]","7% [2-14%]"
"10% [6-15%]","100% [100-100%]","13% [8-18%]","50% [18-75%]"
"24% [15-38%]","5% [1-10%]","100% [100-100%]","4% [1-8%]"
"11% [7-17%]","94% [79-99%]","19% [14-24%]","100% [100-100%]"
"11% [7-17%]","100% [100-100%]","19% [15-25%]","100% [100-100%]"
"30% [19-46%]","95% [82-99%]","100% [100-100%]","100% [100-100%]"
"86% [78-91%]","12% [3-25%]","65% [56-74%]","6% [2-12%]"
"11% [6-18%]","66% [51-80%]","29% [19-40%]","71% [57-84%]"
"3% [1-4%]","19% [11-28%]","5% [3-7%]","21% [12-29%]"
