"...1","...2","...3","...4"
"2.6 [1.8-4.7]","0.3 [0.0-0.7]","1.8 [1.1-3.6]","0.1 [0.0-0.3]"
"0.9 [0.5-1.8]","10.4 [7.0-15.4]","1.0 [0.5-2.0]","3.2 [0.1-8.4]"
"0.5 [0.3-1.1]","0.1 [0.0-0.3]","2.9 [2.0-5.4]","0.1 [0.0-0.2]"
"0.7 [0.4-1.2]","6.5 [4.3-9.2]","1.4 [0.9-2.1]","7.0 [4.5-10.3]"
"1.6 [1.0-3.0]","16.9 [11.7-23.8]","2.4 [1.5-3.7]","10.2 [5.4-16.6]"
"1.2 [0.8-2.3]","6.6 [4.4-9.3]","4.3 [3.0-7.3]","7.0 [4.6-10.4]"
"4.7 [3.3-8.9]","17.3 [12.0-24.5]","7.2 [5.1-11.0]","10.4 [5.4-16.8]"
"100% [100-100%]","10% [1-28%]","72% [53-83%]","4% [0-14%]"
"9% [5-16%]","100% [100-100%]","10% [4-18%]","31% [1-76%]"
"19% [9-35%]","3% [0-8%]","100% [100-100%]","2% [0-7%]"
"10% [6-17%]","94% [77-100%]","20% [15-25%]","100% [100-100%]"
"11% [6-18%]","100% [100-100%]","20% [15-26%]","100% [100-100%]"
"25% [13-44%]","95% [80-100%]","100% [100-100%]","100% [100-100%]"
"87% [77-92%]","9% [0-24%]","62% [46-73%]","4% [0-12%]"
"11% [6-20%]","75% [53-90%]","34% [20-50%]","80% [57-92%]"
"2% [1-4%]","14% [6-28%]","4% [2-8%]","15% [7-29%]"
