"...1","...2","...3","...4"
"2.7 [1.8-5.0]","0.4 [0.1-1.1]","2.1 [1.2-4.2]","0.2 [0.0-0.5]"
"0.9 [0.4-1.6]","9.1 [5.8-13.7]","1.1 [0.5-2.0]","3.7 [0.2-8.4]"
"0.8 [0.4-1.9]","0.2 [0.0-0.4]","3.2 [2.1-5.3]","0.1 [0.0-0.3]"
"0.7 [0.3-1.2]","5.6 [3.3-8.4]","1.3 [0.7-2.1]","6.2 [3.8-9.4]"
"1.6 [0.8-2.7]","14.7 [9.8-20.4]","2.4 [1.4-3.7]","9.9 [5.4-15.5]"
"1.5 [0.8-2.9]","5.8 [3.5-8.6]","4.4 [2.9-6.9]","6.3 [4.0-9.5]"
"5.1 [3.4-9.2]","15.3 [10.7-20.9]","7.7 [5.2-11.2]","10.2 [5.5-15.8]"
"100% [100-100%]","17% [3-43%]","80% [60-88%]","7% [1-19%]"
"10% [6-16%]","100% [100-100%]","12% [5-19%]","40% [2-72%]"
"26% [12-47%]","6% [1-13%]","100% [100-100%]","4% [0-11%]"
"11% [6-18%]","91% [63-99%]","20% [14-27%]","100% [100-100%]"
"12% [7-19%]","100% [100-100%]","21% [14-28%]","100% [100-100%]"
"32% [17-53%]","92% [69-99%]","100% [100-100%]","100% [100-100%]"
"87% [77-92%]","14% [3-38%]","69% [51-78%]","6% [0-17%]"
"11% [6-20%]","68% [44-86%]","25% [14-47%]","76% [50-92%]"
"2% [1-5%]","16% [5-30%]","5% [2-9%]","18% [7-32%]"
