"Philippines","Nepal"
"1.7 [1.1-2.9]","2.0 [1.3-3.6]"
"3.5 [2.2-4.9]","3.6 [2.5-5.1]"
"0.6 [0.5-1.0]","0.9 [0.6-1.4]"
"3.1 [2.2-4.4]","2.1 [1.4-3.1]"
"6.6 [4.8-8.9]","5.8 [4.2-7.6]"
"3.8 [2.7-5.2]","3.0 [2.1-4.2]"
"9.0 [6.6-12.4]","8.7 [6.5-12.2]"
"65% [61-69%]","72% [68-75%]"
"35% [28-40%]","33% [28-37%]"
"26% [21-34%]","32% [25-42%]"
"43% [39-47%]","37% [34-42%]"
"45% [42-48%]","39% [36-43%]"
"63% [56-71%]","62% [54-72%]"
"55% [49-61%]","63% [57-68%]"
"34% [26-42%]","26% [20-33%]"
"9% [6-13%]","10% [7-13%]"
