"...1","...2","...3","...4"
"3.3 [1.9-6.2]","0.4 [0.1-1.0]","2.7 [1.4-5.2]","0.2 [0.0-0.5]"
"0.7 [0.3-1.4]","7.9 [5.2-11.2]","0.9 [0.4-1.5]","3.2 [0.7-5.9]"
"1.4 [0.7-2.5]","0.3 [0.1-0.5]","4.2 [3.0-6.1]","0.2 [0.0-0.4]"
"0.6 [0.3-1.2]","5.6 [3.5-8.1]","1.1 [0.7-1.7]","6.0 [3.7-8.6]"
"1.3 [0.7-2.4]","13.4 [9.7-17.6]","2.0 [1.3-3.0]","9.2 [5.8-13.0]"
"2.0 [1.1-3.6]","5.8 [3.7-8.4]","5.4 [3.8-7.6]","6.2 [3.9-8.9]"
"6.0 [3.5-10.8]","14.1 [10.4-18.2]","8.9 [6.5-12.7]","9.6 [6.1-13.5]"
"100% [100-100%]","13% [3-29%]","81% [69-88%]","6% [1-12%]"
"9% [5-16%]","100% [100-100%]","11% [6-17%]","41% [11-66%]"
"33% [16-54%]","6% [2-12%]","100% [100-100%]","4% [1-9%]"
"11% [6-18%]","94% [79-99%]","19% [14-24%]","100% [100-100%]"
"11% [6-19%]","100% [100-100%]","19% [15-25%]","100% [100-100%]"
"37% [19-59%]","95% [81-99%]","100% [100-100%]","100% [100-100%]"
"85% [74-92%]","11% [3-25%]","69% [59-76%]","5% [1-10%]"
"12% [7-21%]","73% [60-84%]","26% [19-35%]","78% [66-88%]"
"2% [1-4%]","15% [9-22%]","5% [3-7%]","16% [9-24%]"
