"id","weight","X1","X2","X3","X4","X5","X6","X7","X8","smear","tb_any","symptom"
"1_43",0.00032,0.10136,1,0.05934,0.98368,0.08896,0.6196,0.25902,0.00416,1,1,0.98812
"1_86",2e-05,0.20186,1,0.11694,0.96112,0.16936,0.42858,0.33508,0.00388,1,1,0.97376
"1_47",4e-05,0.13938,1,0.07194,0.9507,0.11598,0.65454,0.20706,0.00474,1,1,0.9694
"1_309",2e-05,0.17422,1,0.08638,0.95384,0.1535,0.59342,0.24166,0.00522,1,1,0.9641
"1_444",0.00022,0.26318,1,0.1279,0.93098,0.23874,0.43276,0.31634,0.00446,1,1,0.94546
"1_344",2e-05,0.23466,1,0.12254,0.94798,0.20678,0.4769,0.29698,0.00414,1,1,0.95938
"1_378",2e-05,0.23536,1,0.11458,0.9355,0.21352,0.54964,0.231,0.00428,1,1,0.94896
"1_94",0.00042,0.1188,1,0.05914,0.96796,0.10274,0.64232,0.22204,0.00508,1,1,0.97688
"1_532",8e-05,0.27724,1,0.11048,0.90472,0.25228,0.47026,0.26858,0.00482,1,1,0.91814
"1_32",2e-05,0.107,1,0.06168,0.97746,0.09026,0.59896,0.27328,0.00414,1,1,0.98466
"1_652",0.00016,0.46454,1,0.14604,0.7403,0.41862,0.32124,0.25716,0.00414,1,1,0.78952
"1_605",2e-05,0.26748,1,0.10894,0.91368,0.23858,0.48954,0.26224,0.0046,1,1,0.929
"1_395",2e-05,0.11988,1,0.06564,0.97016,0.10626,0.69736,0.18702,0.00478,1,1,0.97618
"1_178",2e-05,0.12244,1,0.06034,0.95582,0.1071,0.65508,0.22304,0.00482,1,1,0.9683
"1_175",4e-05,0.33256,1,0.15798,0.88936,0.29322,0.3632,0.31534,0.00438,1,1,0.9068
"1_300",2e-05,0.10702,1,0.04334,0.95794,0.09518,0.7014,0.1915,0.00466,1,1,0.96706
"1_48",2e-05,0.11608,1,0.07118,0.97792,0.09584,0.57088,0.29586,0.00478,1,1,0.9857
"1_478",2e-05,0.17072,1,0.06132,0.93958,0.15556,0.59798,0.21586,0.00512,1,1,0.95072
"1_440",2e-05,0.2079,1,0.1028,0.93014,0.17406,0.55666,0.2357,0.00486,1,1,0.95488
"1_570",2e-05,0.33142,1,0.12882,0.83582,0.2934,0.4523,0.25146,0.0048,1,1,0.87134
"1_234",2e-05,0.23006,1,0.1463,0.93052,0.17454,0.60216,0.1996,0.00488,1,1,0.96456
"1_587",2e-05,0.28282,1,0.08818,0.85048,0.2468,0.49416,0.23556,0.00416,1,1,0.87856
"1_95",4e-05,0.15854,1,0.08794,0.96158,0.13398,0.57394,0.25694,0.00478,1,1,0.97206
"1_28",3e-04,0.06566,1,0.02636,0.97488,0.06076,0.7497,0.17224,0.00492,1,1,0.98026
"1_13",0.00044,0.0763,1,0.04322,0.98592,0.0696,0.658,0.24492,0.00492,1,1,0.98868
"1_111",4e-05,0.14628,1,0.07276,0.95594,0.12816,0.61654,0.2379,0.00428,1,1,0.9677
"1_168",0.00034,0.14884,1,0.09144,0.96394,0.12212,0.6333,0.22284,0.00438,1,1,0.97952
"1_514",2e-05,0.2302,1,0.10878,0.92686,0.20248,0.51954,0.26068,0.00444,1,1,0.94274
"1_446",4e-05,0.24312,1,0.11384,0.91538,0.20858,0.45984,0.30486,0.00422,1,1,0.94156
"1_294",4e-05,0.12324,1,0.05882,0.96308,0.1105,0.66958,0.20692,0.00474,1,1,0.97246
"1_413",4e-05,0.28376,1,0.10138,0.86366,0.25366,0.4779,0.2519,0.0044,1,1,0.89116
"1_400",6e-05,0.27048,1,0.13038,0.91986,0.23824,0.4627,0.28592,0.00432,1,1,0.9384
"1_164",2e-05,0.16666,1,0.09862,0.95826,0.1339,0.53656,0.28048,0.00482,1,1,0.97576
"1_279",2e-05,0.1126,1,0.05706,0.96984,0.09264,0.65068,0.22102,0.00462,1,1,0.97946
"1_536",2e-05,0.26266,1,0.10554,0.9053,0.23288,0.48744,0.26034,0.00466,1,1,0.92482
"1_492",4e-05,0.3504,1,0.11526,0.77746,0.2991,0.53166,0.1557,0.00506,1,1,0.82924
"1_594",2e-05,0.15178,1,0.0648,0.94508,0.12782,0.65952,0.195,0.00466,1,1,0.9591
"1_56",2e-05,0.20336,1,0.08612,0.9226,0.18232,0.5849,0.21384,0.00448,1,1,0.93878
"1_76",2e-05,0.0234,1,0.01168,0.98566,0.01714,0.8241,0.12528,0.0051,1,1,0.99052
"1_1",2e-05,0.08364,1,0.05746,0.98814,0.07054,0.62624,0.2578,0.00462,1,1,0.99206
"1_31",4e-05,0.0826,1,0.0444,0.98424,0.0736,0.6542,0.2398,0.0046,1,1,0.98694
"1_263",2e-05,0.14352,1,0.07856,0.96768,0.1273,0.61382,0.2447,0.00434,1,1,0.97508
"1_322",2e-05,0.1914,1,0.09164,0.94358,0.168,0.5993,0.22302,0.00462,1,1,0.9556
"1_372",2e-05,0.23606,1,0.10566,0.92372,0.20738,0.49748,0.28728,0.00394,1,1,0.94116
"1_159",2e-05,0.24144,1,0.12394,0.94722,0.2132,0.38056,0.3506,0.00442,1,1,0.95816
"1_365",2e-05,0.12048,1,0.05064,0.9545,0.10702,0.65298,0.20912,0.0052,1,1,0.96384
"1_320",2e-05,0.25022,1,0.11502,0.91518,0.20942,0.41932,0.34078,0.00376,1,1,0.9378
"1_136",2e-05,0.18566,1,0.10918,0.96358,0.1606,0.52486,0.28872,0.00494,1,1,0.972
"1_281",2e-05,0.10408,1,0.054,0.95852,0.08208,0.6992,0.19952,0.0053,1,1,0.97486
"1_542",2e-05,0.29552,1,0.11564,0.88676,0.26662,0.46908,0.25784,0.00456,1,1,0.90756
"1_490",2e-05,0.2091,1,0.09914,0.93598,0.18506,0.54464,0.2624,0.00446,1,1,0.95356
"1_240",2e-05,0.1237,1,0.05994,0.9648,0.10302,0.71396,0.16552,0.0045,1,1,0.97608
"1_72",6e-05,0.11872,1,0.07294,0.97612,0.09648,0.6527,0.23008,0.00466,1,1,0.98478
"1_88",2e-05,0.12756,1,0.06014,0.96488,0.1138,0.60936,0.2426,0.00456,1,1,0.97394
"1_264",4e-05,0.16734,1,0.06834,0.91542,0.13756,0.68568,0.16254,0.00464,1,1,0.94148
"1_453",2e-05,0.15616,1,0.0775,0.9633,0.13394,0.59608,0.23492,0.00492,1,1,0.97194
"1_484",2e-05,0.13896,1,0.05318,0.93502,0.1223,0.69084,0.17604,0.00452,1,1,0.95192
"1_246",6e-05,0.16934,1,0.07704,0.95278,0.1536,0.5886,0.2449,0.0047,1,1,0.96142
"1_319",2e-05,0.18414,1,0.06598,0.90942,0.16346,0.65082,0.17002,0.00454,1,1,0.92794
"1_100",2e-05,0.15548,1,0.07824,0.95612,0.13858,0.59618,0.24862,0.0046,1,1,0.9651
"1_399",2e-05,0.13202,1,0.05536,0.95922,0.11878,0.64138,0.21622,0.00428,1,1,0.96714
"1_30",4e-05,0.07746,1,0.03812,0.9811,0.06984,0.71058,0.20628,0.00482,1,1,0.98506
"1_129",2e-05,0.16484,1,0.07358,0.95078,0.14626,0.5744,0.25282,0.00438,1,1,0.9629
"1_215",2e-05,0.21838,1,0.10078,0.91608,0.19048,0.50472,0.28232,0.00454,1,1,0.94036
"5_154",2e-05,0.2625,1,0.1275,0.92026,0.2283,0.47358,0.27306,0.0044,1,1,0.94556
