"id","weight","X1","X2","X3","X4","X5","X6","X7","X8","smear","tb_any","symptom"
"1_189",4e-05,0.01018,0.01958,0.00486,1,0.00872,0.90728,0.08306,0.0057,1,1,1
"1_154",6e-05,0.03482,0.09904,0.01674,1,0.0301,0.88418,0.08456,0.00522,1,1,1
"1_361",0.00012,0.00376,0.00628,0.00214,1,0.00316,0.89636,0.09892,0.00546,1,1,1
"1_181",0.00172,0.026,0.04254,0.01276,1,0.02322,0.87142,0.10422,0.00572,1,1,1
"1_115",4e-05,0.02042,0.04766,0.01008,1,0.0176,0.88884,0.09278,0.00502,1,1,1
"1_406",0.00026,0.01572,0.02218,0.00934,1,0.01388,0.89792,0.08768,0.00542,1,1,1
"1_240",2e-05,0.03714,0.04958,0.02116,1,0.03342,0.85522,0.11046,0.00546,1,1,1
"1_327",8e-04,0.01354,0.02798,0.00576,1,0.0115,0.91576,0.07214,0.00538,1,1,1
"1_92",0.00088,0.03118,0.0829,0.01656,1,0.02688,0.86766,0.10434,0.00508,1,1,1
"1_284",0.00028,0.01594,0.03718,0.00712,1,0.01364,0.92238,0.0635,0.00562,1,1,1
"1_317",2e-05,0.02548,0.05824,0.0135,1,0.022,0.88774,0.08954,0.00476,1,1,1
"1_326",0.00028,0.00824,0.01072,0.00474,1,0.00752,0.90702,0.08482,0.00454,1,1,1
"1_114",2e-05,0.02514,0.06632,0.01144,1,0.02246,0.8837,0.09334,0.00536,1,1,1
"1_78",6e-04,0.02274,0.06624,0.01156,1,0.0196,0.88054,0.09874,0.0057,1,1,1
"1_419",2e-05,0.0181,0.0227,0.01014,1,0.01592,0.89914,0.08418,0.00552,1,1,1
"1_48",8e-05,0.03558,0.06332,0.01646,1,0.03206,0.8631,0.10396,0.00554,1,1,1
"1_66",0.00032,0.02006,0.04616,0.0105,1,0.01732,0.89052,0.09122,0.00642,1,1,1
"1_100",2e-05,0.0318,0.071,0.0153,1,0.02794,0.86482,0.10612,0.00518,1,1,1
"1_59",2e-05,0.0164,0.03736,0.00664,1,0.01484,0.88226,0.10206,0.00512,1,1,1
"1_20",1e-04,0.00666,0.1797,0.00316,1,0.00588,0.91038,0.08174,0.0059,1,1,1
"1_376",4e-05,0.01722,0.02238,0.0101,1,0.01484,0.89696,0.08724,0.00514,1,1,1
"1_422",2e-05,0.02796,0.03594,0.0171,1,0.024,0.89284,0.08264,0.00544,1,1,1
"1_359",2e-05,0.02204,0.05252,0.01062,1,0.01888,0.89208,0.08796,0.00498,1,1,1
"1_143",2e-05,0.02196,0.04138,0.01234,1,0.01956,0.90042,0.07942,0.00548,1,1,1
"1_380",2e-05,0.01764,0.03826,0.00994,1,0.01446,0.90396,0.08092,0.00522,1,1,1
"1_225",2e-05,0.01382,0.04594,0.00628,1,0.0118,0.91308,0.0746,0.00534,1,1,1
"1_289",2e-05,0.01624,0.04606,0.0069,1,0.01386,0.91036,0.075,0.00562,1,1,1
"1_204",2e-05,0.00996,0.02698,0.00416,1,0.00896,0.91098,0.0793,0.00562,1,1,1
"1_46",2e-05,0.01638,0.05292,0.00638,1,0.01452,0.88822,0.09588,0.00552,1,1,1
"1_369",2e-05,0.00982,0.02196,0.00484,1,0.00862,0.926,0.06494,0.0061,1,1,1
"1_360",2e-05,0.02184,0.05408,0.00952,1,0.01876,0.90872,0.072,0.00482,1,1,1
"1_200",2e-05,0.01456,0.03878,0.0063,1,0.01274,0.9023,0.08388,0.00554,1,1,1
"1_341",2e-05,0.01668,0.04184,0.0079,1,0.01416,0.90818,0.07718,0.00566,1,1,1
"1_362",2e-05,0.01398,0.02468,0.00792,1,0.01206,0.91172,0.07574,0.0055,1,1,1
"1_12",2e-05,0.00732,0.16318,0.00282,1,0.00652,0.90396,0.08744,0.00554,1,1,1
"1_44",2e-05,0.0415,0.10694,0.01904,1,0.03722,0.8399,0.12134,0.0043,1,1,1
"5_61",2e-05,0.00662,0.0307,0.00318,1,0.00576,0.93144,0.0623,0.0053,1,1,1
"5_257",2e-05,0.01252,0.02218,0.00586,1,0.011,0.92222,0.06626,0.00576,1,1,1
"5_263",2e-05,0.01838,0.08164,0.00814,1,0.01574,0.90758,0.07606,0.00534,1,1,1
"5_223",2e-05,0.00624,0.035,0.00252,1,0.00536,0.93826,0.0559,0.00544,1,1,1
"5_240",2e-05,0.01452,0.0428,0.00642,1,0.01208,0.90494,0.08234,0.00514,1,1,1
"5_35",2e-05,0.02204,0.07772,0.0114,1,0.01848,0.90656,0.07434,0.00568,1,1,1
"5_291",2e-05,0.02094,0.04136,0.00948,1,0.0173,0.8888,0.093,0.00512,1,1,1
"5_377",2e-05,0.00146,0.00874,0.00092,1,0.00122,0.94522,0.0532,0.00534,1,1,1
"5_22",2e-05,0.01754,0.15894,0.00878,1,0.0153,0.89864,0.08508,0.00536,1,1,1
"5_133",2e-05,1e-04,0.0062,4e-05,1,8e-05,0.9486,0.05082,0.00624,1,1,1
"5_122",2e-05,0.00834,0.02662,0.0041,1,0.00688,0.91304,0.0795,0.00594,1,1,1
"5_170",2e-05,0.0279,0.05972,0.01328,1,0.02436,0.87406,0.10064,0.00534,1,1,1
"5_212",2e-05,0.02872,0.08618,0.01282,1,0.02462,0.88338,0.09146,0.00516,1,1,1
"5_71",2e-05,0.014,0.13004,0.00652,1,0.012,0.9134,0.07392,0.00492,1,1,1
"5_117",2e-05,0.00982,0.12486,0.00434,1,0.00836,0.91542,0.0757,0.00558,1,1,1
"5_219",2e-05,0.0231,0.04348,0.01004,1,0.0198,0.85962,0.1186,0.00512,1,1,1
"5_333",2e-05,0.01938,0.04434,0.0118,1,0.01586,0.9194,0.0641,0.0057,1,1,1
"5_175",2e-05,0.03048,0.06658,0.01462,1,0.0261,0.8769,0.0959,0.00526,1,1,1
"5_259",4e-05,0.02662,0.04802,0.01302,1,0.02294,0.8807,0.0957,0.00504,1,1,1
"5_116",2e-05,0.02014,0.0506,0.00952,1,0.01748,0.89562,0.08634,0.00494,1,1,1
"5_280",2e-05,0.01072,0.0247,0.00394,1,0.00924,0.9273,0.0628,0.00608,1,1,1
"5_266",2e-05,0.02544,0.06716,0.01384,1,0.02074,0.895,0.08322,0.00596,1,1,1
"5_129",4e-05,0.01988,0.06626,0.00828,1,0.01738,0.8917,0.08988,0.005,1,1,1
"5_413",4e-05,0.02244,0.0407,0.01126,1,0.01864,0.9096,0.07128,0.00604,1,1,1
"5_408",2e-05,0.01442,0.02864,0.00808,1,0.01202,0.92632,0.06122,0.00566,1,1,1
"5_224",2e-05,0.0049,0.0149,0.00264,1,0.0039,0.932,0.0636,0.0053,1,1,1
"5_310",2e-05,0.003,0.00648,0.0016,1,0.0026,0.93468,0.06222,0.00544,1,1,1
"5_275",2e-05,0.04238,0.07094,0.02194,1,0.03556,0.8554,0.10828,0.0056,1,1,1
"5_198",2e-05,0.00088,0.0015,0.00048,1,0.00068,0.9319,0.06668,0.00586,1,1,1
"5_326",2e-05,0.00762,0.02272,0.00382,1,0.00624,0.9236,0.06968,0.00556,1,1,1
"5_384",2e-05,0.025,0.04942,0.01446,1,0.02002,0.91112,0.06838,0.0051,1,1,1
"5_412",2e-05,0.00984,0.02022,0.00566,1,0.00828,0.9343,0.05694,0.00558,1,1,1
"5_390",2e-05,0.01468,0.03798,0.00692,1,0.01192,0.93754,0.05004,0.00538,1,1,1
"5_45",2e-05,0.01054,0.03958,0.00454,1,0.00928,0.9148,0.07544,0.0057,1,1,1
"5_398",2e-05,0.0328,0.08658,0.01822,1,0.02606,0.90358,0.06974,0.00528,1,1,1
"5_163",2e-05,0.0195,0.05012,0.00934,1,0.0165,0.8947,0.08798,0.0055,1,1,1
"5_185",4e-05,0.01138,0.05822,0.0051,1,0.00962,0.91418,0.07564,0.00554,1,1,1
"5_342",2e-05,0.0022,0.03064,0.00104,1,0.00178,0.95328,0.04448,0.00568,1,1,1
"5_409",2e-05,0.00392,0.00788,0.00262,1,0.0032,0.9557,0.0408,0.00644,1,1,1
