"id","weight","X1","X2","X3","X4","X5","X6","X7","X8","smear","tb_any","symptom"
"1_65",0.00032,1,0.0805,0.148,0.08574,0.89754,0.086,0.01472,0.0054,0.0958,1,0.20516
"1_94",0.00072,1,0.08428,0.15358,0.10854,0.86216,0.12526,0.01046,0.0053,0.10996,1,0.22484
"1_156",4e-05,1,0.08376,0.16288,0.10032,0.86726,0.12366,0.00844,0.0063,0.103,1,0.23198
"1_113",3e-04,1,0.07194,0.11948,0.079,0.89812,0.0917,0.00936,0.0054,0.08116,1,0.17874
"1_28",0.00102,1,0.06778,0.13834,0.08976,0.8869,0.10142,0.00946,0.00594,0.094,1,0.19128
"1_21",0.00112,1,0.0717,0.17308,0.08718,0.89974,0.0883,0.01098,0.00578,0.09012,1,0.22658
"1_39",0.00302,1,0.06464,0.11588,0.07738,0.8961,0.08962,0.01146,0.00602,0.08022,1,0.16766
"1_193",0.00034,1,0.09438,0.13142,0.10214,0.87536,0.11372,0.01036,0.00568,0.1118,1,0.20492
"1_25",2e-04,1,0.06348,0.11696,0.07712,0.9071,0.0799,0.01096,0.00548,0.07784,1,0.16818
"1_133",2e-05,1,0.08716,0.16756,0.11614,0.86152,0.12738,0.01032,0.0068,0.11646,1,0.24062
"1_105",2e-05,1,0.0961,0.17586,0.10754,0.8671,0.12014,0.01196,0.00556,0.11846,1,0.24554
"1_112",0.00052,1,0.07188,0.13578,0.09268,0.87972,0.11148,0.00814,0.00562,0.09656,1,0.19414
"1_117",4e-05,1,0.08094,0.17234,0.09076,0.87288,0.11384,0.01228,0.00586,0.0948,1,0.23188
"1_159",1e-04,1,0.11304,0.26476,0.14262,0.8208,0.16696,0.01104,0.00552,0.14492,1,0.34764
"1_64",2e-05,1,0.06868,0.1302,0.0841,0.89598,0.09492,0.0082,0.00534,0.08934,1,0.18286
"1_92",2e-05,1,0.08832,0.1603,0.1056,0.87544,0.11288,0.01066,0.00586,0.11162,1,0.22884
"1_195",4e-05,1,0.09626,0.1345,0.1144,0.86002,0.13102,0.00844,0.00536,0.12,1,0.21512
"1_107",4e-05,1,0.08696,0.1387,0.09862,0.8736,0.11332,0.01176,0.0052,0.10544,1,0.20686
"1_47",2e-05,1,0.06732,0.14016,0.07922,0.89678,0.09358,0.009,0.0053,0.08288,1,0.19464
"1_115",2e-05,1,0.09652,0.19444,0.11508,0.84962,0.138,0.01092,0.0059,0.11568,1,0.26958
"1_8",2e-05,1,0.07358,0.19772,0.09752,0.871,0.11308,0.0121,0.00584,0.09804,1,0.24884
"1_145",2e-05,1,0.08478,0.16936,0.10634,0.86778,0.1206,0.01038,0.00576,0.1086,1,0.23394
"1_181",6e-05,1,0.11776,0.18914,0.1393,0.8322,0.15618,0.0107,0.00552,0.14082,1,0.28536
"1_144",6e-05,1,0.09472,0.16788,0.11404,0.86186,0.1263,0.01056,0.00586,0.11436,1,0.24616
"1_72",2e-05,1,0.08906,0.13554,0.103,0.8768,0.109,0.01264,0.00588,0.10808,1,0.20796
"1_165",2e-05,1,0.11074,0.18882,0.1327,0.83362,0.15512,0.00998,0.00584,0.13644,1,0.27926
"1_103",4e-05,1,0.09374,0.16706,0.10858,0.8661,0.12094,0.012,0.00556,0.11442,1,0.24214
"1_85",2e-05,1,0.09488,0.13848,0.10134,0.8861,0.1009,0.01158,0.00588,0.10994,1,0.21026
"5_78",4e-05,1,0.07496,0.17334,0.0809,0.91066,0.05804,0.02666,0.00522,0.08232,1,0.2194
"5_196",6e-05,1,0.06794,0.18196,0.07324,0.8926,0.08322,0.02138,0.0057,0.07498,1,0.22786
"5_269",2e-05,1,0.0927,0.17344,0.09958,0.89408,0.07516,0.02642,0.00542,0.10156,1,0.23002
"5_217",2e-05,1,0.0885,0.2224,0.0966,0.88202,0.0862,0.02786,0.00612,0.09956,1,0.2748
"5_444",4e-05,1,0.14118,0.26602,0.15664,0.8202,0.15606,0.02222,0.00584,0.16456,1,0.35676
"5_205",1e-04,1,0.07956,0.16664,0.08666,0.8793,0.09446,0.02186,0.00616,0.0889,1,0.22308
"5_139",2e-05,1,0.08812,0.22244,0.09876,0.84774,0.12744,0.02144,0.00544,0.09934,1,0.27818
"5_158",2e-05,1,0.09114,0.2267,0.09738,0.87954,0.0921,0.02636,0.00562,0.09994,1,0.27912
"5_164",1e-04,1,0.07228,0.23068,0.08414,0.88514,0.09494,0.0179,0.00558,0.08546,1,0.2721
"5_433",8e-05,1,0.1686,0.346,0.17842,0.78806,0.1635,0.04204,0.00532,0.17954,1,0.4402
"5_69",2e-05,1,0.09228,0.30202,0.10246,0.85608,0.1116,0.02912,0.006,0.10382,1,0.34928
"5_55",4e-05,1,0.06432,0.21958,0.07044,0.9032,0.07016,0.02422,0.00556,0.07204,1,0.25272
"5_206",6e-05,1,0.07942,0.199,0.0889,0.88844,0.08548,0.02458,0.00596,0.09274,1,0.24726
"5_435",2e-05,1,0.1037,0.17992,0.10944,0.87608,0.0941,0.02838,0.0053,0.11488,1,0.24394
"5_262",0.00022,1,0.13572,0.3504,0.14276,0.8395,0.11832,0.0371,0.00566,0.14538,1,0.4178
"5_460",6e-05,1,0.09878,0.22786,0.10754,0.85858,0.1151,0.02412,0.00568,0.11044,1,0.28728
"5_456",6e-05,1,0.0995,0.15966,0.10266,0.87456,0.09242,0.03106,0.00584,0.10656,1,0.22762
"5_309",0.00012,1,0.093,0.2255,0.09806,0.86894,0.09506,0.03248,0.00556,0.09946,1,0.28314
"5_318",2e-05,1,0.0859,0.1687,0.09472,0.8917,0.08046,0.02622,0.00534,0.09696,1,0.22084
"5_2",4e-05,1,0.0446,0.16734,0.05478,0.92134,0.0647,0.011,0.00622,0.0552,1,0.19336
"5_194",2e-05,1,0.087,0.22564,0.091,0.89758,0.06338,0.03448,0.0061,0.09316,1,0.27772
"5_274",2e-05,1,0.08416,0.21124,0.0886,0.89048,0.07978,0.02578,0.00562,0.09052,1,0.26266
"5_30",2e-05,1,0.08276,0.28178,0.09138,0.86284,0.0983,0.03432,0.00548,0.09356,1,0.322
"5_305",4e-05,1,0.0877,0.17776,0.09124,0.88908,0.07692,0.03204,0.00574,0.09574,1,0.2367
"5_72",2e-05,1,0.09478,0.17604,0.09604,0.88932,0.06926,0.03632,0.00524,0.09936,1,0.24224
"5_256",2e-05,1,0.09,0.19596,0.09618,0.87956,0.09428,0.02342,0.0055,0.09734,1,0.25486
"5_242",2e-05,1,0.09582,0.22308,0.10422,0.8758,0.08778,0.03496,0.00564,0.10612,1,0.2735
"5_283",1e-04,1,0.0835,0.19912,0.09012,0.89462,0.07946,0.02338,0.0053,0.0913,1,0.24656
"5_39",2e-05,1,0.0675,0.1659,0.07524,0.8873,0.08986,0.01774,0.00584,0.07648,1,0.21328
"5_175",6e-05,1,0.07976,0.19102,0.08694,0.88242,0.0902,0.02478,0.00554,0.08786,1,0.23822
"5_353",2e-05,1,0.09162,0.19878,0.09608,0.88128,0.08946,0.02558,0.00626,0.0991,1,0.26272
"5_362",2e-05,1,0.0946,0.23428,0.10856,0.86424,0.10568,0.02766,0.006,0.11318,1,0.2916
"5_486",2e-05,1,0.12412,0.2362,0.13134,0.86168,0.10666,0.03076,0.0056,0.1365,1,0.31142
"5_272",2e-05,1,0.10464,0.19276,0.11644,0.85086,0.12896,0.01626,0.00556,0.11668,1,0.2648
"5_482",2e-05,1,0.13416,0.22934,0.13988,0.8455,0.10826,0.04316,0.00542,0.14352,1,0.3127
"5_408",2e-05,1,0.08616,0.18588,0.091,0.87922,0.08812,0.02832,0.00596,0.0921,1,0.2436
"5_275",2e-05,1,0.0929,0.23758,0.10438,0.87392,0.09704,0.02616,0.00538,0.10566,1,0.29222
"5_29",2e-05,1,0.09144,0.19526,0.09976,0.88564,0.07536,0.03202,0.00618,0.1039,1,0.24794
"5_195",4e-05,1,0.09358,0.2527,0.09866,0.87382,0.08118,0.03994,0.00518,0.10414,1,0.30328
"5_207",2e-05,1,0.0746,0.22518,0.08068,0.90226,0.07786,0.01716,0.0052,0.08204,1,0.26962
"5_319",2e-05,1,0.10866,0.2671,0.11042,0.87986,0.0705,0.04582,0.00464,0.1142,1,0.32734
"5_159",2e-05,1,0.09868,0.20058,0.10584,0.86972,0.0859,0.0372,0.00578,0.10828,1,0.26036
"5_224",2e-05,1,0.07924,0.1912,0.086,0.89738,0.07906,0.02056,0.0055,0.08672,1,0.24
"5_340",2e-05,1,0.11224,0.28878,0.11762,0.8602,0.1034,0.03344,0.00522,0.12302,1,0.35288
"5_393",2e-05,1,0.0872,0.20168,0.09762,0.87806,0.09268,0.02764,0.00546,0.10218,1,0.25608
"5_86",2e-05,1,0.07964,0.24156,0.0858,0.87384,0.09072,0.02966,0.0052,0.08668,1,0.28926
"5_120",2e-05,1,0.07458,0.20066,0.07846,0.8931,0.07904,0.024,0.00566,0.07954,1,0.2495
"5_418",2e-05,1,0.08062,0.14394,0.08312,0.8944,0.07822,0.02554,0.00532,0.0865,1,0.19946
"5_327",8e-05,1,0.0716,0.20184,0.0839,0.87498,0.10986,0.01344,0.00574,0.08574,1,0.25502
"5_131",4e-05,1,0.07034,0.17512,0.07444,0.91034,0.06398,0.02188,0.0053,0.07518,1,0.22284
"5_8",2e-05,1,0.06054,0.2054,0.06768,0.9209,0.05276,0.02262,0.00602,0.06838,1,0.2385
"5_119",6e-05,1,0.086,0.2136,0.0956,0.88656,0.08192,0.02664,0.00582,0.09808,1,0.25942
"5_16",2e-05,1,0.0504,0.15414,0.0609,0.92386,0.05214,0.01804,0.0059,0.06232,1,0.18476
"5_245",2e-05,1,0.08816,0.22668,0.09182,0.88994,0.0702,0.0354,0.0057,0.09346,1,0.28154
"5_466",2e-05,1,0.12468,0.24072,0.13514,0.8514,0.11558,0.03054,0.00586,0.1391,1,0.32016
"5_108",2e-05,1,0.07064,0.18886,0.07936,0.89862,0.08404,0.01612,0.00546,0.0796,1,0.22842
"5_168",2e-05,1,0.08298,0.18844,0.09132,0.889,0.08262,0.02454,0.00572,0.09288,1,0.23756
"5_254",2e-05,1,0.07856,0.19512,0.0813,0.88784,0.08244,0.02514,0.00558,0.08474,1,0.24696
"5_382",2e-05,1,0.10208,0.21718,0.10976,0.87342,0.09742,0.02756,0.0055,0.11326,1,0.27772
"5_351",2e-05,1,0.10194,0.23948,0.11356,0.86328,0.10952,0.02546,0.00582,0.11668,1,0.3048
"5_227",2e-05,1,0.0825,0.21968,0.09472,0.88528,0.09336,0.02012,0.00542,0.09544,1,0.26482
"5_172",4e-05,1,0.07386,0.20928,0.08122,0.90116,0.06432,0.03018,0.00626,0.08306,1,0.24906
"5_53",2e-05,1,0.0576,0.16626,0.0615,0.91658,0.05788,0.02114,0.00612,0.06216,1,0.20414
"5_68",2e-05,1,0.08746,0.28384,0.09554,0.8653,0.09626,0.03244,0.0055,0.09638,1,0.33068
"5_109",4e-05,1,0.07804,0.24464,0.0854,0.89852,0.06862,0.03066,0.00588,0.08778,1,0.28078
"5_52",2e-05,1,0.0699,0.23876,0.07408,0.9023,0.06716,0.02666,0.00552,0.0755,1,0.27786
"5_321",2e-05,1,0.08568,0.16406,0.0941,0.87852,0.1038,0.01552,0.00568,0.09434,1,0.22356
"5_147",1e-04,1,0.06706,0.19766,0.07316,0.90782,0.06884,0.02032,0.00572,0.07534,1,0.23836
"5_308",2e-05,1,0.07544,0.14922,0.08072,0.9064,0.06344,0.02656,0.00588,0.08652,1,0.19502
"5_356",1e-04,1,0.08462,0.23008,0.09392,0.88846,0.0875,0.02238,0.00576,0.09702,1,0.28292
"5_63",4e-05,1,0.13424,0.37808,0.14538,0.81106,0.14048,0.04382,0.00632,0.14706,1,0.43684
"5_417",6e-05,1,0.13448,0.2926,0.13908,0.83658,0.10746,0.05214,0.0054,0.14416,1,0.36938
"5_402",1e-04,1,0.0976,0.2342,0.09998,0.87672,0.0809,0.03974,0.00514,0.10364,1,0.29316
"5_112",2e-05,1,0.07086,0.22984,0.07906,0.9155,0.05636,0.0247,0.00538,0.08124,1,0.2646
"5_266",4e-05,1,0.08,0.20078,0.0847,0.8906,0.08438,0.02264,0.00644,0.08782,1,0.25212
"5_303",2e-05,1,0.09896,0.20582,0.10414,0.8832,0.07882,0.0336,0.0055,0.10718,1,0.26328
"5_407",2e-05,1,0.08278,0.16934,0.08642,0.88718,0.08738,0.02294,0.0057,0.08852,1,0.22552
"5_453",2e-05,1,0.1335,0.25706,0.14006,0.83578,0.12436,0.03616,0.00566,0.14316,1,0.34492
"5_422",6e-05,1,0.08546,0.1964,0.08962,0.89054,0.07788,0.0304,0.00552,0.09308,1,0.2515
"5_461",4e-05,1,0.1081,0.23896,0.1151,0.86392,0.0931,0.0391,0.00528,0.11854,1,0.30788
"5_483",2e-05,1,0.1263,0.20988,0.1292,0.84756,0.12398,0.0274,0.00612,0.14062,1,0.29352
"5_322",4e-05,1,0.08262,0.23042,0.09348,0.88914,0.08596,0.0228,0.00532,0.09488,1,0.2762
"5_445",4e-05,1,0.14136,0.30274,0.14718,0.83836,0.12272,0.036,0.00492,0.15232,1,0.37878
"5_35",8e-05,1,0.06686,0.23536,0.07796,0.89706,0.06992,0.02892,0.00616,0.08016,1,0.26962
