"id","weight","X1","X2","X3","X4","X5","X6","X7","X8","smear","tb_any","symptom"
"1_425",2e-05,0.8694,0.09028,1,0.15884,0.73332,0.2352,0.03106,0.00404,0.19012,1,1
"1_216",2e-04,0.8112,0.11342,1,0.1872,0.6895,0.24604,0.06252,0.00404,0.18926,1,1
"1_271",2e-05,0.75792,0.10382,1,0.18886,0.66568,0.27404,0.057,0.00402,0.19384,1,1
"1_150",0.00522,0.67362,0.048,1,0.15714,0.61844,0.33004,0.04924,0.00408,0.16414,1,1
"1_119",2e-05,0.82492,0.11574,1,0.18476,0.6576,0.2799,0.05644,0.0042,0.19142,1,1
"1_134",0.00016,0.85324,0.11796,1,0.18662,0.668,0.28688,0.04112,0.0045,0.19124,1,1
"1_278",2e-05,0.78658,0.05742,1,0.1646,0.6865,0.26148,0.051,0.00446,0.1704,1,1
"1_81",0.00086,0.76486,0.0664,1,0.19746,0.68242,0.26364,0.05264,0.0047,0.20252,1,1
"1_378",2e-05,0.78884,0.11912,1,0.18386,0.6519,0.29272,0.04932,0.00408,0.18654,1,1
"1_214",8e-05,0.70608,0.0569,1,0.17956,0.6375,0.31174,0.04938,0.00452,0.18586,1,1
"1_382",2e-05,0.82498,0.1232,1,0.20102,0.69016,0.24244,0.06286,0.00444,0.2052,1,1
"1_311",2e-05,0.82934,0.11032,1,0.19042,0.71906,0.22466,0.05374,0.00476,0.19466,1,1
"1_314",8e-05,0.79324,0.11072,1,0.19142,0.69342,0.25882,0.04614,0.00402,0.19322,1,1
"1_118",0.00106,0.83694,0.09568,1,0.14706,0.72442,0.20294,0.07064,0.0044,0.14874,1,1
"1_302",2e-05,0.8534,0.08686,1,0.16024,0.74154,0.21372,0.04406,0.00532,0.17126,1,1
"1_351",4e-05,0.8299,0.18496,1,0.25406,0.58602,0.35502,0.0546,0.00456,0.26806,1,1
"1_107",2e-05,0.74392,0.07696,1,0.16488,0.64122,0.3087,0.04814,0.00498,0.16976,1,1
"1_348",4e-05,0.85412,0.08964,1,0.15188,0.75914,0.19138,0.04814,0.0044,0.15492,1,1
"1_403",2e-05,0.7683,0.08032,1,0.17066,0.68266,0.27384,0.04248,0.00456,0.1722,1,1
"1_245",6e-05,0.73972,0.07538,1,0.1669,0.66238,0.29236,0.04346,0.00448,0.16844,1,1
"1_47",6e-05,0.81348,0.0886,1,0.16126,0.72354,0.21566,0.05776,0.0043,0.1643,1,1
"1_130",2e-05,0.71162,0.06982,1,0.1689,0.6325,0.31968,0.04478,0.00464,0.1745,1,1
"1_184",2e-05,0.79082,0.09512,1,0.18702,0.71478,0.21454,0.06656,0.00392,0.18918,1,1
"1_266",2e-05,0.82334,0.10462,1,0.18576,0.71708,0.23298,0.0484,0.0047,0.19098,1,1
"1_395",2e-05,0.76252,0.08694,1,0.17556,0.6738,0.26728,0.05654,0.00444,0.18058,1,1
"1_357",2e-05,0.79724,0.09286,1,0.18076,0.67346,0.28088,0.04408,0.00504,0.18524,1,1
"1_274",2e-05,0.7828,0.07196,1,0.14558,0.69866,0.24572,0.05396,0.00428,0.15246,1,1
"1_63",2e-05,0.75448,0.07384,1,0.1568,0.67856,0.28038,0.03922,0.00454,0.1591,1,1
"1_436",2e-05,0.77596,0.08452,1,0.21354,0.68428,0.25828,0.05654,0.00464,0.2201,1,1
"1_3",2e-05,0.75694,0.08182,1,0.13774,0.63748,0.2905,0.06856,0.00426,0.13912,1,1
"1_412",2e-05,0.82114,0.09234,1,0.16478,0.71332,0.24634,0.03916,0.00422,0.16684,1,1
"1_37",2e-05,0.80628,0.05694,1,0.13078,0.72914,0.22906,0.04062,0.00484,0.13394,1,1
"1_31",2e-05,0.82322,0.10974,1,0.17102,0.68966,0.27374,0.03452,0.00454,0.17114,1,1
"1_295",2e-05,0.78128,0.0678,1,0.14012,0.68908,0.25684,0.0526,0.0045,0.14574,1,1
"1_229",2e-05,0.80334,0.10554,1,0.17744,0.68756,0.25484,0.05524,0.00434,0.18046,1,1
"1_189",4e-05,0.73584,0.06986,1,0.17526,0.66912,0.27812,0.0499,0.00456,0.17824,1,1
"1_364",2e-05,0.72644,0.09692,1,0.20776,0.61496,0.29388,0.08504,0.00418,0.2131,1,1
"1_208",2e-05,0.7046,0.08274,1,0.20096,0.60438,0.35302,0.03958,0.0049,0.20592,1,1
"1_104",4e-05,0.7323,0.07624,1,0.17288,0.63654,0.30754,0.05198,0.00392,0.17594,1,1
"1_359",2e-05,0.80094,0.06852,1,0.15734,0.7139,0.24558,0.04004,0.00416,0.1658,1,1
"1_177",2e-05,0.8039,0.1058,1,0.17368,0.66356,0.27228,0.06214,0.00434,0.17628,1,1
"1_10",2e-05,0.79836,0.09682,1,0.15116,0.65528,0.29424,0.04858,0.00448,0.15184,1,1
"1_84",4e-05,0.78318,0.09034,1,0.19028,0.71224,0.2339,0.05018,0.00442,0.19278,1,1
"1_24",2e-05,0.77622,0.10202,1,0.19098,0.6512,0.29946,0.04774,0.00414,0.19324,1,1
"1_52",2e-05,0.83152,0.07794,1,0.12612,0.7593,0.18168,0.05728,0.00494,0.12782,1,1
"1_139",2e-05,0.72684,0.08792,1,0.18836,0.61668,0.33868,0.04122,0.00444,0.19076,1,1
"1_95",2e-05,0.80216,0.11312,1,0.19082,0.63446,0.3047,0.05746,0.00434,0.19442,1,1
"1_198",4e-05,0.77016,0.127,1,0.24332,0.63508,0.31262,0.0504,0.00402,0.24808,1,1
"1_55",2e-05,0.83658,0.1302,1,0.20234,0.6966,0.24458,0.0562,0.00428,0.20666,1,1
"1_426",4e-05,0.75068,0.0523,1,0.19496,0.68178,0.27282,0.04454,0.00466,0.20464,1,1
"1_114",2e-05,0.71016,0.0668,1,0.19156,0.64602,0.29868,0.0537,0.00442,0.19416,1,1
"1_371",2e-05,0.8161,0.12272,1,0.19056,0.67716,0.28262,0.03772,0.0043,0.19326,1,1
"5_19",2e-05,0.84648,0.12522,1,0.16946,0.73384,0.22252,0.04192,0.00388,0.17,1,1
"5_254",2e-05,0.75402,0.14632,1,0.22782,0.62898,0.32834,0.03918,0.00448,0.22864,1,1
"5_175",2e-05,0.7986,0.11656,1,0.19688,0.71006,0.2398,0.0481,0.0043,0.19906,1,1
"5_378",2e-05,0.81842,0.12898,1,0.18632,0.71074,0.23372,0.05316,0.00426,0.18736,1,1
"5_176",2e-05,0.80578,0.12624,1,0.20924,0.68508,0.26506,0.04718,0.00458,0.21226,1,1
"5_553",2e-05,0.83052,0.12946,1,0.21684,0.6849,0.267,0.04636,0.0045,0.22372,1,1
"5_514",2e-05,0.81204,0.07658,1,0.14712,0.7385,0.22332,0.03702,0.0043,0.1489,1,1
"5_146",2e-05,0.72982,0.10244,1,0.17604,0.6336,0.31624,0.0441,0.00438,0.17702,1,1
"5_333",2e-05,0.8022,0.11766,1,0.1844,0.72846,0.22914,0.03832,0.00442,0.1849,1,1
"5_142",2e-05,0.79674,0.1209,1,0.16932,0.67748,0.264,0.05646,0.00436,0.17002,1,1
"5_487",2e-05,0.86382,0.12386,1,0.17,0.7305,0.18988,0.07624,0.0044,0.17654,1,1
"5_481",2e-05,0.75588,0.12318,1,0.20684,0.66982,0.29386,0.03404,0.00456,0.20766,1,1
"5_234",2e-05,0.82472,0.10226,1,0.16572,0.7154,0.24498,0.03856,0.00514,0.16692,1,1
"5_327",2e-05,0.81982,0.11956,1,0.17404,0.70268,0.23688,0.05168,0.00444,0.17856,1,1
"5_448",2e-05,0.75496,0.1261,1,0.21248,0.6372,0.30898,0.05174,0.0039,0.21548,1,1
"5_491",2e-05,0.7871,0.10214,1,0.1978,0.68966,0.2488,0.05954,0.0042,0.2056,1,1
"5_598",2e-05,0.77388,0.12142,1,0.25104,0.64562,0.31524,0.0376,0.00406,0.25814,1,1
