"id","weight","X1","X2","X3","X4","X5","X6","X7","X8","smear","tb_any","symptom"
"1_207",4e-05,0.69862,0.12986,1,0.22428,0.4873,0.48508,0.0233,0.00532,0.2262,1,1
"1_69",6e-05,0.73504,0.16418,1,0.24422,0.45902,0.49686,0.03446,0.00558,0.26354,1,1
"1_66",2e-05,0.68012,0.08286,1,0.19418,0.57254,0.39344,0.027,0.00584,0.20276,1,1
"1_45",0.00014,0.66826,0.09204,1,0.19226,0.56352,0.38864,0.03996,0.00568,0.21058,1,1
"1_260",6e-05,0.63394,0.0636,1,0.17128,0.57718,0.38814,0.03336,0.00532,0.18902,1,1
"1_348",2e-05,0.69694,0.11228,1,0.20834,0.58926,0.37386,0.03316,0.00568,0.25194,1,1
"1_2",0.00074,0.80876,0.1168,1,0.18136,0.64368,0.30804,0.0301,0.00562,0.1861,1,1
"1_459",6e-05,0.65074,0.07484,1,0.18304,0.55706,0.42174,0.02024,0.0058,0.19606,1,1
"1_9",8e-05,0.65492,0.0656,1,0.1575,0.54506,0.42016,0.02714,0.00586,0.16164,1,1
"1_541",1e-04,0.64032,0.08888,1,0.19938,0.52142,0.45038,0.02742,0.0054,0.22284,1,1
"1_406",0.00018,0.69268,0.0653,1,0.18786,0.61754,0.35234,0.02904,0.00542,0.21188,1,1
"1_438",4e-05,0.67446,0.0949,1,0.2136,0.55256,0.41998,0.0258,0.00564,0.2256,1,1
"1_137",2e-05,0.72068,0.07336,1,0.16072,0.61892,0.3553,0.02328,0.00578,0.1769,1,1
"1_107",2e-05,0.63008,0.09318,1,0.2227,0.4989,0.46728,0.02878,0.0061,0.23798,1,1
"1_108",0.00018,0.65954,0.09216,1,0.19404,0.52276,0.45456,0.02024,0.0057,0.19706,1,1
"1_101",2e-05,0.75242,0.14558,1,0.20722,0.57418,0.36744,0.04868,0.0056,0.22692,1,1
"1_184",0.00024,0.72796,0.12796,1,0.20176,0.563,0.39604,0.03688,0.00548,0.23962,1,1
"1_457",4e-05,0.68862,0.11788,1,0.21678,0.5363,0.43466,0.02726,0.00582,0.24304,1,1
"1_357",2e-05,0.6821,0.08956,1,0.16124,0.59358,0.36662,0.03816,0.00502,0.19498,1,1
"1_218",0.00012,0.64102,0.06956,1,0.18158,0.55776,0.4164,0.02454,0.00582,0.18712,1,1
"1_21",0.00012,0.74242,0.1033,1,0.19194,0.5889,0.36906,0.03084,0.00582,0.20144,1,1
"1_221",4e-05,0.69528,0.0812,1,0.15288,0.60598,0.35192,0.03992,0.00542,0.18196,1,1
"1_487",2e-05,0.78142,0.13598,1,0.24356,0.6022,0.37466,0.02178,0.0059,0.25174,1,1
"1_158",4e-05,0.67154,0.05742,1,0.16486,0.59174,0.384,0.02248,0.00576,0.17094,1,1
"1_31",4e-05,0.64322,0.09912,1,0.23232,0.51832,0.42436,0.0451,0.00576,0.2423,1,1
"1_148",2e-05,0.73952,0.09436,1,0.19004,0.63274,0.34108,0.02462,0.00594,0.19372,1,1
"1_534",8e-05,0.69196,0.08778,1,0.1793,0.59776,0.36996,0.03114,0.00552,0.20992,1,1
"1_256",6e-05,0.73088,0.06674,1,0.15128,0.62504,0.35946,0.0147,0.0061,0.15178,1,1
"1_456",2e-05,0.7154,0.09494,1,0.18144,0.61118,0.36084,0.02634,0.00564,0.20836,1,1
"1_448",2e-05,0.7402,0.14026,1,0.24014,0.53978,0.43306,0.025,0.00542,0.24916,1,1
"1_285",8e-05,0.70318,0.05586,1,0.15848,0.6308,0.34172,0.02618,0.00568,0.17518,1,1
"1_87",6e-05,0.69508,0.06412,1,0.19358,0.59294,0.38042,0.0245,0.00548,0.20238,1,1
"1_216",4e-05,0.71544,0.07742,1,0.1646,0.58978,0.3816,0.02554,0.00568,0.17006,1,1
"1_60",4e-05,0.68132,0.05818,1,0.14618,0.60068,0.37626,0.02198,0.00524,0.15712,1,1
"1_476",6e-05,0.59088,0.0584,1,0.21402,0.51514,0.46318,0.0211,0.00518,0.22962,1,1
"1_265",2e-05,0.6818,0.08676,1,0.21644,0.58016,0.39796,0.02064,0.00616,0.2406,1,1
