country,param,mean,lb,ub,q5,q10,q90,q95
Bangladesh,a_pb,1.541662681,1.011053014,2.802154084,1.028960731,1.063915874,2.195814576,2.53078098
Cambodia,a_pb,1.839395844,1.038574759,3.930631533,1.064219018,1.115231337,2.845972488,3.450855538
Nepal,a_pb,2.429735957,1.054692123,5.401844009,1.105370151,1.212402142,4.069458652,4.701067258
Philippines,a_pb,1.422817644,1.016222865,2.279451209,1.0263721,1.056916158,1.88238123,2.081829295
Vietnam,a_pb,2.637294057,1.055518534,6.290769987,1.114984635,1.238114353,4.734639363,5.333136645
Prior,a_pb,4.573318093,1.143641528,9.566506524,1.289403084,1.585846911,8.38049102,9.146137862
Bangladesh,a_ps,1.954118515,1.098393684,3.223661314,1.146037188,1.273535937,2.694341197,2.937236722
Cambodia,a_ps,1.769074286,1.041194957,3.029830138,1.083764871,1.15430395,2.506564386,2.776410847
Nepal,a_ps,1.84187063,1.057001438,3.159219017,1.106875242,1.192317648,2.630666043,2.93809378
Philippines,a_ps,1.31967739,1.016111172,1.976384177,1.029968322,1.052283667,1.67165839,1.80894381
Vietnam,a_ps,1.835076851,1.050877943,3.179780082,1.095573303,1.183200991,2.614812036,2.90542824
Prior,a_ps,4.850941757,1.177681573,9.618253271,1.356002944,1.712576467,8.558072484,9.244859538
Bangladesh,a_rb,0.433878679,0.027113116,0.94147604,0.048047424,0.092934498,0.823381451,0.897714432
Cambodia,a_rb,0.400654653,0.029280566,0.91933192,0.052871893,0.0811683,0.783540289,0.890069461
Nepal,a_rb,0.456417673,0.0165398,0.953906298,0.032272097,0.084175576,0.855060019,0.917147445
Philippines,a_rb,0.358473293,0.01969503,0.920232134,0.0392097,0.068106986,0.74280828,0.845643774
Vietnam,a_rb,0.429102467,0.025366315,0.934558268,0.046390365,0.090289039,0.798647287,0.886132052
Prior,a_rb,0.486596457,0.022299556,0.972475909,0.045662394,0.092774392,0.892372719,0.945575996
Bangladesh,a_rs,0.700022962,0.301646679,0.982565318,0.356770519,0.432460557,0.941487688,0.967399578
Cambodia,a_rs,0.485415157,0.095516737,0.932140746,0.130109702,0.188178643,0.824296053,0.883593235
Nepal,a_rs,0.741689059,0.344548302,0.987975906,0.414045246,0.48937869,0.950911747,0.975610536
Philippines,a_rs,0.085685309,0.003709034,0.288287633,0.006514291,0.012455236,0.171349718,0.222255993
Vietnam,a_rs,0.679730031,0.245385354,0.981838222,0.312773612,0.392694201,0.92801125,0.962376755
Prior,a_rs,0.468365131,0.021277491,0.969031921,0.042810003,0.085307793,0.879909727,0.938894546
