"id","weight","X1","X2","X3","X4","X5","X6","X7","X8","smear","tb_any","symptom"
"1_425",2e-05,0.40294,1,0.17506,0.64648,0.34036,0.59728,0.0617,0.00376,1,1,0.78916
"1_216",2e-04,0.07624,1,0.03648,0.96388,0.06426,0.81286,0.11636,0.00452,1,1,0.97474
"1_271",2e-05,0.21532,1,0.1013,0.896,0.18896,0.61062,0.19022,0.00372,1,1,0.91908
"1_150",0.00522,0.3219,1,0.08228,0.74636,0.2929,0.5527,0.14418,0.0038,1,1,0.78148
"1_119",2e-05,0.1531,1,0.0827,0.9182,0.1209,0.7032,0.162,0.00394,1,1,0.95202
"1_134",0.00016,0.08614,1,0.04888,0.95122,0.06654,0.8012,0.1238,0.00412,1,1,0.97372
"1_278",2e-05,0.17146,1,0.05838,0.86166,0.14966,0.74194,0.10532,0.0042,1,1,0.89838
"1_81",0.00086,0.17088,1,0.0566,0.8785,0.15228,0.73284,0.11262,0.00392,1,1,0.90232
"1_378",2e-05,0.1059,1,0.05458,0.9558,0.08614,0.70558,0.18374,0.00408,1,1,0.97022
"1_214",8e-05,0.21914,1,0.062,0.83764,0.19654,0.6868,0.11182,0.00428,1,1,0.86308
"1_382",2e-05,0.11354,1,0.05518,0.94456,0.09382,0.718,0.17332,0.0036,1,1,0.96152
"1_311",2e-05,0.14038,1,0.06842,0.93522,0.1213,0.69906,0.1728,0.0044,1,1,0.95334
"1_314",8e-05,0.09488,1,0.05018,0.96332,0.08318,0.76276,0.1481,0.0042,1,1,0.97262
"1_118",0.00106,0.085,1,0.04288,0.96344,0.0732,0.77036,0.1482,0.0041,1,1,0.97552
"1_302",2e-05,0.2473,1,0.10528,0.83124,0.21522,0.653,0.13046,0.00378,1,1,0.88556
"1_351",4e-05,0.21308,1,0.13056,0.89932,0.14928,0.72384,0.12196,0.00406,1,1,0.94908
"1_107",2e-05,0.13716,1,0.04896,0.90652,0.11736,0.76952,0.10452,0.0042,1,1,0.9283
"1_348",4e-05,0.11884,1,0.05494,0.9423,0.10552,0.73918,0.15132,0.00418,1,1,0.95866
"1_403",2e-05,0.09142,1,0.03752,0.95082,0.08086,0.78916,0.12652,0.00382,1,1,0.96112
"1_245",6e-05,0.08484,1,0.03192,0.95238,0.07642,0.78924,0.1273,0.00434,1,1,0.96086
"1_47",6e-05,0.12676,1,0.05216,0.93552,0.11196,0.69994,0.1742,0.0041,1,1,0.94962
"1_130",2e-05,0.19082,1,0.05394,0.86346,0.16898,0.67056,0.14514,0.00396,1,1,0.88566
"1_184",2e-05,0.10826,1,0.04524,0.94658,0.097,0.741,0.14472,0.00402,1,1,0.9562
"1_266",2e-05,0.1942,1,0.09294,0.90422,0.16846,0.66798,0.1601,0.00392,1,1,0.93086
"1_395",2e-05,0.16436,1,0.05936,0.90102,0.14514,0.6764,0.16776,0.00444,1,1,0.92094
"1_357",2e-05,0.11936,1,0.04654,0.923,0.10156,0.80152,0.09286,0.00402,1,1,0.94442
"1_274",2e-05,0.25814,1,0.09272,0.83286,0.22818,0.58518,0.18022,0.00382,1,1,0.87054
"1_63",2e-05,0.10746,1,0.03996,0.9383,0.09624,0.7663,0.12944,0.00392,1,1,0.94962
"1_436",2e-05,0.16674,1,0.05434,0.88564,0.14702,0.74036,0.11044,0.00422,1,1,0.90688
"1_3",2e-05,0.11816,1,0.0673,0.95174,0.09946,0.7094,0.17808,0.0045,1,1,0.96766
"1_412",2e-05,0.0714,1,0.02644,0.95748,0.06178,0.82468,0.10932,0.00384,1,1,0.9678
"1_37",2e-05,0.13488,1,0.04598,0.90816,0.1219,0.74734,0.12648,0.00456,1,1,0.92892
"1_31",2e-05,0.0198,1,0.01152,0.99328,0.01582,0.84966,0.12886,0.00332,1,1,0.99562
"1_295",2e-05,0.19444,1,0.07456,0.8758,0.17172,0.64482,0.17676,0.00412,1,1,0.90538
"1_229",2e-05,0.12592,1,0.06778,0.94586,0.10814,0.7076,0.1784,0.00396,1,1,0.9626
"1_189",4e-05,0.1538,1,0.049,0.89932,0.13974,0.70724,0.14154,0.00412,1,1,0.9151
"1_364",2e-05,0.14986,1,0.05368,0.9028,0.12714,0.6968,0.15516,0.0035,1,1,0.9227
"1_208",2e-05,0.14686,1,0.0492,0.89964,0.12642,0.77004,0.09284,0.00424,1,1,0.91986
"1_104",4e-05,0.0933,1,0.03278,0.93866,0.0801,0.77548,0.12472,0.00434,1,1,0.95126
"1_359",2e-05,0.22712,1,0.06654,0.82658,0.2024,0.69754,0.09876,0.00436,1,1,0.8641
"1_177",2e-05,0.1244,1,0.07168,0.94592,0.10206,0.72408,0.16832,0.00408,1,1,0.96542
"1_10",2e-05,0.03528,1,0.021,0.98606,0.0286,0.8258,0.13894,0.004,1,1,0.99134
"1_84",4e-05,0.1387,1,0.05562,0.927,0.12618,0.69886,0.16136,0.00404,1,1,0.93924
"1_24",2e-05,0.09644,1,0.04966,0.95476,0.0805,0.79956,0.11602,0.00362,1,1,0.96822
"1_52",2e-05,0.12784,1,0.05804,0.94694,0.11676,0.69364,0.18002,0.00398,1,1,0.95896
"1_139",2e-05,0.07606,1,0.02966,0.95326,0.06388,0.81216,0.11084,0.00424,1,1,0.9641
"1_95",2e-05,0.10848,1,0.05966,0.94666,0.08676,0.74106,0.16368,0.00416,1,1,0.96702
"1_198",4e-05,0.13904,1,0.06836,0.929,0.11392,0.75476,0.12852,0.00374,1,1,0.94892
"1_55",2e-05,0.14894,1,0.08198,0.93852,0.1237,0.71182,0.15912,0.00406,1,1,0.95928
"1_426",4e-05,0.26062,1,0.0582,0.77838,0.2349,0.67092,0.09216,0.00446,1,1,0.81386
"1_114",2e-05,0.11522,1,0.03302,0.92168,0.1049,0.78026,0.10868,0.00416,1,1,0.9321
"1_371",2e-05,0.08646,1,0.04288,0.96086,0.07132,0.79198,0.12862,0.00406,1,1,0.97318
"5_19",2e-05,0.076,1,0.0503,0.9829,0.06546,0.7478,0.18118,0.00432,1,1,0.98878
"5_254",2e-05,0.0513,1,0.03278,0.98542,0.04262,0.80732,0.13998,0.0038,1,1,0.98946
"5_175",2e-05,0.12532,1,0.0673,0.95428,0.11062,0.69964,0.18438,0.00386,1,1,0.96484
"5_378",2e-05,0.08242,1,0.04794,0.97694,0.0708,0.73172,0.1874,0.0043,1,1,0.983
"5_176",2e-05,0.14398,1,0.08086,0.94556,0.12276,0.70618,0.16544,0.00356,1,1,0.9612
"5_553",2e-05,0.1464,1,0.06884,0.92306,0.1198,0.76706,0.11028,0.00464,1,1,0.9476
"5_514",2e-05,0.09994,1,0.03876,0.95048,0.09036,0.77384,0.1304,0.00378,1,1,0.96
"5_146",2e-05,0.06564,1,0.03434,0.97376,0.0568,0.7221,0.19396,0.00392,1,1,0.97946
"5_333",2e-05,0.04958,1,0.02562,0.98432,0.04482,0.7748,0.15998,0.00418,1,1,0.98768
"5_142",2e-05,0.0913,1,0.06306,0.97918,0.07724,0.7216,0.19434,0.00418,1,1,0.98588
"5_487",2e-05,0.24054,1,0.13866,0.90712,0.20204,0.54436,0.24364,0.00362,1,1,0.94372
