"id","weight","X1","X2","X3","X4","X5","X6","X7","X8","smear","tb_any","symptom"
"1_3",0.00088,1,0.04896,0.24266,0.06712,0.90238,0.07988,0.01656,0.00476,0.06766,1,0.25714
"1_2",0.00012,1,0.04854,0.28034,0.06518,0.9203,0.0508,0.02768,0.00474,0.0665,1,0.29342
"1_200",2e-05,1,0.06468,0.24692,0.08268,0.88564,0.0901,0.0225,0.00424,0.08554,1,0.28298
"1_296",4e-05,1,0.06678,0.28094,0.07886,0.88438,0.08508,0.02998,0.00454,0.08174,1,0.31616
"1_576",2e-05,1,0.0771,0.28978,0.08428,0.8947,0.07598,0.02822,0.00386,0.08506,1,0.32858
"1_330",2e-04,1,0.05784,0.22676,0.06944,0.90476,0.07728,0.01644,0.00478,0.07608,1,0.2593
"1_15",0.00098,1,0.05558,0.30288,0.08006,0.88638,0.08836,0.02448,0.00452,0.08124,1,0.3217
"1_425",6e-05,1,0.0572,0.2238,0.06906,0.89484,0.07764,0.02696,0.00406,0.07014,1,0.2581
"1_125",4e-05,1,0.0547,0.27182,0.06764,0.91228,0.06008,0.0264,0.0046,0.06818,1,0.29504
"1_239",2e-05,1,0.06542,0.27406,0.07936,0.89134,0.08292,0.02402,0.0047,0.08102,1,0.29992
"1_131",6e-05,1,0.0491,0.23546,0.06984,0.91044,0.07088,0.01778,0.00464,0.07206,1,0.26178
"1_577",2e-05,1,0.08578,0.303,0.109,0.87442,0.08504,0.04006,0.00476,0.11786,1,0.34012
"1_599",0.00014,1,0.0692,0.26784,0.0795,0.91126,0.0602,0.02802,0.00486,0.08506,1,0.30074
"1_281",2e-05,1,0.06688,0.29598,0.08196,0.87932,0.09196,0.0283,0.005,0.08372,1,0.32936
"1_228",2e-05,1,0.15576,0.51012,0.17296,0.76284,0.18564,0.0463,0.00438,0.1761,1,0.56826
"1_279",2e-05,1,0.05156,0.26694,0.0644,0.91302,0.05726,0.02926,0.00416,0.06664,1,0.29214
"1_184",2e-05,1,0.05958,0.26556,0.07636,0.90612,0.07672,0.01662,0.00472,0.07856,1,0.28956
"1_229",2e-05,1,0.05766,0.24444,0.07236,0.90608,0.07288,0.02068,0.00432,0.07442,1,0.27256
