"id","weight","X1","X2","X3","X4","X5","X6","X7","X8","smear","tb_any","symptom"
"1_47",4e-05,0.09556,1,0.03278,0.95626,0.08704,0.77186,0.13204,0.0045,1,1,0.96374
"1_223",8e-05,0.12628,1,0.08848,0.9598,0.105,0.72118,0.17084,0.0038,1,1,0.97618
"1_348",0.00016,0.0728,1,0.04054,0.98316,0.0656,0.72322,0.20332,0.0038,1,1,0.98762
"1_685",2e-05,0.25852,1,0.0742,0.8602,0.22904,0.5979,0.16456,0.00432,1,1,0.8839
"1_145",2e-05,0.0413,1,0.02202,0.98826,0.03666,0.79188,0.16552,0.00396,1,1,0.99138
"1_752",6e-05,0.27952,1,0.09938,0.84352,0.25306,0.61586,0.12814,0.00418,1,1,0.87164
"1_745",4e-05,0.3407,1,0.10404,0.80608,0.30386,0.55902,0.13626,0.00386,1,1,0.85346
"1_126",2e-05,0.2595,1,0.10568,0.85476,0.22898,0.62798,0.1368,0.00416,1,1,0.8924
"1_61",2e-05,0.01944,1,0.00814,0.99296,0.0171,0.81462,0.16062,0.00396,1,1,0.9951
"1_625",2e-05,0.06698,1,0.04574,0.98394,0.05366,0.78794,0.1532,0.00462,1,1,0.99004
"1_587",2e-05,0.19248,1,0.10476,0.94366,0.1765,0.65136,0.17012,0.00482,1,1,0.95662
"1_698",2e-05,0.16526,1,0.04782,0.90774,0.14222,0.7347,0.1213,0.00412,1,1,0.93112
"1_684",2e-05,0.14814,1,0.06884,0.92838,0.12702,0.73944,0.13072,0.00424,1,1,0.94844
"1_595",6e-05,0.17214,1,0.11252,0.93962,0.1463,0.68422,0.16846,0.00418,1,1,0.95868
"1_573",2e-05,0.05756,1,0.02704,0.97802,0.04784,0.8259,0.12362,0.00486,1,1,0.98506
"1_116",2e-05,0.01578,1,0.00748,0.99112,0.0141,0.87188,0.10594,0.00422,1,1,0.99286
"1_710",2e-05,0.23,1,0.08686,0.88212,0.20698,0.63258,0.15526,0.00402,1,1,0.90674
"1_432",6e-05,0.10452,1,0.04432,0.97046,0.09536,0.73312,0.16754,0.00376,1,1,0.9771
"1_756",2e-05,0.26574,1,0.08882,0.836,0.242,0.64708,0.11008,0.0044,1,1,0.86814
"1_754",0.00012,0.0912,1,0.0626,0.97432,0.08068,0.807,0.11178,0.00362,1,1,0.97984
"1_16",2e-05,0.16704,1,0.06502,0.92738,0.15284,0.70984,0.1342,0.00406,1,1,0.9431
"1_715",0.00012,0.0049,1,0.001,0.9977,0.00434,0.84004,0.15128,0.00374,1,1,0.99802
"1_520",2e-05,0.28706,1,0.09264,0.85136,0.26222,0.59096,0.14534,0.0037,1,1,0.88286
"1_243",2e-05,0.08452,1,0.04832,0.9674,0.07034,0.74292,0.17196,0.00402,1,1,0.98066
"1_84",4e-05,0.00252,1,0.00126,0.99886,0.00208,0.79854,0.18152,0.0039,1,1,0.9991
"1_430",2e-05,0.16498,1,0.08704,0.9412,0.14568,0.6653,0.1845,0.00364,1,1,0.95568
"1_501",2e-05,0.26524,1,0.12236,0.84774,0.23894,0.60676,0.15188,0.00412,1,1,0.88148
"1_424",2e-05,0.02604,1,0.00748,0.9898,0.0237,0.85078,0.12118,0.00394,1,1,0.99158
"1_326",2e-05,0.19154,1,0.08904,0.90906,0.1755,0.67816,0.14492,0.00386,1,1,0.92824
"1_584",2e-05,0.2257,1,0.06464,0.88548,0.1982,0.63926,0.1608,0.00422,1,1,0.91392
"1_457",2e-05,0.081,1,0.05708,0.97514,0.06716,0.79806,0.13226,0.0042,1,1,0.98482
"1_634",2e-05,0.14096,1,0.05744,0.95586,0.12552,0.67988,0.18896,0.0042,1,1,0.96734
"1_716",2e-05,0.2877,1,0.08472,0.8749,0.26304,0.54422,0.1891,0.0044,1,1,0.90298
"1_643",2e-05,0.23222,1,0.14164,0.91802,0.20712,0.6006,0.1915,0.00352,1,1,0.93854
"1_301",2e-05,0.18616,1,0.06424,0.9141,0.16456,0.66704,0.1617,0.00444,1,1,0.93552
"1_633",2e-05,0.17226,1,0.07704,0.93482,0.15306,0.64738,0.18694,0.00376,1,1,0.94986
"1_88",2e-05,0.0763,1,0.0245,0.97496,0.07008,0.72086,0.1854,0.00412,1,1,0.97978
"1_167",4e-05,0.07548,1,0.03996,0.97404,0.06748,0.79334,0.13438,0.00382,1,1,0.97918
"1_248",2e-05,0.15544,1,0.10288,0.94888,0.13658,0.68604,0.17326,0.00402,1,1,0.96586
"1_83",2e-05,0.10182,1,0.0385,0.96052,0.09122,0.76626,0.1392,0.00402,1,1,0.97034
"1_347",2e-05,0.06948,1,0.04258,0.98442,0.06232,0.7619,0.17076,0.00378,1,1,0.98772
"1_351",2e-05,0.07352,1,0.02932,0.96712,0.06366,0.794,0.1398,0.004,1,1,0.97844
"1_403",2e-05,0.17354,1,0.0533,0.90408,0.15804,0.6742,0.1637,0.00442,1,1,0.92738
"1_382",2e-05,0.15816,1,0.09438,0.95574,0.13582,0.66036,0.19524,0.00372,1,1,0.97132
"4_247",2e-05,0.04936,1,0.02368,0.9812,0.04492,0.7843,0.1659,0.00414,1,1,0.98576
"4_393",6e-05,0.10702,1,0.05456,0.95334,0.09274,0.77284,0.12846,0.00418,1,1,0.96536
"4_145",2e-05,0.1999,1,0.10214,0.89256,0.17918,0.68556,0.1326,0.00424,1,1,0.92446
"4_65",8e-05,0.13256,1,0.06186,0.93848,0.12016,0.7229,0.15034,0.00418,1,1,0.95118
"4_595",2e-05,0.2026,1,0.11344,0.90654,0.1675,0.65352,0.17368,0.00376,1,1,0.93952
"4_520",2e-05,0.1741,1,0.09756,0.9391,0.15138,0.69208,0.15426,0.00404,1,1,0.95992
"4_567",2e-05,0.14154,1,0.0513,0.94996,0.12732,0.69866,0.17206,0.00432,1,1,0.9623
"4_602",2e-05,0.18986,1,0.038,0.8734,0.17324,0.7374,0.0877,0.00416,1,1,0.89234
"4_435",2e-05,0.1523,1,0.06002,0.94648,0.13834,0.6811,0.178,0.0043,1,1,0.9575
"4_484",4e-05,0.05598,1,0.02856,0.98342,0.04796,0.7988,0.14572,0.00458,1,1,0.9878
"4_31",2e-05,0.08296,1,0.04262,0.98228,0.07478,0.74322,0.17258,0.00406,1,1,0.9876
"4_73",8e-05,0.002,1,0.0012,0.99908,0.00182,0.82638,0.15836,0.00412,1,1,0.9992
"4_41",4e-05,0.09978,1,0.03914,0.96488,0.0913,0.74922,0.15494,0.00348,1,1,0.97322
"4_432",2e-05,0.132,1,0.0686,0.95136,0.11768,0.7284,0.15178,0.00386,1,1,0.96196
