"id","weight","X1","X2","X3","X4","X5","X6","X7","X8","smear","tb_any","symptom"
"1_154",2e-05,0.07492,1,0.03486,0.9667,0.0683,0.79912,0.12858,0.0041,1,1,0.97204
"1_719",2e-05,0.1252,1,0.06546,0.94992,0.10606,0.75142,0.1397,0.00384,1,1,0.96386
"1_595",4e-05,0.24416,1,0.11798,0.87394,0.20808,0.61468,0.16798,0.00402,1,1,0.9092
"1_27",2e-05,0.03694,1,0.0193,0.98842,0.0331,0.7809,0.16164,0.0045,1,1,0.9907
"1_652",2e-05,0.1129,1,0.0551,0.94638,0.09872,0.75232,0.14538,0.00388,1,1,0.96184
"1_76",2e-05,0.13412,1,0.05436,0.92418,0.11854,0.73556,0.13702,0.00396,1,1,0.94024
"1_466",2e-05,0.10364,1,0.04156,0.94438,0.0939,0.77098,0.13182,0.00364,1,1,0.95364
"1_196",2e-05,0.05872,1,0.03306,0.98106,0.051,0.79806,0.14584,0.00406,1,1,0.98572
"1_177",2e-05,0.0908,1,0.04028,0.95198,0.08018,0.79678,0.11882,0.00414,1,1,0.95896
"1_296",2e-05,0.09826,1,0.0586,0.95774,0.07792,0.80414,0.11384,0.00424,1,1,0.97648
"1_712",4e-05,0.19398,1,0.09626,0.90326,0.1662,0.68218,0.14882,0.00416,1,1,0.93654
"1_61",0.00016,0.08852,1,0.06092,0.98478,0.08068,0.6973,0.2158,0.00376,1,1,0.98852
"1_722",2e-05,0.16418,1,0.06942,0.92352,0.1467,0.68258,0.1668,0.00402,1,1,0.94132
"1_617",2e-05,0.1279,1,0.04402,0.92566,0.11368,0.73524,0.14478,0.00466,1,1,0.93824
"1_726",2e-05,0.20954,1,0.10896,0.91428,0.17374,0.6435,0.17716,0.00416,1,1,0.94324
"1_732",0.00012,0.1302,1,0.05262,0.93776,0.11806,0.74954,0.13054,0.00404,1,1,0.95074
"1_232",4e-05,0.13388,1,0.06542,0.94506,0.11908,0.72074,0.15576,0.0044,1,1,0.95714
"1_616",2e-05,0.0798,1,0.05012,0.97592,0.06154,0.78334,0.14422,0.0048,1,1,0.9867
"1_158",6e-05,0.16418,1,0.11792,0.95404,0.12318,0.67222,0.19394,0.00424,1,1,0.9793
"1_212",2e-05,0.07368,1,0.04618,0.97702,0.06238,0.75718,0.16156,0.00364,1,1,0.98336
"1_450",2e-05,0.06678,1,0.03344,0.97652,0.06,0.78738,0.1457,0.00416,1,1,0.98174
"1_173",0.00012,0.04396,1,0.03126,0.99362,0.03904,0.77492,0.17196,0.00452,1,1,0.99558
"1_505",4e-05,0.17418,1,0.08556,0.91296,0.14632,0.69312,0.15298,0.00464,1,1,0.93952
"1_342",2e-05,0.08958,1,0.05602,0.97412,0.07818,0.70542,0.20626,0.00396,1,1,0.98208
"1_624",2e-05,0.10952,1,0.05392,0.95598,0.09432,0.76996,0.13032,0.00392,1,1,0.97052
"1_78",2e-05,0.09274,1,0.06152,0.97836,0.07852,0.67938,0.22094,0.00372,1,1,0.98434
"1_44",2e-05,0.03958,1,0.02624,0.98868,0.03146,0.86046,0.10386,0.00386,1,1,0.99352
"1_656",4e-05,0.08424,1,0.03232,0.95824,0.07694,0.8049,0.11596,0.00452,1,1,0.96548
"1_465",2e-05,0.1459,1,0.07946,0.94882,0.12478,0.70268,0.165,0.004,1,1,0.96456
"1_651",4e-05,0.13636,1,0.05856,0.92356,0.1183,0.77232,0.10778,0.0043,1,1,0.9419
"1_80",8e-05,0.1468,1,0.05494,0.89762,0.12352,0.70286,0.15386,0.00358,1,1,0.92454
"1_95",1e-04,0.13534,1,0.0901,0.95926,0.11378,0.73992,0.1444,0.0045,1,1,0.97296
"1_73",2e-05,0.05334,1,0.02108,0.9728,0.04924,0.7896,0.14028,0.00416,1,1,0.97578
"1_311",2e-05,0.13136,1,0.06706,0.94836,0.11488,0.71402,0.16468,0.00386,1,1,0.95936
