"V1","V2","V3","V4","V5","V6","chain","round"
-44.7410666518415,1.26478379051821,0.999718766572604,1.00056266955566,0.000235523152490542,199887.52881031,1,1
-52.0544560744799,8.30562657090526,0.545504230398935,2.66015883220815,0.103060225355512,82701.2045934885,1,2
-50.2145462514534,24.6152305665559,0.287389631467526,6.01926274352575,0.17086082521476,39871.1588017117,1,3
-50.1051515277262,85.074973352007,0.236639884640065,9.37514783514647,0.24144595559912,27732.0026725628,1,4
-49.3470807023282,204.962380827125,0.205937886534328,15.2466898396097,0.333369877982171,18363.7075460077,1,5
-48.5449754295733,215.190704695549,0.451187907131258,4.79645061357377,0.290096242740579,62545.4586538957,1,6
-48.8032525950261,346.481150566064,0.177656247551548,24.2803651114016,0.417020851477823,13178.4146611486,1,7
-48.6423063473216,538.51537281426,0.0450090796463178,187.478538972169,0.538927478142891,1812.54624009529,1,8
-48.5821896271317,540.117989796573,0.0692463481476353,130.013309671977,0.534711901666477,2767.95496737917,1,9
-48.618602000127,583.198044930014,0.0163707919012814,324.754355569324,0.558138789160867,1169.11825286172,1,10
-48.4623391837737,657.387333742504,0.0310707452286151,376.526572363869,0.588831209626981,1061.34467477272,1,11
-48.2510824814965,632.739612410681,0.119141399422468,64.5735160130277,0.566092782051001,6503.22999676677,1,12
-48.1832567181391,635.529641867604,0.131767494004451,53.8987087225773,0.565165270310061,8162.47942850563,1,13
-48.3037327390784,729.233255279882,0.0134906451398018,690.159380945204,0.624690414838564,665.514157746912,1,14
-48.0757359045425,675.005938452556,0.0654591854789923,128.274019496685,0.593165558318645,3740.99702806729,1,15
-48.0926986507617,745.388936284482,0.0420688146801089,362.901136302891,0.629841518021955,1376.78846429093,1,16
-47.6863607805373,4.52211769596078,0.988766105123052,1.02280977272488,0.00623180819492865,195539.759712397,2,1
-48.4157203527723,8.48661743405977,0.967515141290542,1.06798754470867,0.0163623842557987,205994.84806928,2,2
-50.5339822806182,24.8673283897999,0.181620240723754,8.06115509668133,0.188897861459943,29771.5322354091,2,3
-50.7969301829034,151.723649356936,0.12012555935106,24.9566725333803,0.327930222044976,10417.0955838604,2,4
-48.2701073827836,78.0753362369456,0.799356426362656,1.55707201950708,0.105965457322296,179824.336586967,2,5
-48.4796840875249,190.972382778546,0.420695635172346,5.30608017602676,0.278189309664609,56538.1004344546,2,6
-48.8787920655946,434.246367978633,0.0356707059337179,124.824351084453,0.489364831475224,2562.61035994124,2,7
