"id","weight","X1","X2","X3","X4","X5","X6","X7","X8","smear","tb_any","symptom"
"1_427",2e-05,1,0.08182,0.23426,0.10036,0.89254,0.08488,0.02212,0.00418,0.10496,1,0.27546
"1_309",2e-05,1,0.07044,0.23206,0.08832,0.90464,0.0776,0.01736,0.00402,0.0936,1,0.26638
"1_330",8e-05,1,0.05262,0.16528,0.0599,0.92588,0.05724,0.01646,0.00514,0.06614,1,0.19768
"1_216",8e-05,1,0.0706,0.27374,0.09246,0.90184,0.07606,0.02172,0.00434,0.09606,1,0.3068
"1_211",4e-05,1,0.1128,0.40802,0.15134,0.82156,0.14106,0.03536,0.00414,0.16364,1,0.4572
"1_372",0.00142,1,0.11732,0.30568,0.12748,0.8483,0.11834,0.03242,0.00468,0.14648,1,0.36304
"1_407",2e-05,1,0.10566,0.27896,0.12172,0.85616,0.11818,0.02482,0.00446,0.1292,1,0.33932
"1_535",2e-05,1,0.06814,0.19802,0.08236,0.90794,0.07198,0.01976,0.0047,0.08594,1,0.23988
"1_232",4e-05,1,0.11596,0.4459,0.14116,0.82036,0.1439,0.03466,0.00486,0.14734,1,0.49584
"1_161",0.00022,1,0.05532,0.12352,0.0653,0.91714,0.06618,0.01572,0.00478,0.07116,1,0.16052
"1_339",2e-05,1,0.09268,0.27316,0.11252,0.86148,0.11256,0.02536,0.00424,0.11988,1,0.32372
"1_516",8e-05,1,0.1244,0.42048,0.14328,0.82594,0.14104,0.03162,0.0045,0.15594,1,0.4739
"1_327",2e-05,1,0.1455,0.42506,0.17384,0.76844,0.19716,0.03202,0.00454,0.1925,1,0.4953
"1_63",0.00052,1,0.11764,0.43158,0.14272,0.8491,0.10954,0.03942,0.00464,0.14834,1,0.46804
"1_321",4e-05,1,0.08946,0.30986,0.11614,0.85024,0.12758,0.02162,0.00424,0.12518,1,0.35686
"1_587",1e-04,1,0.13174,0.36702,0.14498,0.85316,0.10508,0.0408,0.00444,0.151,1,0.42632
"1_304",4e-05,1,0.0711,0.27544,0.09834,0.88624,0.08986,0.02352,0.00458,0.1046,1,0.3102
"1_526",0.00012,1,0.10628,0.30446,0.1312,0.86312,0.10572,0.03002,0.00536,0.13692,1,0.35662
"1_525",2e-05,1,0.07916,0.18812,0.0856,0.898,0.08166,0.0199,0.0043,0.09544,1,0.23596
"1_501",2e-05,1,0.15738,0.47536,0.18188,0.78206,0.18,0.0365,0.0044,0.19324,1,0.5417
"1_14",2e-05,1,0.07342,0.33886,0.10574,0.8701,0.10226,0.02676,0.00494,0.11012,1,0.36656
"1_268",0.00016,1,0.0736,0.29134,0.1141,0.86572,0.10794,0.02564,0.00432,0.12076,1,0.33506
"1_564",4e-05,1,0.0808,0.18808,0.09368,0.88936,0.09072,0.01934,0.00458,0.10004,1,0.23824
"1_573",1e-04,1,0.08426,0.26586,0.10102,0.87928,0.09592,0.0242,0.0047,0.11378,1,0.31242
"1_175",2e-05,1,0.0544,0.14056,0.06458,0.92456,0.05868,0.0164,0.0046,0.06844,1,0.1747
"1_83",2e-05,1,0.05416,0.23118,0.0836,0.89486,0.08762,0.01716,0.0048,0.08736,1,0.25848
"1_276",2e-05,1,0.0818,0.27412,0.10114,0.88312,0.09804,0.01856,0.00394,0.10416,1,0.3098
"1_250",2e-05,1,0.11108,0.43114,0.12762,0.84364,0.11754,0.03734,0.00476,0.13288,1,0.47458
"1_32",2e-05,1,0.09616,0.36502,0.1359,0.82576,0.14776,0.0254,0.00514,0.14898,1,0.40936
"1_604",2e-05,1,0.07228,0.15584,0.08344,0.90194,0.0837,0.01382,0.00432,0.0906,1,0.20346
"1_201",4e-05,1,0.05978,0.21962,0.08232,0.89582,0.08574,0.0178,0.00466,0.0902,1,0.25468
"1_482",2e-05,1,0.09106,0.26908,0.11252,0.8628,0.10948,0.02722,0.00458,0.1182,1,0.31694
"1_113",2e-05,1,0.07962,0.3278,0.10096,0.88274,0.0905,0.02624,0.00404,0.106,1,0.36324
"1_556",2e-05,1,0.10504,0.30886,0.12376,0.86724,0.10556,0.02658,0.00446,0.12886,1,0.35556
"1_454",2e-05,1,0.07288,0.2418,0.08612,0.89274,0.0842,0.02282,0.00424,0.08936,1,0.28272
"1_192",4e-05,1,0.11026,0.38506,0.13132,0.83248,0.12546,0.04012,0.00454,0.1396,1,0.43242
"4_57",2e-05,1,0.07554,0.28414,0.10082,0.86506,0.10608,0.02818,0.00446,0.10808,1,0.32164
"4_262",2e-05,1,0.06316,0.22078,0.07936,0.89484,0.08948,0.01536,0.00448,0.0917,1,0.2576
"4_601",2e-05,1,0.13548,0.39124,0.1564,0.81726,0.15282,0.02934,0.00404,0.16808,1,0.4608
"4_143",4e-05,1,0.0709,0.2788,0.0896,0.90222,0.07594,0.02136,0.00526,0.09386,1,0.31414
"4_598",2e-05,1,0.12604,0.32924,0.14292,0.8428,0.12634,0.03016,0.00516,0.1535,1,0.3992
"4_346",2e-05,1,0.06218,0.26324,0.07866,0.90692,0.07622,0.01652,0.0043,0.08288,1,0.29412
"4_24",2e-05,1,0.05204,0.25694,0.07834,0.8877,0.09522,0.01656,0.0044,0.08506,1,0.2842
"4_265",6e-05,1,0.0919,0.29738,0.11272,0.86984,0.10072,0.02884,0.00492,0.11726,1,0.33486
"4_433",2e-05,1,0.13308,0.42254,0.1692,0.82408,0.13438,0.04,0.00404,0.17946,1,0.47408
"4_46",2e-05,1,0.07586,0.32598,0.10064,0.88142,0.0911,0.02656,0.00462,0.10586,1,0.35992
"4_452",2e-05,1,0.0793,0.29576,0.08886,0.90246,0.07356,0.02354,0.0044,0.09648,1,0.3366
"4_150",2e-05,1,0.07764,0.2698,0.08734,0.88916,0.0862,0.02368,0.0044,0.1012,1,0.31142
"4_330",2e-05,1,0.12636,0.46818,0.1445,0.82696,0.14604,0.02624,0.0046,0.15158,1,0.52318
"4_546",2e-05,1,0.07726,0.24978,0.09646,0.88762,0.09378,0.01818,0.00434,0.10378,1,0.29154
"4_571",2e-05,1,0.10756,0.36574,0.13156,0.8391,0.1373,0.02326,0.00412,0.1396,1,0.4229
"4_371",2e-05,1,0.08176,0.30894,0.10232,0.8849,0.0949,0.01976,0.00414,0.11134,1,0.35296
"4_324",4e-05,1,0.0634,0.24478,0.0856,0.90022,0.08194,0.01754,0.00492,0.09126,1,0.27762
"4_393",2e-05,1,0.102,0.36602,0.12076,0.87184,0.10254,0.02506,0.00452,0.12426,1,0.41124
"4_584",2e-05,1,0.10732,0.32192,0.12856,0.85278,0.12028,0.0261,0.00386,0.14078,1,0.37456
"4_322",8e-05,1,0.11108,0.34354,0.13262,0.86278,0.10132,0.03494,0.00454,0.14246,1,0.39124
"4_480",4e-05,1,0.08272,0.20414,0.09756,0.89294,0.08348,0.02326,0.00456,0.10466,1,0.25554
"4_183",6e-05,1,0.05926,0.19136,0.0717,0.91674,0.06622,0.01656,0.00472,0.07694,1,0.22664
"4_491",8e-05,1,0.10404,0.32032,0.12716,0.84072,0.1322,0.02626,0.00468,0.14602,1,0.37684
"4_339",2e-05,1,0.07994,0.31052,0.09862,0.89616,0.0775,0.02566,0.00442,0.10498,1,0.3477
"4_99",0.00012,1,0.06786,0.31984,0.10556,0.87744,0.09942,0.02272,0.00492,0.10996,1,0.34848
"4_372",2e-05,1,0.08402,0.2739,0.0975,0.88024,0.09238,0.0268,0.00456,0.10556,1,0.32138
"4_231",2e-05,1,0.10342,0.35766,0.12528,0.86044,0.10754,0.0315,0.00446,0.1304,1,0.40168
"4_72",0.00022,1,0.11632,0.42202,0.13484,0.83444,0.13094,0.03302,0.00448,0.1412,1,0.46808
"4_82",2e-05,1,0.10298,0.44692,0.13934,0.8344,0.125,0.0396,0.00466,0.14486,1,0.48432
"4_94",2e-05,1,0.06038,0.25432,0.07342,0.90012,0.0796,0.01992,0.00424,0.07606,1,0.2836
"4_178",2e-05,1,0.06472,0.20574,0.07774,0.90784,0.07238,0.01912,0.00488,0.0845,1,0.24214
"4_383",4e-05,1,0.06878,0.26404,0.08422,0.90838,0.07118,0.02008,0.00468,0.09352,1,0.30288
"4_81",2e-05,1,0.04712,0.20706,0.0611,0.9249,0.06178,0.0129,0.00492,0.06572,1,0.23218
"4_442",2e-05,1,0.11386,0.32562,0.13858,0.83312,0.14424,0.02188,0.00468,0.15378,1,0.3913
"4_481",2e-05,1,0.11116,0.32976,0.12038,0.85794,0.1171,0.02438,0.00496,0.1376,1,0.38792
"4_50",2e-05,1,0.06116,0.30094,0.07352,0.90954,0.06838,0.02164,0.00458,0.07768,1,0.32782
"4_257",8e-05,1,0.13096,0.37574,0.15116,0.82684,0.12358,0.04662,0.00436,0.16836,1,0.42686
"4_389",2e-05,1,0.06132,0.23224,0.0731,0.90618,0.0778,0.0156,0.00452,0.07838,1,0.26868
"4_537",2e-05,1,0.06322,0.20986,0.0755,0.90294,0.08578,0.0111,0.00486,0.08552,1,0.25006
"4_512",2e-05,1,0.09334,0.31558,0.1201,0.86448,0.11182,0.02326,0.00482,0.13036,1,0.371
"4_583",2e-05,1,0.07906,0.21192,0.10152,0.87494,0.10628,0.0184,0.00408,0.10836,1,0.26184
"4_198",2e-05,1,0.09682,0.36104,0.12856,0.83706,0.13512,0.02708,0.00436,0.13686,1,0.40924
"4_348",2e-05,1,0.08924,0.24936,0.1052,0.87634,0.09898,0.02428,0.00466,0.1153,1,0.29954
"4_530",2e-05,1,0.07228,0.26658,0.0846,0.90678,0.0748,0.01812,0.00452,0.09318,1,0.30436
"4_332",4e-05,1,0.06146,0.23384,0.08248,0.90108,0.08004,0.01836,0.00428,0.09126,1,0.2677
"4_471",2e-05,1,0.06886,0.216,0.08738,0.89542,0.08544,0.0186,0.00496,0.09208,1,0.2557
"4_413",4e-05,1,0.15456,0.46988,0.19484,0.7478,0.21218,0.03696,0.00472,0.21308,1,0.53708
"4_422",2e-05,1,0.09724,0.3242,0.11404,0.86758,0.1037,0.02808,0.0046,0.1224,1,0.37182
"4_495",4e-05,1,0.11434,0.39698,0.13446,0.83834,0.1316,0.0296,0.0048,0.14276,1,0.44992
"4_144",2e-05,1,0.11288,0.41716,0.13512,0.8492,0.1118,0.0382,0.0043,0.138,1,0.4568
"4_194",4e-05,1,0.08234,0.34454,0.1113,0.87806,0.09804,0.02344,0.00432,0.1165,1,0.37776
"4_64",4e-05,1,0.09024,0.39672,0.12926,0.84688,0.12248,0.02996,0.00416,0.13602,1,0.43112
"4_499",2e-05,1,0.07416,0.25238,0.0977,0.8872,0.09358,0.01892,0.00416,0.10268,1,0.29342
"4_112",2e-05,1,0.10106,0.37688,0.12934,0.85548,0.10774,0.03554,0.00448,0.13752,1,0.41746
"4_243",2e-05,1,0.0746,0.26374,0.0964,0.88732,0.089,0.02316,0.0046,0.10536,1,0.3031
"4_333",2e-05,1,0.10754,0.36362,0.1247,0.87276,0.09106,0.03532,0.00492,0.12826,1,0.40458
"4_52",2e-05,1,0.04498,0.17492,0.0598,0.93044,0.052,0.01718,0.00464,0.06474,1,0.19872
"4_515",2e-05,1,0.10634,0.29002,0.12862,0.85216,0.12212,0.02492,0.0045,0.13796,1,0.3459
"4_379",2e-05,1,0.06274,0.19594,0.08022,0.89846,0.0865,0.01462,0.00472,0.08648,1,0.23596
"4_39",2e-05,1,0.07328,0.29082,0.09078,0.90294,0.07274,0.02382,0.00418,0.09454,1,0.32436
"4_528",2e-05,1,0.06854,0.24578,0.08526,0.90636,0.0771,0.01638,0.004,0.09102,1,0.2856
"4_256",2e-05,1,0.05676,0.18832,0.072,0.90942,0.0735,0.01676,0.00428,0.07736,1,0.22454
"4_166",2e-05,1,0.11398,0.4304,0.14576,0.81344,0.1537,0.03214,0.00454,0.1533,1,0.48348
"4_595",2e-05,1,0.13656,0.41174,0.16462,0.80942,0.15718,0.03222,0.00466,0.17844,1,0.47186
"4_89",2e-05,1,0.04146,0.20198,0.05902,0.9258,0.05868,0.01522,0.00486,0.06388,1,0.22634
"4_187",2e-05,1,0.077,0.32664,0.0912,0.8914,0.08386,0.02404,0.00444,0.09786,1,0.36322
"4_159",2e-05,1,0.05816,0.23358,0.07706,0.8981,0.08408,0.01724,0.00436,0.08248,1,0.26668
"4_222",2e-05,1,0.05938,0.26478,0.0784,0.89502,0.08534,0.01912,0.00458,0.08344,1,0.29426
"4_240",2e-05,1,0.08734,0.33848,0.1135,0.85172,0.12396,0.0239,0.00428,0.12736,1,0.3826
"4_415",2e-05,1,0.0845,0.28002,0.10334,0.88626,0.08966,0.02354,0.00452,0.10926,1,0.32486
"4_155",2e-05,1,0.09722,0.31342,0.1229,0.85896,0.10302,0.03678,0.0049,0.12916,1,0.3549
"4_97",2e-05,1,0.08152,0.35122,0.1108,0.86784,0.10614,0.02548,0.0049,0.11556,1,0.3823
"4_70",1e-04,1,0.04322,0.17522,0.05904,0.92624,0.06066,0.01274,0.0046,0.0643,1,0.19996
"4_416",8e-05,1,0.06748,0.20904,0.08316,0.91096,0.0689,0.01984,0.00448,0.08702,1,0.24626
"4_436",2e-05,1,0.06876,0.20616,0.08562,0.89766,0.08256,0.01916,0.0049,0.09668,1,0.2474
"4_407",2e-05,1,0.06802,0.23938,0.08724,0.90062,0.08246,0.01666,0.00416,0.09292,1,0.27856
