"id","weight","X1","X2","X3","X4","X5","X6","X7","X8","smear","tb_any","symptom"
"1_300",2e-05,0.7469,0.07554,1,0.13226,0.63928,0.31296,0.04562,0.00438,0.13324,1,1
"1_95",0.00044,0.79842,0.12562,1,0.19052,0.68912,0.2348,0.0706,0.00466,0.1929,1,1
"1_395",2e-05,0.74922,0.07614,1,0.12542,0.67706,0.26906,0.05026,0.00458,0.12634,1,1
"1_109",2e-05,0.77804,0.13996,1,0.1963,0.639,0.27978,0.07022,0.00412,0.1987,1,1
"1_375",6e-05,0.77868,0.14098,1,0.18234,0.54922,0.3828,0.05774,0.00406,0.18498,1,1
"1_470",2e-05,0.69532,0.0905,1,0.15594,0.60484,0.34198,0.04954,0.00414,0.15722,1,1
"1_6",4e-05,0.80332,0.12066,1,0.17886,0.64884,0.299,0.04594,0.0045,0.17934,1,1
"1_498",0.0012,0.75438,0.07584,1,0.16086,0.63674,0.32828,0.03312,0.0045,0.16514,1,1
"1_188",2e-05,0.69252,0.10084,1,0.1557,0.63206,0.29876,0.06414,0.00448,0.1568,1,1
"1_235",4e-05,0.6959,0.1029,1,0.17966,0.6434,0.2992,0.05266,0.00444,0.18052,1,1
"1_170",4e-05,0.73934,0.10526,1,0.15706,0.65002,0.28144,0.0563,0.00396,0.1576,1,1
"1_456",2e-05,0.81416,0.21464,1,0.24228,0.5088,0.4025,0.06096,0.0043,0.24532,1,1
"1_147",4e-05,0.75216,0.0866,1,0.14698,0.67212,0.2481,0.07444,0.00452,0.14786,1,1
"1_171",2e-05,0.69638,0.11944,1,0.19774,0.63336,0.29864,0.06176,0.00454,0.19886,1,1
"1_474",5e-04,0.8171,0.10144,1,0.14268,0.709,0.23808,0.04804,0.00442,0.1443,1,1
"1_221",2e-05,0.72956,0.1322,1,0.19334,0.64522,0.28512,0.06232,0.00436,0.19554,1,1
"1_121",2e-05,0.7406,0.08986,1,0.1549,0.66832,0.26122,0.06372,0.00402,0.15604,1,1
"1_48",2e-05,0.70022,0.11404,1,0.17416,0.6279,0.32372,0.04396,0.00468,0.17434,1,1
"1_41",0.00016,0.70314,0.09858,1,0.17948,0.63754,0.29548,0.06108,0.00424,0.18006,1,1
"1_132",2e-05,0.6486,0.08888,1,0.20598,0.5901,0.3287,0.07546,0.00462,0.2092,1,1
