"id","weight","X1","X2","X3","X4","X5","X6","X7","X8","smear","tb_any","symptom"
"1_184",4e-05,1,0.1498,0.41002,0.17208,0.84802,0.17548,0.03322,0.00452,0.1863,1,0.4873
"1_143",0.00028,1,0.09108,0.39964,0.1057,0.9216,0.09602,0.02306,0.00452,0.1074,1,0.4346
"1_191",2e-05,1,0.08604,0.35312,0.10972,0.91032,0.11426,0.01944,0.0051,0.11236,1,0.39308
"1_130",4e-05,1,0.12642,0.51182,0.15846,0.87434,0.15222,0.02736,0.00478,0.16248,1,0.55894
"1_238",2e-05,1,0.15834,0.5507,0.17482,0.84166,0.1825,0.0343,0.00454,0.17976,1,0.61524
"1_23",0.00012,1,0.07644,0.334,0.0955,0.92678,0.08636,0.02232,0.00458,0.09812,1,0.3621
"1_125",2e-05,1,0.09148,0.43916,0.1107,0.90184,0.1227,0.02254,0.00504,0.11448,1,0.4755
"1_61",2e-04,1,0.06114,0.26658,0.08698,0.92782,0.0895,0.01662,0.00492,0.0916,1,0.30102
"1_1",2e-05,1,0.12112,0.61512,0.1496,0.83122,0.17894,0.03798,0.0046,0.15532,1,0.65164
"1_522",4e-05,1,0.1205,0.33402,0.13976,0.89768,0.12476,0.02502,0.0045,0.14438,1,0.39898
"1_516",6e-05,1,0.09914,0.33338,0.111,0.91968,0.09818,0.02286,0.0046,0.11578,1,0.3851
"1_453",0.00044,1,0.0949,0.24744,0.11242,0.91836,0.10188,0.0203,0.00458,0.1186,1,0.30522
"1_493",0.00062,1,0.0843,0.21642,0.10778,0.9185,0.10896,0.0121,0.00464,0.11508,1,0.27362
"1_243",2e-05,1,0.17074,0.55086,0.20612,0.81858,0.2168,0.03126,0.00448,0.21272,1,0.62232
"1_43",2e-05,1,0.08456,0.42346,0.10218,0.9144,0.09742,0.0293,0.00438,0.10662,1,0.45352
"1_144",4e-05,1,0.11144,0.50454,0.1453,0.8734,0.1631,0.0254,0.00454,0.14916,1,0.54554
"1_91",0.00132,1,0.08766,0.38762,0.12406,0.90982,0.1077,0.02748,0.00422,0.12862,1,0.41874
"1_380",8e-05,1,0.09212,0.38608,0.12276,0.90702,0.1179,0.02276,0.00414,0.13134,1,0.42856
"1_400",2e-05,1,0.12044,0.40726,0.15054,0.87164,0.15408,0.0302,0.0046,0.15724,1,0.46476
"1_59",2e-05,1,0.0677,0.27478,0.08928,0.92434,0.09804,0.01644,0.0043,0.09254,1,0.31298
"1_286",8e-05,1,0.10228,0.42716,0.11908,0.89838,0.12428,0.0247,0.0045,0.12264,1,0.47214
"1_500",2e-05,1,0.1023,0.30156,0.11816,0.9183,0.09494,0.02864,0.00412,0.12502,1,0.35728
"1_449",2e-05,1,0.09744,0.35808,0.13,0.90532,0.13052,0.01678,0.00434,0.13294,1,0.41074
"1_429",2e-05,1,0.11648,0.39458,0.13668,0.89552,0.12632,0.03104,0.0046,0.14294,1,0.44966
"1_444",4e-05,1,0.1211,0.37296,0.13502,0.90034,0.11536,0.03254,0.00442,0.14072,1,0.4339
"1_271",2e-05,1,0.10274,0.39324,0.12252,0.91324,0.10916,0.02274,0.00388,0.12584,1,0.4318
"1_461",2e-05,1,0.1197,0.45474,0.13346,0.8941,0.1237,0.0298,0.0047,0.13712,1,0.50996
"1_114",2e-05,1,0.11632,0.44494,0.13236,0.88402,0.12418,0.04092,0.00436,0.13618,1,0.49212
"1_342",2e-05,1,0.12016,0.44714,0.15994,0.87886,0.14512,0.03002,0.00404,0.16534,1,0.49464
"1_109",8e-05,1,0.07758,0.39916,0.10878,0.9074,0.11538,0.02058,0.00466,0.11342,1,0.43338
"1_311",4e-05,1,0.13584,0.46992,0.15754,0.87096,0.15916,0.02674,0.00444,0.16342,1,0.53038
"1_60",4e-05,1,0.11988,0.55624,0.15774,0.86114,0.16458,0.03366,0.00466,0.16532,1,0.59598
"1_498",2e-05,1,0.1141,0.4001,0.1299,0.8954,0.12344,0.03484,0.00454,0.13826,1,0.45538
"1_48",2e-05,1,0.12904,0.58944,0.16542,0.85272,0.17336,0.03142,0.00472,0.16998,1,0.63066
"1_307",2e-05,1,0.0914,0.38846,0.10638,0.91774,0.1015,0.02298,0.00488,0.11132,1,0.42942
"1_74",2e-05,1,0.09088,0.42048,0.11526,0.91324,0.1048,0.02468,0.0045,0.11774,1,0.4526
"1_399",2e-05,1,0.09706,0.36896,0.12082,0.91048,0.11044,0.02372,0.00452,0.1279,1,0.41534
"1_441",2e-05,1,0.1506,0.42898,0.17542,0.8582,0.16944,0.0302,0.00446,0.1808,1,0.50368
"1_603",2e-05,1,0.12676,0.3159,0.14666,0.90442,0.11744,0.0263,0.00466,0.1524,1,0.38438
"1_530",6e-05,1,0.11198,0.43816,0.1228,0.89556,0.13768,0.02238,0.0039,0.12926,1,0.49102
"4_361",2e-05,1,0.10598,0.35014,0.115,0.91202,0.10752,0.02778,0.00522,0.12006,1,0.40564
"4_312",2e-05,1,0.1374,0.44902,0.17526,0.86146,0.17092,0.02982,0.00428,0.18186,1,0.5101
"4_305",4e-05,1,0.11368,0.398,0.13998,0.88124,0.14672,0.0281,0.00438,0.15132,1,0.45578
"4_92",0.00016,1,0.10462,0.56344,0.15386,0.87054,0.14126,0.0452,0.00432,0.1627,1,0.6
"4_127",2e-05,1,0.11226,0.47428,0.13704,0.89234,0.11882,0.03436,0.0042,0.1445,1,0.51926
"4_425",0.00046,1,0.13688,0.44348,0.15192,0.89014,0.137,0.02552,0.00464,0.15864,1,0.50918
"4_390",2e-05,1,0.12522,0.46952,0.15216,0.87482,0.15962,0.02662,0.0051,0.15644,1,0.52766
"4_303",2e-05,1,0.11312,0.4478,0.1406,0.89106,0.12744,0.03314,0.0045,0.14998,1,0.49726
"4_22",2e-05,1,0.05606,0.22916,0.07672,0.93386,0.0835,0.01354,0.00462,0.08242,1,0.26052
"4_266",2e-05,1,0.1538,0.54692,0.18334,0.83422,0.20128,0.02982,0.00406,0.19158,1,0.60878
"4_320",2e-05,1,0.0945,0.30076,0.11468,0.90678,0.11978,0.01796,0.00422,0.11684,1,0.35534
"4_271",4e-05,1,0.10566,0.3765,0.12738,0.89356,0.12782,0.0287,0.00436,0.13312,1,0.43092
"4_317",2e-05,1,0.12612,0.40538,0.14924,0.88302,0.13962,0.03256,0.0042,0.15608,1,0.4632
"4_248",0.00014,1,0.08864,0.30714,0.10836,0.9148,0.10742,0.02108,0.00442,0.1122,1,0.35668
"4_365",0.00018,1,0.11308,0.45118,0.13228,0.89782,0.13322,0.01944,0.00414,0.14542,1,0.50396
"4_74",2e-05,1,0.0785,0.45598,0.1122,0.9003,0.13614,0.01702,0.0045,0.11612,1,0.489
"4_214",4e-05,1,0.11232,0.44594,0.14626,0.88136,0.14782,0.02496,0.00422,0.15328,1,0.49302
"4_432",4e-05,1,0.12328,0.36876,0.13056,0.88988,0.13902,0.02768,0.00434,0.14866,1,0.43066
"4_262",4e-05,1,0.0997,0.33182,0.12382,0.9116,0.11098,0.01896,0.00434,0.12744,1,0.37988
"4_310",0.00038,1,0.10726,0.39092,0.1263,0.90876,0.11686,0.01968,0.00462,0.13258,1,0.44568
"4_99",2e-05,1,0.09568,0.3958,0.11364,0.8951,0.1273,0.02208,0.00488,0.11852,1,0.44084
"4_378",4e-05,1,0.10682,0.41252,0.12672,0.88838,0.14578,0.02082,0.0044,0.1349,1,0.4703
"4_100",0.00026,1,0.07984,0.36998,0.10296,0.91452,0.1079,0.01944,0.00422,0.10936,1,0.40746
"4_221",2e-05,1,0.10874,0.40798,0.13742,0.88838,0.14662,0.02112,0.00404,0.14004,1,0.45442
"4_184",2e-05,1,0.09984,0.38974,0.1357,0.89186,0.14384,0.01944,0.00452,0.14412,1,0.43794
"4_116",2e-05,1,0.10056,0.46696,0.13742,0.89442,0.13362,0.02348,0.00446,0.14246,1,0.50276
"4_251",2e-05,1,0.11528,0.45984,0.1531,0.88208,0.15334,0.02006,0.00426,0.16268,1,0.5108
"4_332",2e-05,1,0.14018,0.48956,0.16662,0.84806,0.18788,0.03018,0.00496,0.17524,1,0.55426
"4_70",2e-05,1,0.1209,0.4927,0.1507,0.87796,0.14188,0.03008,0.00476,0.15682,1,0.53498
"4_428",2e-05,1,0.15638,0.47784,0.18966,0.85172,0.19514,0.02404,0.00442,0.19698,1,0.55368
"4_268",2e-05,1,0.11938,0.43728,0.1443,0.8946,0.11456,0.0382,0.00444,0.14986,1,0.4831
"4_157",2e-05,1,0.11078,0.43512,0.14394,0.90126,0.11164,0.03574,0.00396,0.14972,1,0.47316
"4_110",2e-05,1,0.07838,0.3442,0.09414,0.92356,0.09344,0.02138,0.0049,0.09746,1,0.38158
"4_252",6e-05,1,0.1273,0.46148,0.15324,0.88272,0.14602,0.0268,0.00424,0.15898,1,0.51682
"4_101",4e-05,1,0.0895,0.3786,0.11868,0.91194,0.11154,0.0186,0.0047,0.12042,1,0.41382
"4_97",2e-05,1,0.08516,0.38034,0.10004,0.91948,0.10078,0.01826,0.0041,0.10294,1,0.41834
"4_229",2e-05,1,0.17042,0.57354,0.21064,0.83398,0.1825,0.04462,0.00436,0.2276,1,0.62948
"4_121",8e-05,1,0.08268,0.31676,0.10548,0.91732,0.10588,0.0195,0.00456,0.1077,1,0.35676
"4_138",0.00018,1,0.0792,0.37724,0.13164,0.90222,0.1324,0.01672,0.00442,0.1374,1,0.41616
"4_53",4e-05,1,0.1202,0.49976,0.15608,0.8596,0.1661,0.03294,0.00392,0.16004,1,0.53836
"4_106",4e-05,1,0.10716,0.41742,0.1338,0.88754,0.14118,0.02176,0.0041,0.13518,1,0.46162
"4_276",4e-05,1,0.09786,0.3386,0.118,0.90196,0.11912,0.02566,0.0048,0.12982,1,0.39034
"4_219",2e-05,1,0.08972,0.34092,0.10292,0.91718,0.09408,0.02516,0.0048,0.10898,1,0.3882
"4_398",0.00014,1,0.1207,0.40394,0.133,0.9078,0.10276,0.0336,0.00434,0.13652,1,0.45632
"4_98",4e-05,1,0.07972,0.3325,0.11418,0.91476,0.11026,0.01786,0.00474,0.1167,1,0.37212
"4_95",2e-05,1,0.0768,0.3993,0.10496,0.91872,0.1055,0.01846,0.00464,0.1077,1,0.43334
"4_132",4e-05,1,0.08038,0.38074,0.10408,0.91822,0.10844,0.01616,0.00442,0.10682,1,0.4158
"4_383",6e-05,1,0.09504,0.33916,0.11736,0.9119,0.11036,0.02346,0.00454,0.12444,1,0.38992
"4_62",2e-05,1,0.07886,0.3321,0.10646,0.92012,0.09886,0.01828,0.00434,0.10938,1,0.36512
"4_288",2e-05,1,0.12638,0.46512,0.1597,0.87712,0.15618,0.02644,0.00446,0.16464,1,0.51338
"4_32",0.00012,1,0.08366,0.42146,0.10816,0.90354,0.11544,0.02558,0.00468,0.1119,1,0.45564
"4_129",2e-05,1,0.1247,0.54512,0.1605,0.8524,0.18808,0.02582,0.0046,0.16476,1,0.59192
"4_151",2e-05,1,0.09454,0.43196,0.11056,0.91614,0.09808,0.0255,0.00446,0.11524,1,0.47076
"4_29",4e-05,1,0.0747,0.37538,0.09406,0.92558,0.08868,0.01938,0.00406,0.09586,1,0.4085
"4_400",2e-05,1,0.10078,0.30656,0.11178,0.90622,0.125,0.01578,0.0046,0.12114,1,0.3696
"4_16",2e-05,1,0.08272,0.47352,0.11182,0.89028,0.13818,0.02168,0.00456,0.11378,1,0.50552
"4_233",8e-05,1,0.11452,0.41786,0.14116,0.88552,0.1398,0.0267,0.00498,0.15426,1,0.47604
"4_298",4e-05,1,0.1305,0.47342,0.1517,0.87576,0.14998,0.03096,0.00444,0.15674,1,0.53
"4_194",2e-05,1,0.08404,0.36274,0.11258,0.9028,0.13374,0.01554,0.00436,0.11634,1,0.40404
"4_57",2e-05,1,0.08356,0.37944,0.1248,0.88706,0.14376,0.02176,0.0046,0.13138,1,0.41712
"4_111",2e-05,1,0.08988,0.45104,0.1323,0.89274,0.12978,0.02792,0.00408,0.13938,1,0.48884
"4_316",2e-05,1,0.12156,0.43114,0.14972,0.88036,0.15926,0.01802,0.00494,0.155,1,0.49008
"4_424",1e-04,1,0.10794,0.26278,0.11512,0.91006,0.11974,0.01898,0.00496,0.12146,1,0.33016
"4_210",4e-05,1,0.12442,0.508,0.16952,0.88008,0.13446,0.03644,0.00398,0.17498,1,0.5561
"4_84",2e-05,1,0.08926,0.46676,0.12514,0.89128,0.13708,0.02262,0.0047,0.12898,1,0.50498
"4_207",2e-05,1,0.1298,0.4413,0.15984,0.86654,0.16396,0.02778,0.00484,0.16818,1,0.50364
"4_201",2e-05,1,0.10402,0.4274,0.12758,0.8913,0.1323,0.0282,0.00484,0.13124,1,0.47236
"4_208",2e-05,1,0.14958,0.53456,0.1685,0.85848,0.15562,0.04432,0.00434,0.17696,1,0.5909
"4_263",2e-05,1,0.11576,0.46974,0.1295,0.8983,0.12162,0.02872,0.00498,0.13288,1,0.51808
"4_295",6e-05,1,0.11848,0.45804,0.1428,0.88842,0.13186,0.0292,0.00458,0.15118,1,0.50952
"4_2",4e-05,1,0.07606,0.37202,0.09896,0.91834,0.09976,0.01768,0.00444,0.10054,1,0.39936
"4_342",2e-05,1,0.14074,0.4246,0.16652,0.87918,0.15144,0.02742,0.0045,0.17092,1,0.48486
"4_75",4e-05,1,0.0884,0.37016,0.1102,0.90952,0.1128,0.02372,0.00464,0.11364,1,0.40718
"4_333",2e-05,1,0.13296,0.5155,0.15384,0.87586,0.15336,0.02508,0.00448,0.16098,1,0.57344
"4_255",2e-05,1,0.10092,0.39988,0.1132,0.91446,0.09808,0.02894,0.0044,0.12134,1,0.44248
"4_226",2e-05,1,0.09572,0.37198,0.11306,0.91266,0.11148,0.02064,0.00462,0.11554,1,0.41736
"4_395",4e-05,1,0.0941,0.2932,0.11198,0.9074,0.12632,0.01498,0.00464,0.12026,1,0.35154
"4_357",2e-05,1,0.08876,0.31802,0.11434,0.90828,0.11846,0.0229,0.00468,0.12194,1,0.36984
"4_420",6e-05,1,0.13248,0.43802,0.14626,0.88654,0.14492,0.02778,0.00492,0.15972,1,0.5006
"4_196",2e-05,1,0.1125,0.42412,0.12564,0.91054,0.1021,0.02954,0.00412,0.12922,1,0.46986
"4_59",2e-05,1,0.11328,0.51676,0.13034,0.88694,0.1261,0.03316,0.0047,0.13554,1,0.55366
"4_313",2e-05,1,0.11038,0.4404,0.13388,0.89502,0.14156,0.0174,0.0046,0.13664,1,0.4932
"4_87",4e-05,1,0.11074,0.48292,0.13834,0.88012,0.14232,0.03042,0.00432,0.14364,1,0.51994
"4_152",8e-05,1,0.08584,0.36816,0.1047,0.91676,0.09506,0.0258,0.0045,0.10888,1,0.40392
"4_360",2e-05,1,0.09398,0.37864,0.1337,0.90438,0.1246,0.0217,0.00432,0.14346,1,0.4267
"4_94",2e-05,1,0.08132,0.41436,0.1187,0.90948,0.12436,0.01414,0.0055,0.12286,1,0.44626
"4_410",2e-05,1,0.10124,0.29,0.11264,0.91702,0.10672,0.02062,0.00502,0.11922,1,0.3501
"4_58",2e-05,1,0.10632,0.48548,0.12428,0.87006,0.15068,0.03182,0.00444,0.13234,1,0.532
